frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6967,0.3036,51655,0,37.5,46.8,-99.8,79.92,-75.45,-143.98,58.63,97.0,-25.97,33.01,-12.6,-79.83,33.93,56.28,54.58,-76.53,21.63,-105.64,-9.65
2,f01.png,0.7128,0.2876,49735,0,35.6,42.8,-99.32,81.41,-77.55,-127.14,58.88,98.18,-40.96,42.39,-5.62,-79.01,33.35,56.47,57.5,-82.79,25.65,-104.82,-9.55
3,f02.png,0.7194,0.2809,49735,0,32.7,36.22,-100.0,82.07,-78.65,-119.73,56.92,98.36,-47.39,45.86,-2.26,-78.15,33.36,56.48,57.57,-82.92,25.82,-104.92,-9.59
4,f03.png,0.7186,0.2818,49735,0,30.5,36.94,-99.94,83.35,-81.13,-116.57,57.26,98.82,-48.82,45.84,0.22,-85.03,32.1,56.37,55.3,-82.57,33.95,-109.44,-8.16
5,f04.png,0.7278,0.2725,49735,0,30.6,39.8,-99.99,82.41,-82.81,-137.15,55.32,96.82,-52.41,50.07,-0.27,-87.87,35.7,56.11,54.9,-82.11,34.58,-108.59,-7.94
6,f05.png,0.7315,0.2688,49735,0,30.7,38.48,-99.59,82.11,-85.06,-138.62,57.96,98.4,-51.85,49.85,-0.61,-88.3,35.82,55.48,54.34,-82.1,38.84,-107.0,-7.05
7,f06.png,0.7263,0.2741,49735,0,30.7,27.31,-99.16,85.7,-93.14,-129.04,58.13,98.26,-51.7,44.39,20.73,-78.45,39.18,54.81,57.88,-91.88,52.53,-99.23,-7.16
8,f07.png,0.7361,0.2642,49735,0,31.0,27.55,-99.99,85.89,-94.19,-128.14,57.93,96.61,-52.91,44.68,26.15,-79.14,42.84,55.44,60.01,-96.33,58.68,-103.01,-9.29
9,f08.png,0.7493,0.251,49735,0,30.9,30.45,-99.87,88.57,-94.95,-104.22,47.06,99.0,-68.73,49.35,37.6,-100.6,41.42,55.29,59.13,-96.83,69.42,-97.88,-9.94
10,f09.png,0.7637,0.2366,28592,0,17.0,30.71,-99.99,88.4,-95.0,-101.19,45.65,100.7,-81.3,52.08,42.18,-121.09,35.71,54.19,57.37,-95.41,78.35,-89.0,-9.99
11,f10.png,0.7608,0.2394,28592,0,17.1,35.43,-100.0,86.35,-94.94,-103.72,48.89,105.13,-82.91,57.99,34.25,-157.17,33.42,53.66,56.76,-95.92,89.25,-81.6,-9.8
12,f11.png,0.7297,0.2706,36295,0,21.9,37.11,-100.0,83.37,-94.99,-108.85,68.92,104.52,-82.67,55.87,44.78,-157.19,5.79,54.78,54.22,-94.87,95.0,-85.19,-5.14
13,f12.png,0.7595,0.2408,38407,0,23.4,39.3,-100.0,83.84,-95.0,-114.12,74.67,108.09,-99.73,82.86,-22.57,-157.17,-8.28,55.11,43.51,-74.53,95.0,-81.72,-9.74
14,f13.png,0.7703,0.2301,26768,0,16.0,44.89,-99.07,88.0,-79.82,-99.85,68.11,106.22,-83.58,78.89,-35.3,-156.74,-9.84,55.11,43.51,-74.53,95.0,-81.72,-9.74
15,f14.png,0.7789,0.2215,26768,0,15.9,49.71,-98.22,88.04,-76.27,-100.94,64.18,105.96,-82.45,78.73,-35.98,-148.64,-9.99,55.11,43.51,-74.53,95.0,-81.72,-9.74
16,f15.png,0.8049,0.1954,26768,0,15.9,56.81,-96.48,85.48,-38.18,-60.15,70.1,105.96,-82.45,78.73,-35.98,-148.64,-9.99,53.71,38.14,-69.29,94.26,-77.96,-6.06
17,f16.png,0.815,0.1853,26768,0,15.8,56.36,-98.71,83.29,-29.48,-52.15,76.37,105.13,-81.72,75.66,-30.57,-138.89,-10.0,53.47,30.55,-57.06,85.32,-75.01,-4.86
18,f17.png,0.8131,0.1872,26768,0,15.8,54.63,-99.69,82.5,-28.63,-51.13,80.06,104.94,-80.08,73.05,-28.2,-133.92,-9.86,52.96,21.74,-46.76,81.19,-80.41,-4.97
19,f18.png,0.8063,0.1941,26768,0,15.8,53.5,-99.96,79.82,-25.25,-51.27,80.68,104.74,-74.93,71.02,-32.5,-138.31,-10.0,50.73,12.37,-36.71,76.22,-90.83,-3.3
20,f19.png,0.8032,0.1972,26768,0,15.8,54.84,-99.5,77.7,-20.56,-41.27,91.3,105.03,-74.95,71.25,-35.61,-143.17,-9.99,51.01,9.75,-33.08,70.84,-89.08,-2.9
21,f20.png,0.796,0.2045,26768,0,15.8,52.32,-99.76,77.1,-17.17,-40.5,92.72,104.48,-73.02,67.98,-33.22,-142.77,-9.95,51.01,9.75,-33.08,70.84,-89.08,-2.9
22,f21.png,0.8009,0.1996,26768,0,15.8,52.29,-99.89,77.01,-16.84,-40.16,93.11,104.62,-70.8,66.64,-35.02,-136.37,-9.49,51.32,9.8,-35.75,68.52,-88.09,-2.66
23,f22.png,0.7386,0.2619,27073,0,18.1,73.63,-93.71,78.47,5.19,-39.76,64.65,106.49,-71.38,66.94,-35.21,-157.2,-10.0,83.07,10.29,-32.33,81.69,-88.26,1.21
24,f23.png,0.7391,0.2614,49735,0,31.2,73.52,-94.5,77.29,8.96,-41.94,64.78,106.49,-71.38,66.94,-35.21,-157.2,-10.0,83.07,10.29,-32.33,81.69,-88.26,1.21
25,f24.png,0.7379,0.2626,49735,0,31.1,74.09,-94.14,77.32,9.85,-40.64,64.64,106.49,-71.38,66.94,-35.21,-157.2,-10.0,83.07,10.29,-32.33,81.69,-88.26,1.21
26,f25.png,0.7321,0.2684,49735,0,31.0,74.15,-95.58,76.62,13.24,-48.07,63.41,106.49,-71.38,66.94,-35.21,-157.2,-10.0,83.07,10.29,-32.33,81.69,-88.26,1.21
27,f26.png,0.7342,0.2663,49735,0,31.1,73.74,-97.17,77.15,13.5,-48.63,63.96,106.49,-71.38,66.94,-35.21,-157.2,-10.0,83.07,10.29,-32.33,81.69,-88.26,1.21
28,f27.png,0.7336,0.2669,49735,0,31.2,73.74,-97.17,77.15,13.5,-48.63,63.96,106.49,-71.38,66.94,-35.21,-157.2,-10.0,83.07,10.29,-32.33,81.69,-88.26,1.21
