frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.6683,0.3333,50890,0,42.2,87.29,-100.0,24.66,-87.33,-88.79,45.93,71.01,34.37,-80.75,50.17,70.42,21.0,109.94,-100.0,41.01,-34.46,4.62,1.18,-44.46,-100.0,41.03,-95.0,97.63,48.62,-9.29,-35.77,42.05,95.0,-49.05,51.06
2,f01.png,0.6776,0.324,51210,0,42.9,87.44,-100.0,25.41,-88.02,-89.81,45.25,71.33,28.34,-69.8,48.31,58.43,27.12,110.0,-100.0,41.54,-35.22,5.13,1.67,-42.67,-100.0,42.27,-95.0,96.58,48.82,-7.29,-40.87,45.62,92.42,-45.91,50.68
3,f02.png,0.6786,0.3229,51594,0,40.4,87.44,-100.0,25.41,-88.02,-89.81,45.25,71.33,28.34,-69.8,48.31,58.43,27.12,110.0,-100.0,41.54,-35.22,5.13,1.67,-42.67,-100.0,42.27,-95.0,96.58,48.82,-7.29,-40.87,45.62,92.42,-45.91,50.68
4,f03.png,0.6812,0.3203,50634,0,37.7,86.09,-100.0,25.19,-88.49,-90.07,45.3,71.86,26.46,-66.76,48.59,63.23,31.94,107.89,-100.0,42.94,-35.66,5.43,1.42,-43.52,-100.0,43.56,-95.0,89.08,48.77,-7.19,-41.02,46.2,93.02,-46.03,50.58
5,f04.png,0.686,0.3154,47370,0,35.3,85.61,-100.0,24.49,-89.28,-89.72,45.35,71.44,25.0,-65.7,52.2,63.03,36.89,104.75,-97.3,42.73,-31.14,11.91,-3.78,-48.18,-100.0,38.12,-95.0,83.86,46.72,-7.47,-42.2,46.78,93.27,-45.62,51.01
6,f05.png,0.6912,0.31,50250,0,36.9,84.25,-100.0,27.98,-88.73,-79.65,43.77,71.61,23.45,-63.25,52.61,66.76,38.88,106.35,-98.1,38.46,-17.63,10.55,-9.99,-57.21,-99.89,34.2,-95.0,75.17,47.23,-4.92,-41.32,49.34,90.83,-51.24,51.4
7,f06.png,0.71,0.2911,47946,0,35.1,79.65,-96.03,28.73,-91.41,-59.28,39.03,71.07,19.64,-60.22,57.59,75.17,40.34,109.86,-90.24,33.53,-6.49,4.43,-9.86,-64.27,-100.0,27.05,-95.0,78.69,47.79,-3.08,-40.72,49.94,90.18,-61.66,52.57
8,f07.png,0.7193,0.2817,51594,0,38.0,78.99,-96.79,27.62,-88.29,-50.92,40.53,70.38,15.91,-55.76,58.04,88.58,39.2,109.98,-88.0,32.02,-1.3,10.31,-9.99,-70.03,-100.0,15.38,-95.0,76.8,47.73,-1.23,-43.96,51.59,89.46,-67.8,52.77
9,f08.png,0.7371,0.2637,49290,0,35.9,73.15,-95.25,30.29,-87.51,-24.04,48.92,69.73,12.4,-51.87,63.22,99.84,36.56,109.74,-82.59,27.99,8.56,5.5,-9.87,-72.08,-89.5,7.14,-94.14,66.59,46.91,-0.19,-42.59,49.53,94.85,-68.74,53.18
10,f09.png,0.7442,0.2565,48714,0,35.8,66.41,-97.0,40.18,-90.96,-11.43,49.16,69.25,10.71,-50.42,65.34,116.19,33.07,109.01,-84.13,27.17,13.89,5.89,-9.96,-71.71,-84.14,-3.02,-95.0,57.2,47.33,5.05,-41.83,53.82,94.53,-72.93,54.72
