frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7758,0.2243,38215,0,27.9,-99.6,17.51,82.37,-77.63,45.32,60.42,75.54,45.56,-36.55,-9.8,-61.27,90.42,-70.56,-91.8,-68.14,-46.1,-76.14,99.42
2,f01.png,0.7843,0.2159,26768,0,19.6,-99.6,17.51,82.37,-77.63,45.32,60.42,75.54,45.56,-36.55,-9.8,-61.27,90.42,-70.02,-81.31,-87.37,-37.76,-74.46,99.91
3,f02.png,0.7873,0.2128,26768,0,19.5,-99.6,17.51,82.37,-77.63,45.32,60.42,75.54,45.56,-36.55,-9.8,-61.27,90.42,-70.3,-77.94,-94.83,-30.48,-77.45,99.93
4,f03.png,0.7768,0.2233,26768,0,19.4,-99.6,17.51,82.37,-77.63,45.32,60.42,76.5,44.82,-36.48,-10.53,-57.53,90.54,-68.54,-75.59,-96.61,-32.89,-74.59,99.97
5,f04.png,0.7699,0.2302,28592,0,18.2,-99.6,17.51,82.37,-77.63,45.32,60.42,76.12,39.39,-31.1,-8.05,-60.73,90.6,-69.81,-74.3,-94.56,-36.61,-70.65,99.89
6,f05.png,0.7694,0.2308,28592,0,17.6,-99.6,17.51,82.37,-77.63,45.32,60.42,75.14,38.47,-32.63,-7.99,-68.85,90.8,-67.94,-72.87,-96.81,-29.04,-59.09,97.89
7,f06.png,0.7788,0.2213,28592,0,17.6,-99.6,17.51,82.37,-77.63,45.32,60.42,75.05,37.7,-33.47,-9.29,-75.55,90.79,-66.55,-73.58,-94.55,-26.57,-46.02,93.54
8,f07.png,0.7954,0.2047,28592,0,17.6,-99.6,17.51,82.37,-77.63,45.32,60.42,73.34,38.52,-39.73,-5.51,-101.63,91.09,-65.68,-74.07,-91.06,-22.8,-36.5,92.68
9,f08.png,0.7989,0.2012,26768,0,16.3,-99.42,17.51,74.89,-78.23,46.75,61.71,74.87,43.08,-44.8,-7.64,-100.83,90.72,-65.06,-76.52,-87.23,-18.9,-35.15,91.34
10,f09.png,0.7946,0.2055,26768,0,16.3,-99.42,17.51,74.89,-78.23,46.75,61.71,74.75,45.48,-48.1,-9.29,-108.06,91.17,-66.7,-79.26,-85.51,-14.4,-31.33,90.16
11,f10.png,0.7885,0.2116,26768,0,16.2,-99.42,17.51,74.89,-78.23,46.75,61.71,73.49,44.79,-46.85,-7.82,-109.09,91.59,-65.67,-81.45,-81.8,-19.33,-33.57,90.86
12,f11.png,0.7928,0.2073,26768,0,16.3,-100.69,25.49,71.77,-82.34,43.97,57.87,72.57,47.44,-50.33,-5.16,-105.21,90.68,-66.35,-81.57,-83.91,-21.17,-35.53,90.95
13,f12.png,0.7891,0.211,26768,0,16.3,-100.69,25.49,71.77,-82.34,43.97,57.87,72.64,49.31,-51.01,-5.16,-103.29,90.55,-64.13,-80.36,-86.73,-21.85,-43.39,91.96
14,f13.png,0.7801,0.22,28592,0,17.4,-100.69,25.49,71.77,-82.34,43.97,57.87,72.5,46.15,-45.23,8.77,-111.22,90.95,-65.54,-81.8,-88.52,-24.4,-48.53,92.46
15,f14.png,0.7748,0.2254,26768,0,16.4,-101.99,19.37,73.62,-82.07,44.69,57.69,72.86,48.3,-49.91,15.78,-106.89,93.13,-65.53,-80.38,-91.33,-25.15,-52.8,91.36
16,f15.png,0.7787,0.2214,26768,0,16.4,-98.74,19.35,69.85,-81.26,48.98,55.77,73.38,46.95,-47.58,16.87,-104.72,93.98,-66.64,-77.96,-95.07,-28.05,-62.99,91.11
17,f16.png,0.7718,0.2283,28592,0,17.3,-98.91,19.44,69.49,-89.1,42.11,56.8,75.67,44.45,-42.97,15.36,-100.71,93.23,-68.67,-77.24,-96.18,-29.74,-67.5,90.61
18,f17.png,0.7647,0.2354,28592,0,17.4,-98.91,19.44,69.49,-89.1,42.11,56.8,76.76,42.48,-42.13,17.6,-98.14,93.19,-68.45,-76.16,-95.54,-33.47,-72.73,90.45
19,f18.png,0.7666,0.2335,28592,0,17.4,-96.64,10.57,76.36,-84.72,48.34,54.01,76.73,40.21,-41.79,19.44,-96.28,93.68,-69.31,-73.36,-96.51,-33.64,-69.95,90.78
20,f19.png,0.7734,0.2267,28592,0,17.4,-104.88,-9.59,87.22,-81.48,58.41,53.35,75.27,38.53,-42.46,21.56,-103.18,93.31,-67.69,-72.68,-96.61,-29.64,-70.09,91.41
21,f20.png,0.7891,0.211,28592,0,17.5,-107.56,-19.13,88.0,-75.72,71.6,57.51,74.82,36.77,-40.86,19.6,-112.49,93.8,-65.68,-72.1,-96.08,-27.68,-47.67,91.56
22,f21.png,0.8028,0.1973,26768,0,16.5,-109.84,-25.97,87.64,-68.22,75.56,57.69,73.5,41.42,-50.73,19.11,-110.04,93.63,-65.56,-71.88,-96.63,-18.28,-38.65,91.09
23,f22.png,0.8084,0.1917,26768,0,16.4,-109.99,-26.42,86.09,-64.42,77.33,57.72,73.23,42.7,-54.55,18.07,-111.17,93.54,-65.92,-73.68,-94.88,-13.84,-36.54,90.79
24,f23.png,0.8026,0.1975,26768,0,16.5,-109.99,-26.42,86.09,-64.42,77.33,57.72,73.31,43.18,-54.56,18.18,-124.78,93.76,-65.19,-75.8,-90.91,-12.89,-35.67,90.7
25,f24.png,0.797,0.2032,26768,0,16.4,-109.99,-26.42,86.09,-64.42,77.33,57.72,73.15,43.52,-55.15,16.3,-132.81,93.73,-65.37,-75.88,-90.72,-12.9,-35.45,90.65
26,f25.png,0.8031,0.197,28592,0,17.5,-109.99,-26.42,86.09,-64.42,77.33,57.72,72.33,46.57,-57.34,16.85,-124.8,93.75,-66.02,-76.12,-91.41,-19.48,-36.11,90.71
27,f26.png,0.7969,0.2032,28592,0,17.4,-109.93,-27.36,86.06,-60.66,78.81,58.61,72.72,48.47,-53.23,14.03,-111.97,93.46,-65.22,-75.26,-95.41,-25.48,-49.42,89.61
28,f27.png,0.768,0.2322,28592,0,17.9,-109.85,-26.58,88.67,-60.15,80.0,58.34,76.6,47.28,-47.17,17.93,-99.45,95.82,-69.97,-77.23,-96.64,-28.22,-65.25,90.51
29,f28.png,0.6741,0.326,49735,0,33.2,-102.96,-18.85,88.32,-60.46,80.6,58.47,95.91,46.2,-48.76,19.53,-133.98,97.1,-88.98,-96.67,-96.71,-29.3,-69.12,90.72
30,f29.png,0.5064,0.494,49735,0,34.0,-94.82,31.39,71.23,-94.88,80.77,69.71,91.94,51.15,-62.27,22.22,-157.13,99.92,-91.07,-99.86,-95.82,-25.41,-67.61,99.23
31,f30.png,0.4442,0.5561,51655,0,34.4,-95.74,56.71,40.46,-95.0,91.5,69.81,90.72,64.14,-77.45,12.55,-157.08,93.9,-93.32,-99.81,-95.16,-24.9,-68.96,99.9
32,f31.png,0.466,0.5342,49703,0,33.0,-94.45,71.91,-6.99,-93.84,90.49,70.19,90.68,64.15,-77.47,12.6,-157.21,93.89,-93.22,-99.97,-95.02,-24.74,-69.04,99.96
