frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6548,0.3457,51655,0,36.7,-96.19,-54.76,61.61,49.36,-88.98,-10.0,23.21,16.42,-9.46,52.69,159.38,53.71,106.84,-57.77,61.97,3.08,148.47,55.81
2,f01.png,0.6533,0.3473,49735,0,35.6,-96.19,-54.76,61.61,49.36,-88.98,-10.0,23.21,16.42,-9.46,52.69,159.38,53.71,106.84,-57.77,61.97,3.08,148.47,55.81
3,f02.png,0.6513,0.3492,49735,0,33.2,-96.19,-54.76,61.61,49.36,-88.98,-10.0,23.21,16.42,-9.46,52.69,159.38,53.71,106.84,-57.77,61.97,3.08,148.47,55.81
4,f03.png,0.6534,0.3471,49735,0,31.0,-96.19,-54.76,61.61,49.36,-88.98,-10.0,23.21,16.42,-9.46,52.69,159.38,53.71,106.84,-57.77,61.97,3.08,148.47,55.81
5,f04.png,0.642,0.3585,49735,0,31.0,-96.19,-54.76,61.61,49.36,-88.98,-10.0,23.21,16.42,-9.46,52.69,159.38,53.71,106.84,-57.77,61.97,3.08,148.47,55.81
6,f05.png,0.6375,0.363,49735,0,31.2,-96.3,-55.5,61.01,49.29,-88.59,-9.99,33.4,26.45,-19.46,53.65,162.45,53.0,108.76,-62.37,62.99,9.76,155.57,56.94
7,f06.png,0.6424,0.3581,36679,0,22.5,-97.68,-56.6,60.45,58.76,-72.18,-2.12,35.32,31.14,-25.03,47.48,159.13,10.07,109.98,-63.74,69.77,-1.2,162.76,81.15
8,f07.png,0.6464,0.3541,49735,0,31.7,-97.68,-56.6,60.45,58.76,-72.18,-2.12,35.32,31.14,-25.03,47.48,159.13,10.07,110.0,-66.77,74.0,-4.88,158.13,81.29
9,f08.png,0.6271,0.3734,49735,0,31.8,-99.22,-55.03,59.78,59.12,-71.71,-2.24,34.36,37.26,-30.42,46.54,160.55,9.22,109.98,-66.11,75.15,-4.33,157.63,81.32
10,f09.png,0.6262,0.3743,49735,0,31.9,-100.42,-59.68,60.15,77.53,-40.49,-4.79,30.35,37.7,-29.29,30.93,158.81,-7.83,109.99,-69.2,77.19,-2.6,156.91,41.37
11,f10.png,0.6264,0.3741,49735,0,32.3,-100.42,-59.68,60.15,77.53,-40.49,-4.79,30.35,37.7,-29.29,30.93,158.81,-7.83,109.99,-69.2,77.19,-2.6,156.91,41.37
12,f11.png,0.6282,0.3723,49735,0,32.2,-100.42,-59.68,60.15,77.53,-40.49,-4.79,31.65,35.59,-28.26,30.99,158.9,-7.92,109.99,-69.2,77.19,-2.6,156.91,41.37
13,f12.png,0.6456,0.3548,49735,0,32.3,-100.23,-68.82,60.19,80.28,-33.02,-9.98,33.97,32.67,-26.41,30.62,157.5,-8.15,110.0,-68.02,77.47,-11.07,154.13,42.59
14,f13.png,0.6538,0.3467,49735,0,32.0,-99.61,-74.19,59.97,77.6,-8.54,-1.37,35.57,31.3,-25.52,6.62,161.05,4.74,109.98,-63.84,72.33,-7.25,162.78,62.17
15,f14.png,0.6468,0.3537,49735,0,31.9,-99.61,-74.19,59.97,77.6,-8.54,-1.37,38.64,25.87,-17.78,11.62,162.75,4.82,110.0,-64.21,69.89,-8.54,161.47,61.49
16,f15.png,0.6482,0.3524,49735,0,31.5,-97.65,-72.88,60.46,74.94,-11.87,43.48,28.13,20.96,-14.54,3.89,162.78,4.28,107.86,-58.26,60.02,8.13,162.77,69.36
17,f16.png,0.6591,0.3415,49735,0,31.5,-97.65,-72.88,60.46,74.94,-11.87,43.48,37.5,23.18,-17.63,3.9,162.61,4.08,107.86,-58.26,60.02,8.13,162.77,69.36
18,f17.png,0.6518,0.3488,49735,0,31.6,-97.65,-72.88,60.46,74.94,-11.87,43.48,37.5,23.18,-17.63,3.9,162.61,4.08,107.86,-58.26,60.02,8.13,162.77,69.36
19,f18.png,0.6482,0.3524,49735,0,31.9,-97.65,-72.88,60.46,74.94,-11.87,43.48,38.63,25.83,-17.82,1.08,159.44,3.91,107.86,-58.26,60.02,8.13,162.77,69.36
20,f19.png,0.6577,0.3428,49735,0,31.5,-98.64,-73.2,60.38,68.58,-7.17,67.49,39.44,28.34,-21.84,-0.55,151.77,-8.35,109.44,-59.72,62.31,9.42,162.75,49.72
21,f20.png,0.6417,0.3588,49735,0,31.7,-98.64,-73.2,60.38,68.58,-7.17,67.49,36.11,33.02,-26.12,-0.04,152.3,-7.91,109.93,-64.79,69.74,-0.78,156.4,48.16
22,f21.png,0.641,0.3594,49735,0,31.8,-98.64,-73.2,60.38,68.58,-7.17,67.49,36.12,33.0,-26.61,0.82,152.09,-5.71,109.99,-64.75,70.6,-0.31,156.17,48.07
23,f22.png,0.6339,0.3666,49735,0,31.8,-99.52,-72.13,59.98,68.71,-7.81,67.43,34.44,37.3,-31.14,-4.12,152.2,-3.68,110.0,-65.71,74.44,-2.77,157.65,48.27
24,f23.png,0.6228,0.3776,49735,0,31.7,-99.49,-71.9,59.97,68.51,-7.57,67.33,33.44,39.22,-30.32,-6.18,161.59,-5.04,110.0,-65.71,74.44,-2.77,157.65,48.27
25,f24.png,0.66,0.3404,38791,0,24.1,-98.1,-85.63,66.47,46.38,30.73,73.12,30.98,37.55,-28.97,-16.97,149.12,37.84,109.73,-70.65,76.06,-0.76,127.42,11.28
26,f25.png,0.6597,0.3408,49735,0,31.5,-98.1,-85.63,66.47,46.38,30.73,73.12,30.98,37.55,-28.97,-16.97,149.12,37.84,109.73,-70.65,76.06,-0.76,127.42,11.28
27,f26.png,0.6452,0.3553,49735,0,31.4,-100.83,-87.44,66.49,42.54,10.5,74.0,33.22,32.52,-26.02,-15.96,143.54,37.59,110.0,-67.85,75.87,-2.67,133.19,10.89
28,f27.png,0.6483,0.3522,49735,0,31.4,-101.14,-87.86,66.87,41.33,10.02,74.31,34.46,32.03,-25.25,-16.2,144.3,37.38,109.99,-67.86,75.32,-1.1,136.88,14.82
29,f28.png,0.6603,0.3402,49735,0,31.3,-99.82,-99.95,74.65,48.5,9.12,99.97,34.92,28.34,-22.01,-39.0,162.64,57.25,110.0,-63.98,71.35,-5.53,162.75,0.55
30,f29.png,0.6602,0.3403,49735,0,31.5,-99.82,-99.95,74.65,48.5,9.12,99.97,35.35,32.54,-25.64,-38.84,162.55,56.63,109.99,-65.5,74.05,-10.21,162.73,0.86
31,f30.png,0.6718,0.3286,49735,0,31.5,-99.86,-100.0,74.29,50.79,9.64,99.98,29.76,39.7,-30.87,-33.19,161.06,83.32,110.0,-71.0,76.9,-8.48,162.78,4.99
32,f31.png,0.6683,0.3321,49735,0,31.6,-95.7,-97.9,72.33,51.19,35.72,99.07,25.59,44.13,-31.96,-32.95,161.55,83.35,109.97,-75.2,80.4,-10.4,162.68,5.16
33,f32.png,0.6592,0.3414,49735,0,32.1,-93.28,-96.76,71.35,52.2,43.91,99.32,27.36,55.32,-44.2,-25.28,162.79,88.4,109.98,-78.63,83.97,-8.5,131.84,4.84
34,f33.png,0.7941,0.2059,49735,0,32.3,-64.88,-68.72,75.08,78.57,88.96,96.61,-40.6,100.0,-89.25,-52.75,137.26,99.47,110.0,-84.47,86.34,6.44,105.09,-9.81
