frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5585,0.4419,48999,0,36.9,-95.2,-35.46,74.57,-94.93,8.08,10.04,-72.09,99.94,-80.54,-53.64,-75.13,14.56,105.0,-63.38,71.86,-14.27,117.77,70.85
2,f01.png,0.5575,0.4429,49735,0,37.5,-95.2,-35.46,74.57,-94.93,8.08,10.04,-72.09,99.94,-80.54,-53.64,-75.13,14.56,105.0,-63.38,71.86,-14.27,117.77,70.85
3,f02.png,0.5657,0.4347,49735,0,35.3,-95.2,-35.46,74.57,-94.93,8.08,10.04,-72.09,99.94,-80.54,-53.64,-75.13,14.56,105.0,-63.38,71.86,-14.27,117.77,70.85
4,f03.png,0.5587,0.4417,49735,0,33.2,-95.2,-35.46,74.57,-94.93,8.08,10.04,-72.09,99.94,-80.54,-53.64,-75.13,14.56,105.0,-63.38,71.86,-14.27,117.77,70.85
5,f04.png,0.5637,0.4367,49735,0,33.1,-94.57,-31.28,71.62,-94.77,14.57,9.96,-72.09,99.94,-80.54,-53.64,-75.13,14.56,107.69,-52.71,64.78,-15.96,111.09,66.5
6,f05.png,0.545,0.4554,49735,0,32.9,-94.52,-31.22,71.17,-91.85,15.64,10.94,-72.09,99.94,-80.54,-53.64,-75.13,14.56,104.75,-47.72,62.54,-14.4,106.36,65.76
7,f06.png,0.5501,0.4504,49735,0,33.0,-94.57,-29.02,71.75,-93.24,18.54,16.05,-72.09,99.94,-80.54,-53.64,-75.13,14.56,104.57,-46.28,63.38,-13.69,105.63,67.92
8,f07.png,0.5675,0.4329,49735,0,33.2,-91.92,-25.59,71.38,-95.0,22.81,43.98,-71.67,99.93,-80.3,-49.63,-44.43,27.83,109.04,-76.24,78.0,-5.1,102.86,47.41
9,f08.png,0.5656,0.4348,49735,0,33.0,-90.44,-26.89,69.96,-92.38,31.9,43.67,-71.52,100.0,-80.17,-49.71,-44.63,27.85,108.85,-71.34,75.4,-5.41,98.04,47.49
10,f09.png,0.5532,0.4473,49735,0,32.8,-89.92,-24.66,67.89,-94.8,39.35,45.38,-71.52,100.0,-80.17,-49.71,-44.63,27.85,102.56,-59.23,71.43,-5.83,91.96,44.76
11,f10.png,0.531,0.4695,49735,0,33.0,-89.63,-31.46,73.89,-95.0,42.55,46.17,-71.52,100.0,-80.15,-49.76,-44.59,27.87,101.69,-44.41,64.48,-7.12,95.01,44.69
12,f11.png,0.5378,0.4626,49735,0,33.2,-90.83,-50.0,85.37,-94.98,46.52,48.53,-71.52,100.0,-80.15,-49.76,-44.59,27.87,102.44,-43.32,65.67,-6.61,94.39,44.41
13,f12.png,0.564,0.4364,49735,0,33.3,-90.42,-54.85,85.54,-95.0,39.96,77.97,-71.61,99.98,-80.79,-58.95,-46.07,-9.6,103.88,-29.19,63.53,-22.6,74.33,53.55
14,f13.png,0.5765,0.4239,49735,0,33.3,-92.19,-55.04,83.85,-94.92,41.11,83.95,-71.61,99.98,-80.79,-58.95,-46.07,-9.6,102.49,-31.64,66.42,-22.54,74.64,53.16
15,f14.png,0.5729,0.4275,49735,0,33.3,-93.17,-55.21,83.01,-94.82,41.25,89.15,-71.6,100.0,-80.52,-58.91,-46.22,-9.7,102.31,-31.53,68.67,-20.78,82.42,51.67
16,f15.png,0.585,0.4153,49735,0,33.4,-94.49,-62.23,83.65,-94.28,44.24,95.99,-71.7,99.93,-80.88,-58.79,-46.42,-9.56,102.08,-30.61,71.13,-20.08,67.64,52.07
17,f16.png,0.6188,0.3816,49735,0,33.4,-96.73,-57.59,85.66,-94.99,43.7,99.86,-71.54,100.0,-80.82,-58.75,-46.73,-9.62,81.64,-30.72,54.05,-24.48,73.53,53.57
18,f17.png,0.6058,0.3946,49735,0,33.6,-99.39,-72.29,89.88,-94.97,50.27,100.0,-71.68,99.98,-80.58,-58.5,-47.01,-9.63,83.17,-31.14,55.15,-25.62,64.93,54.34
