frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.8658,0.1343,30512,0,21.3,79.08,-42.82,-96.52,-94.68,124.25,-9.43,63.64,-32.97,70.89,35.16,-67.65,68.15,109.99,63.32,-43.14,12.71,-153.34,99.26
2,f01.png,0.8758,0.1243,26768,0,18.4,79.79,-51.9,-81.99,-95.0,140.6,-9.38,63.45,-32.7,70.82,35.27,-66.61,67.89,109.98,61.02,-41.43,20.43,-153.29,99.34
3,f02.png,0.8535,0.1466,26768,0,18.5,79.67,-47.69,-87.35,-94.74,138.94,-7.36,62.59,-48.28,68.68,16.6,-77.2,67.22,110.0,61.09,-41.39,20.43,-153.59,99.25
4,f03.png,0.8582,0.1419,28592,0,19.4,79.67,-47.69,-87.35,-94.74,138.94,-7.36,51.31,-55.05,66.34,5.55,-90.34,69.48,110.0,60.93,-41.34,21.07,-152.53,99.03
5,f04.png,0.8546,0.1455,28592,0,17.7,79.67,-47.69,-87.35,-94.74,138.94,-7.36,52.09,-60.47,65.38,-10.1,-122.48,69.31,110.0,61.07,-41.58,21.43,-152.51,99.09
6,f05.png,0.8499,0.1502,26768,0,15.8,79.67,-47.69,-87.35,-94.74,138.94,-7.36,59.48,-65.39,67.69,-19.92,-157.21,67.51,110.0,61.07,-41.58,21.43,-152.51,99.09
7,f06.png,0.8512,0.1489,26768,0,15.8,79.67,-47.69,-87.35,-94.74,138.94,-7.36,72.69,-61.22,74.53,-17.01,-131.12,67.72,110.0,61.07,-41.58,21.43,-152.51,99.09
8,f07.png,0.8605,0.1396,26768,0,15.8,79.67,-47.69,-87.35,-94.74,138.94,-7.36,70.88,-60.09,74.73,-15.91,-122.28,67.41,110.0,61.07,-41.58,21.43,-152.51,99.09
9,f08.png,0.8591,0.141,26768,0,15.8,79.42,-44.97,-92.8,-95.0,137.71,-9.98,70.1,-58.39,73.74,-17.94,-118.81,67.42,110.0,61.33,-42.15,21.01,-151.15,99.68
10,f09.png,0.8598,0.1402,26768,0,15.9,81.2,-45.79,-92.22,-94.95,133.58,-9.88,70.53,-59.61,75.7,-21.55,-101.06,67.19,110.0,61.33,-42.15,21.01,-151.15,99.68
11,f10.png,0.8606,0.1395,26768,0,15.8,81.49,-42.98,-96.74,-95.0,126.0,-9.98,71.02,-59.97,76.15,-22.57,-100.22,67.48,110.0,61.33,-42.15,21.01,-151.15,99.68
12,f11.png,0.8606,0.1394,26768,0,15.8,81.31,-43.13,-96.04,-94.75,126.67,-9.81,70.98,-59.84,76.11,-22.51,-99.38,67.54,110.0,61.33,-42.15,21.01,-151.15,99.68
13,f12.png,0.863,0.1371,26768,0,15.9,81.29,-43.28,-95.61,-94.99,127.41,-9.58,71.21,-60.16,76.56,-23.72,-98.5,67.48,110.0,61.33,-42.15,21.01,-151.15,99.68
14,f13.png,0.8643,0.1357,26768,0,15.8,81.29,-43.28,-95.61,-94.99,127.41,-9.58,71.31,-60.33,76.56,-23.41,-98.46,67.26,110.0,61.33,-42.15,21.01,-151.15,99.68
15,f14.png,0.8642,0.1359,26768,0,15.7,81.29,-43.28,-95.61,-94.99,127.41,-9.58,71.31,-60.33,76.56,-23.41,-98.46,67.26,110.0,61.16,-41.53,27.45,-140.57,99.21
16,f15.png,0.8631,0.137,26768,0,15.8,81.29,-43.28,-95.61,-94.99,127.41,-9.58,71.31,-60.33,76.56,-23.41,-98.46,67.26,110.0,61.16,-41.53,27.45,-140.57,99.21
