frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.7656,0.2349,46668,0,38.4,-80.25,-100.0,-24.18,40.13,43.15,-10.0,58.04,-85.99,36.3,95.0,-72.53,-8.13,-63.41,-94.18,-50.05,-94.97,-96.36,79.33,-81.29,-12.13,38.94,95.0,50.84,8.7,-66.01,-80.44,8.68,32.1,57.13,75.6
2,f01.png,0.7664,0.2341,40043,0,33.7,-80.3,-100.0,-23.15,39.62,42.55,-10.0,58.04,-86.01,36.32,95.0,-72.53,-8.13,-63.11,-94.89,-50.46,-95.0,-96.35,79.33,-81.11,-12.71,38.3,95.0,51.21,9.02,-65.67,-80.53,8.51,32.14,57.1,75.58
3,f02.png,0.7551,0.2454,43699,0,36.1,-80.83,-100.0,-24.19,34.08,39.51,-10.0,45.34,-85.08,33.37,92.83,-85.82,-7.88,-63.42,-93.65,-51.16,-94.74,-93.37,78.95,-81.54,-14.75,38.33,94.97,52.62,8.96,-65.74,-80.86,8.32,32.1,57.15,75.66
4,f03.png,0.748,0.2525,48906,0,37.0,-80.79,-100.0,-24.21,34.36,39.58,-10.0,40.52,-80.77,38.23,63.3,-95.52,-5.43,-63.52,-92.9,-50.77,-94.61,-93.34,78.95,-82.56,-12.62,44.45,93.39,53.04,8.99,-65.75,-80.91,8.31,32.09,57.15,75.67
5,f04.png,0.7501,0.2503,50634,0,38.7,-80.59,-100.0,-24.05,35.28,39.72,-10.0,52.57,-63.7,33.58,34.28,-118.83,-4.44,-63.36,-93.37,-51.16,-94.69,-93.37,78.95,-82.56,-12.62,44.45,93.39,53.04,8.99,-65.73,-80.94,8.32,32.1,57.15,75.67
6,f05.png,0.7525,0.248,48330,0,37.0,-80.84,-100.0,-24.14,33.6,39.45,-10.0,60.98,-64.67,34.63,30.06,-150.25,-3.35,-63.34,-93.64,-51.92,-94.94,-85.52,79.26,-82.84,-9.88,45.62,90.09,54.5,8.66,-65.69,-80.89,8.31,32.16,57.13,75.64
7,f06.png,0.7692,0.2313,43699,0,33.4,-80.91,-100.0,-24.15,33.61,39.32,-10.0,69.79,-68.3,33.7,52.22,-113.35,-3.52,-63.27,-91.82,-56.76,-94.33,-75.08,77.18,-82.81,-10.2,45.98,89.42,55.13,8.43,-65.68,-80.92,8.3,32.16,57.1,75.65
8,f07.png,0.7766,0.2238,40659,0,31.0,-80.65,-100.0,-24.13,34.02,39.27,-10.0,69.71,-71.91,33.06,59.58,-106.85,-4.33,-63.66,-91.84,-56.8,-94.37,-75.09,77.18,-82.85,-9.78,45.78,89.33,54.91,8.49,-65.69,-80.93,8.28,32.15,57.06,75.65
9,f08.png,0.7757,0.2247,40659,0,31.2,-81.65,-100.0,-24.31,34.06,39.25,-10.0,69.73,-71.97,33.06,59.53,-106.85,-4.33,-63.27,-91.81,-56.77,-94.33,-75.08,77.18,-82.86,-9.78,45.78,89.33,54.91,8.49,-65.8,-78.65,11.59,31.45,61.44,75.61
10,f09.png,0.7713,0.2291,40659,0,31.1,-82.34,-100.0,-24.16,36.19,39.05,-10.0,69.6,-72.67,33.69,58.91,-106.92,-4.33,-64.02,-91.14,-56.28,-94.27,-75.09,77.19,-82.69,-9.78,45.74,89.33,54.9,8.49,-63.32,-76.66,11.77,22.84,74.78,79.24
11,f10.png,0.7734,0.227,40351,0,31.2,-82.36,-100.0,-24.2,36.04,38.87,-10.0,69.52,-72.92,33.88,58.66,-106.93,-4.33,-63.73,-89.34,-61.62,-88.61,-43.96,76.74,-82.76,-9.73,45.8,89.21,54.71,8.42,-62.85,-75.86,12.49,23.17,74.78,79.13
