frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6212,0.3791,51655,0,36.6,73.76,-99.95,69.05,13.24,105.64,43.18,107.1,-60.85,32.48,59.87,70.2,5.84,-5.37,61.23,16.57,-94.92,70.46,1.14
2,f01.png,0.6066,0.3937,49735,0,35.4,73.76,-99.95,69.05,13.24,105.64,43.18,107.1,-60.85,32.48,59.87,70.2,5.84,-4.23,61.78,9.16,-94.31,69.63,1.95
3,f02.png,0.592,0.4083,49735,0,32.8,73.76,-99.95,69.05,13.24,105.64,43.18,107.99,-60.22,32.71,56.45,103.05,4.59,-4.86,61.81,14.15,-93.99,69.49,2.15
4,f03.png,0.6253,0.375,49735,0,31.1,74.08,-98.71,67.85,15.35,100.06,39.36,108.26,-60.99,33.44,56.55,107.77,1.0,-10.66,52.67,43.37,-93.74,67.59,1.78
5,f04.png,0.6122,0.3882,49735,0,31.0,74.86,-99.13,66.58,18.69,100.73,40.11,108.26,-60.99,33.44,56.55,107.77,1.0,-19.17,40.09,42.47,-82.79,67.86,1.29
6,f05.png,0.6077,0.3927,36295,0,21.8,71.54,-100.0,62.59,28.84,99.12,31.28,107.11,-53.84,30.36,53.01,108.32,-0.42,-28.83,42.46,29.1,-64.43,66.17,-9.57
7,f06.png,0.6231,0.3772,49735,0,30.9,71.54,-100.0,62.59,28.84,99.12,31.28,107.11,-53.84,30.36,53.01,108.32,-0.42,-21.81,40.56,36.89,-64.49,69.18,-9.22
8,f07.png,0.6431,0.3571,49735,0,31.0,72.7,-99.96,62.95,29.38,93.8,29.95,107.82,-52.34,32.5,48.58,105.87,-0.09,-6.47,38.75,46.51,-64.61,71.59,-9.92
9,f08.png,0.6265,0.3738,49735,0,31.0,72.38,-99.96,63.22,29.28,91.67,27.68,107.82,-52.34,32.5,48.58,105.87,-0.09,-6.47,38.75,46.51,-64.61,71.59,-9.92
10,f09.png,0.5709,0.4296,49735,0,30.9,72.38,-99.96,63.22,29.28,91.67,27.68,108.97,-52.56,30.07,53.42,108.28,0.1,-9.62,39.08,41.08,-62.74,75.56,-9.99
11,f10.png,0.5733,0.4271,49735,0,30.9,69.91,-100.0,62.07,32.28,97.4,22.19,109.99,-50.28,29.22,51.52,106.85,0.22,-9.12,38.68,36.96,-55.15,76.88,-9.82
12,f11.png,0.5857,0.4147,36871,0,22.2,69.54,-90.96,47.83,59.93,103.42,24.54,109.45,-44.42,26.61,47.03,106.77,2.38,-5.94,38.46,34.45,-48.27,73.53,19.84
13,f12.png,0.5731,0.4274,49735,0,31.0,74.58,-96.79,44.9,66.95,112.14,24.24,109.9,-43.63,26.36,47.7,108.9,3.25,-6.69,36.01,37.86,-47.36,75.52,19.55
14,f13.png,0.6087,0.3916,49735,0,31.1,78.18,-98.54,42.92,67.0,114.47,24.62,110.0,-40.66,26.71,43.0,103.69,0.3,-7.21,33.15,56.41,-62.13,76.73,18.98
15,f14.png,0.5982,0.4021,49735,0,30.9,78.07,-98.25,44.39,67.86,114.6,24.85,109.98,-40.68,26.73,42.95,103.87,0.29,-6.91,30.26,63.1,-62.95,75.62,19.23
16,f15.png,0.577,0.4234,49735,0,31.0,75.96,-97.39,43.73,74.09,110.08,35.02,110.0,-41.54,25.12,46.3,105.78,-0.09,-11.42,30.73,55.98,-57.94,81.79,20.8
17,f16.png,0.567,0.4335,49735,0,30.8,72.32,-99.96,42.98,74.26,110.1,35.02,109.98,-38.15,22.4,47.15,105.13,1.89,-5.41,30.35,52.43,-53.82,83.68,20.66
