frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6208,0.3795,51655,0,36.7,83.23,-63.9,-96.83,-5.97,66.12,49.23,-87.34,-96.71,51.49,56.89,-113.66,30.81,57.46,-39.48,47.62,5.93,162.01,53.35
2,f01.png,0.622,0.3782,49735,0,35.5,83.23,-63.9,-96.83,-5.97,66.12,49.23,-85.92,-92.6,50.5,55.38,-109.84,30.91,58.32,-38.75,47.81,2.05,162.21,52.49
3,f02.png,0.6246,0.3756,49735,0,33.0,83.23,-63.9,-96.83,-5.97,66.12,49.23,-86.99,-92.66,50.93,52.23,-109.62,32.34,58.32,-38.75,47.81,2.05,162.21,52.49
4,f03.png,0.6482,0.352,49735,0,30.9,101.92,-99.85,-96.83,4.12,78.6,58.66,-109.15,-68.32,47.14,16.18,-49.9,24.56,55.56,-30.47,42.15,32.69,155.74,94.27
5,f04.png,0.6523,0.3479,49735,0,31.0,109.35,-100.0,-96.74,6.43,75.48,78.41,-108.88,-61.62,44.07,15.36,-41.76,27.64,55.15,-30.29,38.81,40.08,145.03,76.01
6,f05.png,0.6179,0.3824,49735,0,31.3,109.2,-99.97,-96.82,6.38,75.45,78.33,-108.88,-61.62,44.07,15.36,-41.76,27.64,54.94,-31.6,38.21,40.82,137.29,75.51
7,f06.png,0.6099,0.3904,49735,0,31.2,108.83,-99.97,-96.53,6.49,75.37,78.02,-108.88,-61.62,44.07,15.36,-41.76,27.64,50.98,-35.02,41.76,42.22,137.89,74.83
8,f07.png,0.6554,0.3448,37063,0,22.5,102.4,-98.17,-96.17,-5.73,80.05,87.56,-107.95,-58.88,43.18,11.65,-59.02,23.64,55.61,-34.0,40.66,27.22,158.94,77.6
9,f08.png,0.6544,0.3458,49735,0,31.1,102.64,-98.16,-96.12,-6.07,80.23,87.55,-107.99,-60.43,44.04,14.19,-42.83,27.88,54.98,-31.11,38.35,38.03,149.31,76.88
10,f09.png,0.6197,0.3806,49735,0,31.1,107.85,-99.67,-88.02,-12.67,75.22,98.7,-108.64,-61.42,44.8,15.0,-41.21,27.1,53.18,-32.26,41.77,45.37,138.59,80.92
11,f10.png,0.6029,0.3974,49735,0,31.3,107.57,-99.62,-87.93,-12.64,76.31,98.79,-108.64,-61.42,44.8,15.0,-41.21,27.1,55.3,-31.14,38.42,47.12,127.42,80.53
12,f11.png,0.603,0.3973,49735,0,31.4,107.53,-98.6,-88.6,-21.08,83.17,85.1,-109.06,-62.07,44.21,15.88,-43.39,30.0,55.31,-37.52,44.51,34.17,126.8,99.99
13,f12.png,0.5884,0.412,49735,0,31.4,106.69,-98.89,-88.61,-20.88,82.5,85.49,-109.06,-62.07,44.21,15.88,-43.39,30.0,55.31,-37.52,44.51,34.17,126.8,99.99
14,f13.png,0.628,0.3722,49735,0,31.8,106.76,-99.27,-88.36,-20.94,83.16,85.51,-106.64,-54.69,40.87,12.63,-41.88,29.93,54.3,-35.88,44.81,32.45,148.9,99.64
15,f14.png,0.6336,0.3666,49735,0,31.5,108.47,-99.23,-82.52,-22.19,88.92,97.75,-108.57,-63.13,45.42,16.65,-39.02,28.82,56.98,-31.54,39.4,25.12,149.65,99.16
16,f15.png,0.6215,0.3787,49735,0,31.9,108.63,-99.52,-82.63,-22.26,88.99,97.75,-108.17,-60.13,42.08,17.77,-37.18,28.54,55.03,-32.46,44.34,34.43,139.85,95.78
17,f16.png,0.613,0.3873,49735,0,31.9,109.18,-99.89,-86.63,-15.33,102.52,81.39,-108.69,-60.85,43.8,14.96,-42.55,29.09,55.06,-33.76,41.36,38.87,134.37,79.73
18,f17.png,0.5982,0.4022,49735,0,31.7,109.3,-99.88,-86.67,-15.37,102.49,81.48,-108.69,-60.85,43.8,14.96,-42.55,29.09,55.48,-35.57,40.84,37.82,132.84,79.79
19,f18.png,0.5957,0.4047,49735,0,31.3,84.33,-84.27,-83.19,-26.65,100.56,79.19,-108.69,-60.85,43.8,14.96,-42.55,29.09,51.07,-37.04,45.42,36.14,137.0,79.21
20,f19.png,0.639,0.3613,49735,0,30.9,103.38,-99.53,-82.97,-24.48,83.51,81.58,-108.21,-60.02,45.2,9.66,-56.49,24.82,55.12,-34.49,41.02,33.92,149.74,90.66
21,f20.png,0.6351,0.3652,49735,0,31.3,103.03,-99.99,-83.72,-24.38,81.74,81.96,-108.21,-60.02,45.2,9.66,-56.49,24.82,55.12,-34.49,41.02,33.92,149.74,90.66
22,f21.png,0.617,0.3833,36679,0,22.5,108.53,-99.61,-85.78,-28.27,91.79,88.62,-108.18,-58.94,43.11,12.34,-53.27,26.61,55.4,-31.28,40.05,43.96,134.7,99.83
23,f22.png,0.6072,0.3931,35335,0,21.7,109.86,-99.92,-81.39,-46.74,72.72,92.18,-109.31,-60.81,43.86,12.19,-53.96,26.55,55.43,-32.42,39.74,41.07,133.35,92.0
24,f23.png,0.6144,0.3859,49735,0,31.2,109.8,-99.79,-80.6,-41.89,66.66,83.85,-108.96,-61.34,43.93,15.43,-43.74,29.82,55.52,-34.87,41.04,38.58,129.24,99.98
25,f24.png,0.6033,0.397,49735,0,31.2,109.88,-99.84,-80.67,-41.87,66.84,83.84,-108.96,-61.34,43.93,15.43,-43.74,29.82,55.52,-34.87,41.04,38.58,129.24,99.98
26,f25.png,0.6338,0.3665,49735,0,31.1,109.87,-99.83,-80.42,-41.8,66.75,83.95,-107.86,-61.43,45.34,14.79,-40.62,29.52,54.22,-34.51,45.29,28.62,151.97,98.05
27,f26.png,0.6376,0.3626,49735,0,31.1,110.0,-99.91,-80.42,-41.77,66.72,83.92,-107.86,-59.24,43.27,16.25,-37.07,29.92,54.99,-30.61,41.88,33.5,147.61,98.51
28,f27.png,0.621,0.3793,49735,0,31.1,109.99,-99.99,-80.38,-41.77,66.86,83.94,-108.05,-58.96,42.11,17.83,-36.37,29.42,56.4,-29.42,39.44,36.96,138.57,97.94
29,f28.png,0.5996,0.4007,49735,0,31.3,109.88,-99.99,-80.46,-41.83,66.78,83.96,-107.78,-60.02,42.4,16.05,-42.2,28.5,57.58,-28.21,37.74,40.45,131.81,97.92
30,f29.png,0.6069,0.3935,35335,0,21.7,103.04,-99.99,-71.98,-41.1,79.46,90.23,-108.97,-61.88,44.02,15.93,-41.83,30.06,55.26,-33.95,40.68,37.66,131.64,100.0
