frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.0465,0.954,69959,0,55.9,13.2,-98.39,-96.83,40.47,64.2,-4.89,-71.19,99.89,-80.22,-47.5,-144.12,-2.45,-76.17,99.85,-79.34,-25.63,-73.43,49.29
2,f01.png,0.1796,0.8209,73735,0,56.5,13.49,-99.43,-96.83,40.79,63.86,-4.83,-90.21,65.59,-68.51,-8.23,-150.97,-2.28,-76.15,100.0,-79.24,-25.58,-73.47,49.27
3,f02.png,0.2742,0.7263,33799,0,22.7,19.54,-99.93,-81.16,73.19,44.44,-9.65,-91.87,51.85,-40.39,9.59,-155.52,-9.36,-79.23,99.99,-84.11,-11.43,-81.59,36.86
4,f03.png,0.3065,0.694,73735,0,50.6,19.48,-100.0,-81.27,72.92,44.4,-9.69,-92.67,44.81,-52.02,-1.13,-156.83,-9.45,-79.31,99.99,-84.12,-11.37,-81.66,36.85
5,f04.png,0.3937,0.6068,73735,0,50.0,9.65,-99.76,-93.92,63.46,23.0,14.51,-92.34,24.9,-32.12,7.93,-157.21,-2.49,-79.35,99.97,-91.63,5.38,-64.31,-9.44
6,f05.png,0.4903,0.5102,51655,0,34.3,25.55,-99.85,-93.87,61.09,10.47,10.55,-92.59,10.82,-18.85,9.1,-151.86,-8.38,-79.28,99.96,-88.07,-8.48,-71.22,-10.0
7,f06.png,0.5521,0.4484,49735,0,33.1,25.52,-99.8,-93.93,60.98,10.48,10.55,-93.31,9.7,-18.56,3.36,-156.0,-8.94,-79.39,99.99,-88.27,-8.49,-71.61,-10.0
8,f07.png,0.5814,0.419,49735,0,33.4,26.5,-99.7,-93.37,49.73,19.76,11.35,-93.17,-5.94,-2.96,0.99,-157.21,-1.74,-79.31,99.92,-84.56,-14.22,-78.01,-9.99
9,f08.png,0.5759,0.4245,49735,0,33.4,30.82,-98.5,-95.46,42.7,11.07,16.9,-93.48,-15.5,5.56,-1.97,-157.14,6.39,-79.28,99.99,-85.1,-17.8,-64.61,37.01
10,f09.png,0.5671,0.4334,49735,0,33.6,24.71,-99.74,-96.17,31.95,3.85,25.71,-93.88,-22.73,11.48,-7.35,-153.71,-2.62,-79.32,99.99,-85.08,-19.04,-75.12,26.23
11,f10.png,0.5579,0.4426,49735,0,33.0,24.64,-99.94,-96.29,31.81,3.71,25.78,-93.68,-24.49,9.87,-3.08,-156.43,-3.0,-79.47,99.92,-85.08,-19.72,-76.83,26.25
12,f11.png,0.5629,0.4375,49735,0,33.2,32.46,-100.0,-93.91,16.48,-19.7,45.36,-93.1,-23.61,8.72,-4.15,-152.7,-10.0,-79.22,99.92,-84.33,-18.55,-53.58,28.66
13,f12.png,0.536,0.4644,49735,0,33.1,32.3,-99.97,-93.97,16.57,-19.73,45.25,-93.53,-11.95,-0.1,-13.83,-115.06,-8.91,-79.34,99.99,-85.14,-18.44,-52.62,28.56
14,f13.png,0.6111,0.3894,49735,0,32.0,47.84,-99.99,-94.13,6.26,-24.18,94.87,-88.5,-10.29,-1.75,-12.05,-128.34,-9.97,-101.64,37.23,-79.2,30.29,-48.17,50.22
15,f14.png,0.6549,0.3456,49735,0,31.2,78.06,-99.82,-96.81,14.1,-24.55,96.81,-87.47,-16.49,-1.73,-5.78,-140.39,58.22,-109.71,4.0,-59.73,88.42,-85.12,-9.03
16,f15.png,0.6557,0.3448,49735,0,31.0,78.02,-99.92,-96.81,14.35,-24.57,96.84,-87.61,-32.17,4.0,11.32,-137.83,58.53,-110.0,-4.56,-47.38,83.27,-90.18,-9.51
17,f16.png,0.6558,0.3447,49735,0,31.0,78.01,-99.74,-96.72,14.44,-24.3,96.67,-87.61,-32.17,4.0,11.32,-137.83,58.53,-110.0,-4.56,-47.38,83.27,-90.18,-9.51
18,f17.png,0.656,0.3445,49735,0,31.0,80.39,-99.46,-94.35,4.17,-29.28,92.33,-85.86,-33.71,4.86,15.66,-132.9,54.42,-109.74,-7.26,-46.69,87.28,-91.23,-9.54
19,f18.png,0.6575,0.343,49735,0,31.0,80.55,-99.98,-94.54,3.92,-30.07,92.48,-85.4,-37.01,4.16,21.82,-139.0,54.11,-109.74,-7.26,-46.69,87.28,-91.23,-9.54
20,f19.png,0.6585,0.3419,49735,0,30.6,101.22,-99.94,-96.51,3.81,-71.1,87.03,-81.75,-42.55,4.11,29.22,-140.41,64.67,-110.0,-19.6,-32.2,82.22,-85.99,-9.85
21,f20.png,0.6577,0.3427,34567,0,20.5,85.16,-98.74,-94.99,9.03,-64.61,84.92,-80.78,-28.46,-4.89,27.99,-141.5,60.57,-109.99,-32.52,-28.2,91.72,-89.31,-10.0
22,f21.png,0.681,0.3195,49735,0,30.6,99.74,-99.58,-96.67,-15.67,-64.38,89.69,-64.4,-29.38,-23.62,88.46,-142.31,99.98,-109.98,-33.75,-29.47,94.83,-86.54,-9.12
