frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.0284,0.9725,48714,0,41.5,11.81,-95.55,-81.5,54.99,109.92,9.4,-93.03,-100.0,90.46,60.45,-22.56,-9.91,-110.0,85.53,-80.29,1.55,-114.81,67.7,-91.0,-99.97,90.66,40.52,-94.72,22.08,85.61,100.0,-94.27,15.77,81.33,11.31
2,f01.png,0.1371,0.8636,56330,0,48.5,11.98,-95.6,-81.66,55.02,110.17,9.51,-93.62,-99.75,88.53,60.45,-22.56,-9.91,-110.0,85.53,-80.29,1.55,-114.81,67.7,-90.96,-99.97,89.72,39.76,-95.19,22.08,88.68,100.0,-96.83,-0.99,84.56,12.49
3,f02.png,0.2094,0.7914,52490,0,41.0,11.81,-95.55,-81.5,54.99,109.92,9.4,-92.41,-86.72,82.14,69.19,4.74,-9.48,-109.53,94.42,-96.64,18.68,-82.61,73.48,-95.38,-100.0,71.86,32.39,-92.58,19.02,88.5,100.0,-96.45,-1.18,84.63,12.43
4,f03.png,0.2815,0.7193,51146,0,38.7,11.82,-95.53,-81.64,54.95,109.99,9.23,-92.39,-92.54,73.01,79.78,13.09,-9.98,-108.47,94.35,-96.79,14.53,-83.89,72.69,-95.37,-100.0,63.81,28.32,-92.46,19.28,87.85,99.97,-96.55,-1.08,84.59,12.39
5,f04.png,0.381,0.6196,53450,0,40.6,11.9,-95.98,-80.28,54.77,106.96,9.56,-91.18,-92.17,91.2,62.08,2.89,-9.01,-108.49,94.33,-96.79,14.53,-83.89,72.69,-92.77,-100.0,58.96,21.91,-93.77,18.86,88.05,99.86,-96.82,-1.17,84.4,12.33
6,f05.png,0.3978,0.603,77834,0,59.3,11.99,-95.96,-80.06,54.7,106.94,9.51,-91.18,-92.17,91.2,62.08,2.89,-9.01,-92.8,54.54,-96.83,32.66,-152.32,63.93,-93.26,-99.84,59.48,23.51,-96.86,18.36,88.19,99.95,-96.71,-1.22,84.56,12.32
7,f06.png,0.4694,0.5313,54090,0,39.4,12.05,-95.81,-80.26,54.75,106.88,9.29,-91.58,-96.68,90.46,59.93,1.43,-9.96,-92.67,53.6,-96.83,27.7,-157.21,53.45,-91.91,-99.86,58.2,22.62,-96.07,18.53,87.92,99.92,-96.48,-1.33,84.89,12.16
8,f07.png,0.4903,0.5104,43658,0,31.4,12.31,-95.96,-79.87,54.55,106.88,9.36,-91.54,-96.5,90.41,59.61,1.45,-9.97,-93.19,49.33,-92.29,24.04,-157.19,52.22,-93.42,-99.31,55.72,17.23,-88.16,21.57,88.04,99.99,-96.58,-1.18,84.61,12.16
9,f08.png,0.4966,0.504,45258,0,32.2,11.88,-95.81,-79.82,54.58,106.85,9.48,-91.63,-96.25,90.51,59.47,1.89,-9.69,-93.33,46.25,-92.34,26.23,-157.02,52.76,-96.5,-100.0,51.4,14.48,-84.54,19.48,87.92,100.0,-96.75,-1.16,84.8,12.1
10,f09.png,0.5041,0.4966,44106,0,31.5,11.86,-96.06,-79.74,54.49,106.73,9.55,-91.63,-96.25,90.51,59.47,1.89,-9.69,-92.98,40.37,-87.04,29.19,-157.21,52.52,-93.17,-96.82,47.33,16.54,-92.05,18.8,88.01,99.99,-96.8,-0.95,86.03,12.02
