n,id,subset,best_iou,mean_iou,std_iou,best_vs_original,seconds,uncastable_after,fit_scale
1,abstract_comma_mpeg7-03,abstract,0.7865,0.7448,0.0402,0.1611,8.6,0.06208,0.7346
1,abstract_device0_mpeg7-01,abstract,0.5111,0.4794,0.0322,0.1418,8.6,0.11653,0.8308
1,abstract_device3_mpeg7-01,abstract,0.5854,0.5389,0.0336,0.1875,8.4,0.15883,0.6385
1,abstract_hcircle_mpeg7-03,abstract,0.7321,0.688,0.0323,0.3202,7.7,0.0615,0.7346
1,abstract_spring_mpeg7-03,abstract,0.2566,0.243,0.0101,0.0404,7.7,0.38856,1.2154
1,abstract_stef_mpeg7-02,abstract,0.4574,0.4348,0.0164,0.1126,7.1,0.1914,0.8308
1,animals_dog_mpeg7-03,animals,0.3478,0.3336,0.019,0.1016,7.2,0.30842,1.0231
1,animals_fly_mpeg7-02,animals,0.6118,0.591,0.0152,0.3476,7.5,0.09059,0.7346
1,animals_lizzard_mpeg7-02,animals,0.5958,0.5421,0.0664,0.1028,7.1,0.08035,0.7346
1,animals_octopus_mpeg7-03,animals,0.5482,0.5067,0.0294,0.1818,7.5,0.15428,0.7346
1,animals_ray_mpeg7-01,animals,0.531,0.5029,0.028,0.1057,7.3,0.14963,0.8308
1,animals_ray_mpeg7-05,animals,0.5262,0.5202,0.0063,0.1627,7.3,0.12551,0.7346
1,animals_sea-snake_mpeg7-01,animals,0.2895,0.2795,0.0134,0.0972,7.3,0.13789,0.9269
1,digits_0_dejavusans-bold,digits,0.5709,0.5571,0.0121,0.1916,7.3,0.10639,0.7346
1,digits_4_dejavuserif-bold,digits,0.6102,0.5917,0.0132,0.0984,7.1,0.10157,0.7346
1,figures_children_mpeg7-04,figures,0.7988,0.7704,0.0225,0.1296,7.1,0.07963,0.7346
1,figures_face_mpeg7-03,figures,0.6678,0.6222,0.033,0.2158,7.2,0.14718,0.7346
1,hand_shadow_chicken_hasper-01,hand_shadow,0.6342,0.6153,0.0174,0.17,7.0,0.0696,0.6385
1,hand_shadow_crab_hasper-01,hand_shadow,0.4396,0.4113,0.0289,0.1447,7.4,0.2512,1.1192
1,letters_lower_g_dejavuserif-bold,letters_lower,0.503,0.4684,0.0335,0.1573,7.3,0.10749,0.7346
1,letters_lower_l_dejavusansmono-bold,letters_lower,0.5829,0.5717,0.0097,0.221,7.3,0.0,0.7346
1,letters_lower_m_dejavusansmono-bold,letters_lower,0.4386,0.4183,0.0241,0.14,7.5,0.04446,0.7346
1,letters_lower_r_dejavusans-bold,letters_lower,0.7383,0.6962,0.0319,0.2572,7.5,0.00526,0.6385
1,letters_lower_x_dejavusans-bold,letters_lower,0.5035,0.4553,0.0387,0.1616,7.5,0.10966,0.8308
1,letters_lower_y_dejavuserif-bold,letters_lower,0.5708,0.5046,0.0479,0.202,7.3,0.0528,0.7346
1,letters_upper_A_dejavusansmono-bold,letters_upper,0.6164,0.5911,0.0256,0.2104,7.5,0.10659,0.7346
1,letters_upper_J_dejavusansmono-bold,letters_upper,0.61,0.5854,0.0321,0.0915,7.6,0.06704,0.7346
1,letters_upper_K_dejavusans-bold,letters_upper,0.5,0.4679,0.027,0.1087,7.3,0.14863,0.7346
1,letters_upper_K_dejavuserif-bold,letters_upper,0.4397,0.4318,0.0065,0.1794,7.5,0.19462,0.8308
1,letters_upper_M_dejavuserif-bold,letters_upper,0.4225,0.4034,0.0174,0.101,7.1,0.1492,0.7346
1,letters_upper_T_dejavusans-bold,letters_upper,0.7111,0.6348,0.0715,0.2242,7.6,0.0,0.7346
1,objects_apple_mpeg7-02,objects,0.561,0.5285,0.028,0.2029,7.3,0.16216,0.7346
1,objects_apple_mpeg7-03,objects,0.6113,0.5622,0.0354,0.229,7.4,0.17636,0.7346
1,objects_bottle_mpeg7-02,objects,0.7278,0.6947,0.0238,0.3795,7.6,0.02632,0.7346
1,objects_guitar_mpeg7-03,objects,0.3335,0.2909,0.046,0.0449,7.3,0.07941,0.8308
1,objects_horseshoe_mpeg7-04,objects,0.5138,0.4762,0.041,0.0779,7.3,0.06781,0.6385
1,objects_spoon_mpeg7-02,objects,0.6185,0.5452,0.1022,0.0041,7.6,0.34381,1.0231
1,objects_tree_mpeg7-02,objects,0.6114,0.5894,0.0312,0.206,7.6,0.11329,0.8308
1,vehicles_chopper_mpeg7-01,vehicles,0.4524,0.438,0.0154,0.1388,7.3,0.25804,1.3115
1,vehicles_personal-car_mpeg7-02,vehicles,0.4996,0.4561,0.0467,0.1377,5.4,0.28231,1.0231
2,abstract_comma_mpeg7-03,abstract,0.8351,0.7639,0.0639,0.1902,18.3,0.11752,0.7346
2,abstract_device0_mpeg7-01,abstract,0.6273,0.6009,0.0195,0.2866,18.4,0.1328,0.8308
2,abstract_device3_mpeg7-01,abstract,0.8021,0.7471,0.0408,0.2765,18.1,0.21376,0.6385
2,abstract_hcircle_mpeg7-03,abstract,0.7912,0.7868,0.0037,0.3519,16.5,0.02317,0.7346
2,abstract_spring_mpeg7-03,abstract,0.3571,0.2971,0.045,0.0371,16.8,0.39273,1.2154
2,abstract_stef_mpeg7-02,abstract,0.5163,0.5005,0.0179,0.1557,16.4,0.202,0.8308
2,animals_dog_mpeg7-03,animals,0.3673,0.3596,0.0099,0.1019,16.0,0.29671,1.0231
2,animals_fly_mpeg7-02,animals,0.6504,0.6314,0.0135,0.3574,16.3,0.09418,0.8308
2,animals_lizzard_mpeg7-02,animals,0.5884,0.5698,0.015,0.096,16.2,0.1185,0.7346
2,animals_octopus_mpeg7-03,animals,0.7303,0.6933,0.0341,0.2454,17.2,0.22415,0.7346
2,animals_ray_mpeg7-01,animals,0.7438,0.6647,0.0575,0.2406,17.3,0.2151,0.8308
2,animals_ray_mpeg7-05,animals,0.6396,0.6058,0.0304,0.2052,17.3,0.14333,1.0231
2,animals_sea-snake_mpeg7-01,animals,0.4502,0.4238,0.0276,0.1195,16.9,0.16753,1.0231
2,digits_0_dejavusans-bold,digits,0.648,0.6396,0.0065,0.2095,17.0,0.16439,0.7346
2,digits_4_dejavuserif-bold,digits,0.6414,0.6179,0.0274,0.1221,17.2,0.11734,0.7346
2,figures_children_mpeg7-04,figures,0.8269,0.8047,0.0168,0.2085,17.3,0.10632,0.8308
2,figures_face_mpeg7-03,figures,0.8253,0.7912,0.0266,0.3075,16.9,0.13646,0.7346
2,hand_shadow_chicken_hasper-01,hand_shadow,0.7917,0.7744,0.0173,0.2175,17.0,0.08229,0.7346
2,hand_shadow_crab_hasper-01,hand_shadow,0.6078,0.5903,0.0157,0.1441,16.8,0.26835,1.1192
2,letters_lower_g_dejavuserif-bold,letters_lower,0.6027,0.5922,0.0143,0.1041,16.6,0.16259,0.7346
2,letters_lower_l_dejavusansmono-bold,letters_lower,0.7433,0.7002,0.0332,0.247,17.0,0.07825,0.9269
2,letters_lower_m_dejavusansmono-bold,letters_lower,0.6884,0.5802,0.0817,0.2068,16.4,0.08923,0.7346
2,letters_lower_r_dejavusans-bold,letters_lower,0.7993,0.7808,0.0147,0.2305,16.8,0.05435,0.6385
2,letters_lower_x_dejavusans-bold,letters_lower,0.6407,0.6248,0.0114,0.2302,16.7,0.16289,0.8308
2,letters_lower_y_dejavuserif-bold,letters_lower,0.5604,0.5507,0.0113,0.2036,16.5,0.10497,0.7346
2,letters_upper_A_dejavusansmono-bold,letters_upper,0.6987,0.6387,0.0464,0.2168,16.5,0.16576,0.7346
2,letters_upper_J_dejavusansmono-bold,letters_upper,0.6402,0.6211,0.0207,0.1118,16.5,0.10209,0.7346
2,letters_upper_K_dejavusans-bold,letters_upper,0.6153,0.5951,0.0143,0.1967,16.3,0.12604,0.7346
2,letters_upper_K_dejavuserif-bold,letters_upper,0.5712,0.5398,0.0244,0.1985,17.1,0.17769,0.8308
2,letters_upper_M_dejavuserif-bold,letters_upper,0.5718,0.5334,0.028,0.1175,17.2,0.20501,0.8308
2,letters_upper_T_dejavusans-bold,letters_upper,0.6781,0.6588,0.0138,0.2439,16.7,0.02423,0.7346
2,objects_apple_mpeg7-02,objects,0.7618,0.7273,0.028,0.2709,16.8,0.232,0.7346
2,objects_apple_mpeg7-03,objects,0.7894,0.7686,0.0149,0.2501,17.0,0.25206,0.7346
2,objects_bottle_mpeg7-02,objects,0.7583,0.6567,0.1014,0.387,17.0,0.0743,0.7346
