condition,budget,n_robots,id,subset,best_iou,best_iou_vs_original,mean_iou,mean_iou_vs_original,std_iou,min_iou,n_runs,seconds
big-n1,big,1,letters_lower_r_dejavusans-bold,letters_lower,0.6512,0.6512,0.5828,0.5828,0.0406,0.5469,5,36.5
big-n1,big,1,letters_upper_I_dejavusans-bold,letters_upper,0.7555,0.7555,0.7003,0.7003,0.0478,0.6319,5,36.9
big-n1,big,1,letters_upper_J_dejavusans-bold,letters_upper,0.7762,0.7762,0.7483,0.7483,0.0229,0.7202,5,36.4
big-n1,big,1,letters_upper_L_dejavusans-bold,letters_upper,0.6276,0.6276,0.5719,0.5719,0.0317,0.5404,5,36.2
big-n1,big,1,letters_upper_V_dejavusans-bold,letters_upper,0.4404,0.4404,0.4247,0.4247,0.0133,0.4009,5,36.2
big-n2,big,2,letters_lower_r_dejavusans-bold,letters_lower,0.8173,0.8173,0.7889,0.7889,0.0402,0.7092,5,81.4
big-n2,big,2,letters_upper_I_dejavusans-bold,letters_upper,0.8693,0.8693,0.8452,0.8452,0.0139,0.8297,5,82.1
big-n2,big,2,letters_upper_J_dejavusans-bold,letters_upper,0.8504,0.8504,0.8114,0.8114,0.0331,0.7684,5,81.3
big-n2,big,2,letters_upper_L_dejavusans-bold,letters_upper,0.8002,0.8002,0.7837,0.7837,0.0084,0.778,5,81.2
big-n2,big,2,letters_upper_V_dejavusans-bold,letters_upper,0.7814,0.7814,0.7646,0.7646,0.0119,0.7474,5,81.8
big-n3,big,3,letters_lower_r_dejavusans-bold,letters_lower,0.8583,0.8583,0.8378,0.8378,0.0143,0.8219,5,121.0
big-n3,big,3,letters_upper_I_dejavusans-bold,letters_upper,0.8632,0.8632,0.8434,0.8434,0.0155,0.8188,5,122.2
big-n3,big,3,letters_upper_J_dejavusans-bold,letters_upper,0.8572,0.8572,0.8253,0.8253,0.0379,0.7512,5,120.5
big-n3,big,3,letters_upper_L_dejavusans-bold,letters_upper,0.8791,0.8791,0.8265,0.8265,0.0315,0.794,5,121.4
big-n3,big,3,letters_upper_V_dejavusans-bold,letters_upper,0.8285,0.8285,0.8139,0.8139,0.0198,0.7754,5,120.9
big-n5,big,5,letters_lower_r_dejavusans-bold,letters_lower,0.9086,0.9086,0.8839,0.8839,0.0132,0.8694,5,192.1
big-n5,big,5,letters_upper_I_dejavusans-bold,letters_upper,0.8559,0.8559,0.78,0.78,0.0403,0.7362,5,192.8
big-n5,big,5,letters_upper_J_dejavusans-bold,letters_upper,0.8185,0.8185,0.7742,0.7742,0.039,0.7063,5,190.2
big-n5,big,5,letters_upper_L_dejavusans-bold,letters_upper,0.9315,0.9315,0.8894,0.8894,0.0395,0.8281,5,192.3
big-n5,big,5,letters_upper_V_dejavusans-bold,letters_upper,0.8703,0.8703,0.8449,0.8449,0.0137,0.8312,5,192.3
