frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.2674,0.7333,73031,0,57.0,87.98,-53.21,60.38,6.09,82.96,-8.09,-58.97,97.87,-96.48,-5.61,-69.61,-6.13,-61.13,99.98,-92.46,6.04,84.67,-8.98
2,f01.png,0.2781,0.7224,73735,0,58.1,87.19,-56.11,59.86,1.74,69.9,-9.59,-58.49,97.57,-96.44,-5.79,-66.18,-7.34,-66.08,100.0,-85.38,-1.97,78.64,-8.24
3,f02.png,0.2574,0.7433,73735,0,53.0,84.64,-76.72,69.45,8.27,71.37,-10.0,-58.11,97.4,-96.83,-5.89,-66.42,-7.35,-66.08,100.0,-85.38,-1.97,78.64,-8.24
4,f03.png,0.2635,0.7371,73735,0,53.0,85.46,-77.41,70.94,11.03,80.73,-9.96,-58.09,97.32,-96.53,-5.64,-66.39,-6.99,-66.41,99.99,-83.19,-7.48,77.33,-9.96
5,f04.png,0.2503,0.7503,73735,0,52.9,85.28,-96.02,75.27,14.9,67.52,-9.31,-58.09,97.32,-96.53,-5.64,-66.39,-6.99,-66.43,100.0,-83.34,-7.66,76.55,-9.99
6,f05.png,0.2912,0.7094,73735,0,53.3,83.17,-78.41,72.69,3.1,59.67,-9.38,-58.09,97.32,-96.53,-5.64,-66.39,-6.99,-66.45,99.97,-80.41,-12.47,86.54,-7.31
7,f06.png,0.2596,0.741,73735,0,53.0,84.76,-88.61,73.71,14.6,56.85,-7.83,-58.25,97.34,-96.46,-5.7,-65.56,-6.63,-66.37,100.0,-81.18,-13.53,85.96,-7.51
8,f07.png,0.279,0.7216,73735,0,52.8,84.75,-85.26,72.77,13.05,57.99,-8.33,-58.37,98.89,-96.19,-6.4,-66.08,-6.78,-66.53,99.94,-80.94,-13.92,85.23,-7.97
9,f08.png,0.2992,0.7014,73735,0,53.1,85.3,-80.79,73.8,7.59,58.02,-9.31,-58.22,99.45,-96.83,-6.73,-66.94,-7.33,-66.54,99.95,-80.42,-14.33,84.3,-7.94
10,f09.png,0.3337,0.6668,73735,0,53.2,85.3,-80.79,73.8,7.59,58.02,-9.31,-58.52,99.15,-96.83,-6.56,-65.39,-7.91,-66.54,99.95,-80.42,-14.33,84.3,-7.94
11,f10.png,0.2884,0.7122,73735,0,53.8,86.01,-84.5,80.63,-2.38,29.67,9.68,-58.38,99.67,-96.81,-6.38,-66.33,-8.19,-66.54,99.95,-80.42,-14.33,84.3,-7.94
12,f11.png,0.2957,0.7047,73735,0,54.1,89.56,-88.1,88.11,-9.73,26.58,12.99,-59.04,99.97,-96.62,-6.25,-67.56,-8.19,-66.54,99.95,-80.42,-14.33,84.3,-7.94
13,f12.png,0.2893,0.7112,73735,0,53.9,89.33,-85.76,85.4,-6.12,26.49,11.15,-59.09,99.86,-96.73,-6.42,-69.11,-8.46,-66.62,99.99,-80.05,-14.59,84.92,-7.81
