frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.4264,0.5741,73735,0,55.7,109.99,-99.98,-75.8,-56.13,0.26,38.68,104.96,-21.79,87.22,-94.04,-156.79,-7.03,84.17,19.21,-17.2,6.97,120.58,-9.3
2,f01.png,0.4229,0.5775,51655,0,39.6,109.99,-99.98,-75.8,-56.13,0.26,38.68,106.44,-5.32,89.71,-95.0,-156.9,-6.68,85.82,18.67,-25.33,5.39,91.12,-9.75
3,f02.png,0.4113,0.5894,51655,0,34.7,109.99,-99.98,-75.8,-56.13,0.26,38.68,108.75,-24.04,89.35,-77.57,-136.36,-2.51,81.9,26.96,-30.04,-3.13,114.32,-8.46
4,f03.png,0.3893,0.6113,73735,0,49.6,110.0,-99.89,-75.72,-56.16,0.45,38.69,103.55,-25.24,84.9,-82.47,-155.86,-4.62,81.34,26.21,-27.36,4.15,105.86,-9.35
5,f04.png,0.4166,0.5839,51655,0,33.2,82.88,-94.13,-72.19,-56.01,0.36,38.78,96.58,-28.39,86.35,-94.98,-142.82,-8.89,85.63,23.66,-29.72,3.6,100.53,-9.99
6,f05.png,0.4468,0.5539,51655,0,34.0,86.13,-99.98,-73.33,-37.18,-20.72,38.7,105.62,-16.7,89.2,-93.36,-148.83,10.31,80.92,25.46,-32.48,12.5,134.53,-7.79
7,f06.png,0.3691,0.6315,71431,0,48.1,86.08,-99.94,-73.35,-37.15,-20.7,38.75,99.34,-24.62,82.25,-94.26,-156.0,4.69,84.92,29.78,-38.72,17.23,119.82,-8.39
8,f07.png,0.4353,0.5652,51655,0,34.0,110.0,-99.87,-76.73,-25.59,-50.49,91.42,104.26,-12.84,88.06,-95.0,-157.19,37.03,83.18,29.18,-39.95,21.56,140.15,-9.73
9,f08.png,0.4226,0.578,51655,0,34.2,110.0,-99.9,-76.48,-25.54,-50.37,91.61,104.56,-13.21,81.67,-89.86,-155.59,37.0,82.26,26.44,-34.14,21.96,130.69,-9.91
10,f09.png,0.4776,0.5229,49735,0,32.9,110.0,-99.47,-86.09,-0.58,-100.83,99.99,104.46,-21.45,85.35,-88.32,-157.21,51.44,83.69,26.53,-35.04,29.03,154.77,-9.76
11,f10.png,0.4404,0.56,51655,0,34.0,110.0,-98.38,-91.43,-12.44,-101.33,74.26,103.76,-17.6,89.43,-94.93,-156.45,29.93,86.27,28.68,-43.95,34.94,156.11,-10.0
12,f11.png,0.4649,0.5355,35911,0,22.5,86.15,-100.0,-95.87,-21.33,-123.58,56.71,95.56,-19.13,74.66,-94.99,-151.54,-9.95,88.51,45.0,-65.0,92.4,155.06,-9.95
13,f12.png,0.4605,0.5399,49735,0,32.3,86.15,-100.0,-95.87,-21.33,-123.58,56.71,93.95,-14.13,67.92,-94.86,-156.53,-9.4,91.65,46.17,-64.15,92.78,155.14,-9.45
