frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6022,0.3982,51655,0,37.5,-76.6,-72.53,31.49,39.76,104.61,6.74,-86.75,-99.99,-58.25,-6.1,-39.21,62.39,92.47,98.41,-96.72,-5.69,96.77,12.39
2,f01.png,0.6151,0.3852,49735,0,36.0,-83.05,-55.16,18.38,36.17,126.51,16.26,-92.08,-99.85,-63.35,-18.54,-11.47,43.66,83.0,99.96,-96.6,-8.3,119.74,8.11
3,f02.png,0.5486,0.4518,51655,0,35.2,-71.98,-75.2,34.86,29.82,123.67,16.11,-87.45,-99.74,-63.41,-18.14,-11.24,43.63,99.59,98.31,-96.83,-11.03,118.7,8.62
4,f03.png,0.5579,0.4425,35911,0,22.6,-70.67,-90.47,39.15,37.86,107.66,14.26,-86.96,-99.78,-53.67,-14.73,15.87,29.69,92.26,99.12,-96.76,-14.32,99.73,-9.64
5,f04.png,0.57,0.4303,49735,0,31.6,-83.18,-57.87,23.43,29.78,132.53,23.77,-92.16,-99.87,-63.55,-19.02,1.3,33.31,84.98,99.96,-96.8,-7.83,153.7,-2.18
6,f05.png,0.6043,0.3961,49735,0,32.6,-71.02,-75.64,33.7,32.18,120.82,23.74,-82.78,-95.71,-74.52,-16.64,17.78,29.57,85.71,99.84,-89.27,-4.79,154.74,-1.76
7,f06.png,0.555,0.4454,33607,0,21.0,-74.71,-78.68,28.97,44.86,119.21,-8.95,-87.25,-99.94,-60.41,-8.79,5.74,18.96,89.18,98.14,-94.38,4.94,142.9,-2.8
8,f07.png,0.6076,0.3927,49735,0,32.6,-64.82,-95.08,37.9,41.38,162.06,-7.94,-87.21,-99.97,-62.87,-9.7,6.27,19.23,89.32,96.77,-96.38,3.87,143.08,-2.6
9,f08.png,0.5915,0.4088,49735,0,32.2,-64.07,-96.26,38.95,44.29,162.79,-7.93,-86.77,-98.45,-62.07,-2.29,9.6,18.33,99.06,98.9,-96.38,2.61,141.95,-2.34
10,f09.png,0.6645,0.3358,49735,0,32.3,-70.49,-89.65,41.74,35.12,162.12,-8.14,-86.83,-99.31,-61.51,-2.08,11.85,18.71,97.81,99.75,-95.47,2.18,141.6,-3.01
11,f10.png,0.602,0.3983,49735,0,31.7,-82.14,-61.0,23.85,37.79,139.31,-9.2,-88.6,-99.32,-64.33,-12.0,8.4,17.12,93.92,99.91,-90.64,5.51,121.88,-3.71
12,f11.png,0.5988,0.4016,49735,0,31.6,-81.1,-73.89,24.88,55.06,162.79,-7.32,-89.88,-95.8,-65.18,-10.89,9.73,17.23,91.32,96.93,-95.75,-1.06,118.89,-3.01
13,f12.png,0.6333,0.3671,38599,0,23.8,-86.66,-70.08,25.21,58.47,156.78,-9.2,-90.46,-98.45,-57.44,-30.24,9.35,15.6,80.8,94.36,-96.65,2.64,127.16,15.81
