frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.8121,0.1879,34599,0,25.2,73.33,-89.37,-96.0,-22.73,-130.93,32.36,-84.17,-99.99,20.03,-69.72,84.24,-8.97,96.17,-4.58,58.96,9.06,26.85,36.59
2,f01.png,0.764,0.236,28592,0,20.0,74.69,-89.15,-94.92,-23.78,-130.83,31.73,-86.27,-86.89,-0.18,-75.34,84.94,-7.57,93.27,2.06,60.07,9.13,27.64,36.51
3,f02.png,0.7894,0.2106,26768,0,18.7,74.69,-89.15,-94.92,-23.78,-130.83,31.73,-86.58,-86.56,-8.21,-67.17,86.15,-7.93,93.09,2.81,60.0,8.94,27.23,36.27
4,f03.png,0.82,0.18,28592,0,20.2,75.02,-88.64,-92.69,-22.82,-131.22,31.65,-87.87,-99.81,-5.19,-60.7,98.41,-9.06,92.56,14.56,42.32,3.35,28.3,38.49
5,f04.png,0.7915,0.2085,35911,0,22.3,75.11,-89.37,-93.38,-15.34,-97.68,23.38,-86.11,-84.82,-6.39,-64.63,90.87,28.81,91.0,9.23,34.98,5.61,49.39,20.33
6,f05.png,0.82,0.1801,28592,0,17.3,75.36,-88.55,-92.14,-18.17,-102.16,22.94,-85.78,-100.0,17.79,-90.92,84.83,9.52,91.0,9.23,34.98,5.61,49.39,20.33
7,f06.png,0.8655,0.1345,26768,0,16.4,75.94,-89.51,-90.25,-17.02,-102.43,22.52,-85.4,-99.38,10.37,-94.41,79.84,3.83,94.23,25.78,29.02,3.49,48.33,20.71
8,f07.png,0.831,0.169,26768,0,16.1,75.63,-89.62,-89.94,-16.49,-102.02,22.72,-84.21,-99.42,18.7,-87.97,83.8,5.1,94.03,27.77,27.49,-4.7,39.24,18.68
9,f08.png,0.8081,0.1919,48775,0,30.9,57.55,-94.23,-89.82,-5.5,-134.75,36.97,-94.39,-60.79,82.03,-26.52,80.81,-8.87,96.47,59.15,2.09,-59.6,59.47,56.02
10,f09.png,0.7751,0.225,51655,0,32.2,72.41,-91.01,-96.68,-11.41,-151.09,45.41,-85.55,-96.96,15.88,-48.39,68.16,43.34,91.64,53.91,-3.5,-44.78,68.24,36.58
11,f10.png,0.8043,0.1957,30512,0,18.8,75.85,-85.84,-94.41,-21.82,-153.8,49.51,-93.42,-86.86,83.78,-1.25,28.21,35.52,89.22,54.78,-18.69,-46.09,43.49,43.05
12,f11.png,0.7798,0.2203,28592,0,18.0,76.0,-85.01,-96.56,-15.51,-151.54,45.52,-94.09,-93.83,84.38,8.94,52.28,22.09,89.75,77.02,-29.48,-51.09,45.04,42.64
13,f12.png,0.8524,0.1477,51655,0,32.2,69.73,-91.08,-96.44,3.87,-124.9,49.16,-78.6,-100.0,31.82,51.11,90.18,68.93,93.25,90.44,-62.64,-68.27,15.91,57.29
14,f13.png,0.7951,0.205,28592,0,17.0,72.56,-89.36,-96.39,-16.01,-145.54,73.53,-85.31,-99.47,15.82,54.49,99.47,45.47,91.19,88.6,-72.12,-94.53,13.09,59.03
15,f14.png,0.1527,0.8493,49153,0,34.1,32.24,-89.94,-96.77,-37.98,-157.0,72.06,-35.88,-99.98,84.66,80.09,92.73,-3.86,65.36,85.98,-48.26,-38.38,80.23,91.35
