frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.7026,0.2979,38762,0,32.5,-107.99,-95.45,91.05,51.01,-37.12,76.57,91.32,-74.85,88.8,-22.3,-106.16,45.86,-86.97,-100.0,-31.37,84.25,35.49,-7.72,-103.5,-13.75,-65.22,-81.69,99.04,80.6,-99.51,-70.48,-15.34,32.29,73.33,37.81
2,f01.png,0.7173,0.2831,45642,0,38.2,-107.92,-95.52,90.32,50.89,-37.22,76.6,90.08,-73.69,88.83,-18.03,-92.9,44.97,-88.7,-99.81,-31.2,83.68,35.49,-7.74,-100.74,-12.89,-69.01,-81.89,102.32,80.47,-82.96,-64.37,-7.44,37.27,78.95,38.08
3,f02.png,0.716,0.2845,45834,0,36.9,-107.52,-95.93,90.13,51.18,-37.77,76.27,90.12,-73.6,88.7,-18.01,-92.8,44.95,-89.13,-92.0,-19.28,74.8,9.31,-7.6,-97.2,-12.78,-68.85,-80.32,99.83,75.22,-83.69,-64.11,-7.37,37.37,79.01,38.12
4,f03.png,0.6977,0.3027,47562,0,34.7,-107.42,-96.01,90.1,51.24,-37.69,76.28,91.47,-74.65,89.78,-18.55,-92.41,45.09,-89.13,-92.52,-18.83,75.24,9.31,-7.99,-93.79,-27.78,-79.52,-95.0,144.88,73.92,-82.96,-78.98,-0.48,50.33,65.12,40.14
5,f04.png,0.7087,0.2918,45642,0,33.4,-107.09,-95.86,89.63,51.68,-37.73,76.54,88.7,-76.42,86.76,-7.25,-85.44,48.62,-85.44,-77.81,-19.73,70.41,7.13,-7.85,-98.93,-17.24,-61.97,-71.51,99.96,72.88,-81.47,-73.73,0.46,50.77,56.79,38.77
6,f05.png,0.6992,0.3012,47946,0,35.2,-106.67,-96.23,89.88,51.84,-37.63,76.62,91.36,-76.64,87.01,-7.46,-85.39,48.63,-85.21,-82.79,-9.06,84.4,7.24,-10.0,-94.27,-29.74,-81.88,-90.78,138.3,69.8,-83.13,-87.51,3.52,59.52,57.65,36.63
7,f06.png,0.7074,0.293,46026,0,34.0,-106.71,-96.14,89.8,51.81,-37.67,76.65,91.98,-75.54,84.86,-5.11,-88.14,48.44,-85.6,-83.89,-10.39,82.41,8.17,-10.0,-92.3,-33.85,-93.93,-95.0,151.13,64.21,-83.26,-99.78,7.58,71.54,44.12,34.05
8,f07.png,0.7001,0.3003,46794,0,34.5,-106.92,-96.31,89.68,52.03,-37.45,76.84,90.29,-99.01,89.65,12.85,-86.24,48.86,-85.38,-79.12,-15.24,76.23,-1.2,-10.0,-90.0,-21.52,-86.62,-95.0,143.4,63.39,-83.1,-99.77,7.55,71.54,44.12,34.05
9,f08.png,0.5183,0.4825,54602,0,40.1,-100.75,-99.73,69.02,35.94,-11.99,72.42,96.98,-99.78,86.81,15.88,-93.92,50.87,-79.86,-99.62,-13.67,93.05,6.94,-9.87,-85.12,-44.35,-96.45,-89.6,134.81,66.33,-83.32,-99.77,14.12,80.17,39.04,32.57
10,f09.png,0.6514,0.3491,12480,0,9.7,-101.47,-100.0,89.88,47.29,-2.09,70.53,88.81,-100.0,86.89,15.3,-93.62,50.41,-85.75,-83.81,-11.18,73.41,8.44,-9.87,-94.18,3.27,-76.0,-75.27,136.33,68.85,-85.55,-100.0,50.66,95.0,47.99,22.42
11,f10.png,0.5432,0.4575,56138,0,42.0,-97.45,-99.24,89.43,12.52,3.43,76.98,92.42,-99.9,88.2,16.96,-85.94,53.3,-76.7,-98.88,3.36,94.05,-1.85,-9.88,-101.04,-50.17,-96.83,-56.08,138.59,66.48,-85.89,-99.98,53.02,94.76,49.7,23.0
12,f11.png,0.4065,0.5945,54026,0,41.4,-104.26,-99.04,88.66,10.16,4.1,76.61,94.03,-89.33,76.7,26.11,-90.2,56.84,-92.98,-100.0,22.12,95.0,-1.44,-9.14,-110.0,-83.18,-96.83,-58.66,160.29,61.49,-85.79,-100.0,53.03,94.91,49.37,22.99
13,f12.png,0.5964,0.4041,52298,0,38.6,-100.82,-100.0,83.36,-7.56,11.56,72.32,88.57,-79.27,90.14,35.85,-99.28,55.22,-92.84,-99.88,21.84,94.81,-2.5,-8.99,-94.51,-42.27,-74.55,-54.84,101.0,61.81,-85.97,-99.96,53.05,94.7,49.48,23.06
14,f13.png,0.6999,0.3005,45642,0,32.8,-102.87,-100.0,89.23,-0.67,1.66,69.11,90.02,-75.38,89.78,36.26,-97.49,55.02,-85.79,-85.33,-8.89,62.63,8.71,-9.53,-93.07,-34.29,-64.33,-60.86,99.24,69.29,-85.43,-99.57,51.96,94.69,49.56,23.05
15,f14.png,0.0639,0.9444,55562,0,40.2,-81.78,-85.08,77.25,12.29,-45.79,68.0,110.0,-92.56,79.69,24.2,-87.38,58.25,-85.92,-88.58,-5.83,67.06,9.83,-10.0,-92.33,-48.55,-75.57,-68.37,98.63,67.98,-85.44,-99.36,51.87,94.95,49.95,22.98
