frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6215,0.3788,46791,0,34.5,-61.59,-41.45,-96.83,-48.72,-67.77,15.82,109.86,-9.84,4.51,-2.23,34.69,52.23,87.34,68.91,-17.32,-68.27,149.7,-9.16
2,f01.png,0.6136,0.3867,49735,0,36.4,-66.31,-49.9,-81.79,-40.8,-50.79,16.28,108.63,-4.9,-12.8,13.18,41.3,51.87,96.83,71.45,-12.85,-66.72,137.73,-9.63
3,f02.png,0.65,0.3502,51655,0,35.5,-63.92,-61.79,-93.74,-26.28,-50.58,16.17,109.95,10.46,-18.86,5.37,38.67,51.49,99.24,70.96,-11.7,-65.56,128.85,-9.11
4,f03.png,0.7173,0.2828,49735,0,32.4,-66.8,-61.94,-96.83,-44.15,-75.83,20.25,109.99,13.95,-19.73,11.73,28.45,43.06,97.38,67.11,-6.64,-63.65,123.91,-8.7
5,f04.png,0.7474,0.2527,49735,0,32.4,-83.09,-66.96,-75.57,-29.78,-54.24,20.6,101.07,19.79,-25.68,8.51,24.11,43.05,96.68,65.32,-6.05,-62.57,112.14,-8.86
6,f05.png,0.727,0.2731,27073,0,19.0,-85.16,-66.96,-75.57,-29.78,-54.24,20.6,99.0,19.79,-25.68,8.51,24.11,43.05,94.61,65.32,-6.05,-62.57,112.14,-8.86
7,f06.png,0.6727,0.3276,27073,0,18.2,-61.52,-48.55,-96.83,-51.6,-69.52,7.51,108.09,20.18,-19.56,-8.71,34.12,65.45,87.23,48.22,-7.2,-27.02,143.9,-5.39
8,f07.png,0.6725,0.3277,49735,0,31.7,-60.44,-48.8,-96.81,-55.62,-67.34,7.6,108.67,21.25,-19.0,-9.74,32.61,65.45,87.23,48.22,-7.2,-27.02,143.9,-5.39
9,f08.png,0.6797,0.3206,49735,0,31.8,-61.91,-49.02,-96.83,-53.43,-69.42,-1.32,109.31,20.97,-19.29,-9.26,31.22,64.94,96.15,53.11,-2.89,-29.93,121.82,-9.57
10,f09.png,0.6818,0.3185,49735,0,31.7,-61.99,-49.19,-96.56,-55.16,-73.25,-2.92,109.31,20.97,-19.29,-9.26,31.22,64.94,96.45,52.71,-0.17,-35.42,101.79,-9.7
11,f10.png,0.6755,0.3248,49735,0,31.7,-61.99,-49.19,-96.55,-52.34,-73.62,0.5,109.05,20.64,-19.19,-11.44,33.01,65.18,96.43,53.21,-0.59,-35.95,100.75,-9.63
12,f11.png,0.6839,0.3163,49735,0,31.6,-61.28,-47.91,-92.0,-55.38,-58.08,-0.1,109.58,13.73,-15.16,-7.54,37.01,65.12,96.44,54.34,-1.93,-37.77,97.44,-9.97
13,f12.png,0.6989,0.3014,27073,0,18.2,-65.14,-48.26,-76.67,-67.17,3.2,-9.99,108.16,1.34,-15.4,4.49,29.54,52.37,87.2,48.96,-9.26,-26.95,90.19,-5.25
14,f13.png,0.7035,0.2968,27073,0,18.0,-67.23,-48.66,-66.84,-83.98,-0.24,-10.0,103.84,-0.58,-18.15,15.96,38.74,42.45,86.77,50.39,-9.46,-24.24,77.82,-9.8
