frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.4178,0.5836,47882,0,40.6,-66.67,-90.52,2.68,-75.14,-91.96,-9.75,100.86,-98.6,90.15,8.87,-109.56,15.76,-85.47,-97.02,-95.43,20.03,10.28,85.81,7.21,99.61,-70.95,-53.0,18.85,96.1,-82.98,-72.16,87.45,53.38,-27.63,96.31
2,f01.png,0.4217,0.5796,54218,0,46.3,-71.41,-88.94,-7.82,-58.67,-87.92,-10.0,92.34,-99.55,90.75,13.77,-105.96,15.49,-81.96,-96.1,-95.95,19.09,9.03,83.46,7.26,99.27,-70.98,-53.0,18.85,96.1,-85.94,-71.81,87.5,53.61,-27.68,96.69
3,f02.png,0.4435,0.5577,52298,0,41.4,-69.62,-100.0,-3.82,-58.41,-113.51,-9.91,92.17,-99.82,90.73,13.49,-105.92,15.43,-91.01,-89.26,-86.95,22.93,10.43,83.51,6.94,99.6,-70.88,-53.34,18.09,95.95,-82.41,-69.95,86.72,53.05,-27.75,96.5
4,f03.png,0.4709,0.5303,48650,0,36.4,-68.85,-98.11,-5.67,-73.23,-137.34,-7.14,92.49,-99.87,90.62,13.67,-106.36,15.6,-91.01,-89.26,-86.95,22.93,10.43,83.51,6.94,99.6,-70.88,-53.34,18.09,95.95,-82.0,-68.86,85.84,52.94,-24.59,96.43
5,f04.png,0.4876,0.5136,52106,0,38.4,-78.49,-100.0,7.26,-70.64,-157.21,-7.64,97.44,-100.0,89.89,12.1,-87.87,15.76,-90.98,-89.13,-86.82,23.05,10.56,83.51,7.51,99.31,-70.97,-54.01,16.81,96.18,-81.93,-68.64,85.8,52.96,-24.39,96.43
6,f05.png,0.4716,0.5296,47754,0,34.9,-78.12,-92.17,-0.41,-81.84,-157.0,-8.61,97.27,-100.0,90.04,12.11,-87.86,15.74,-90.98,-89.85,-86.91,23.52,10.31,83.37,7.1,99.65,-70.95,-53.98,16.67,96.64,-81.92,-68.41,85.91,52.4,-25.62,96.41
7,f06.png,0.4476,0.5537,55562,0,42.1,-62.33,-100.0,21.27,-85.84,-127.98,-9.93,92.54,-99.96,90.62,13.19,-88.03,15.69,-90.9,-90.57,-85.01,19.97,15.72,83.15,7.1,99.65,-70.95,-53.98,16.67,96.64,-81.98,-68.28,86.06,52.38,-25.79,96.41
8,f07.png,0.458,0.5433,49098,0,37.0,-62.48,-100.0,21.13,-85.91,-127.69,-10.0,92.54,-99.96,90.67,13.19,-88.03,15.69,-90.9,-90.57,-85.01,19.97,15.72,83.15,7.1,99.64,-70.95,-53.98,16.67,96.64,-81.64,-68.8,84.15,52.68,-25.75,96.81
9,f08.png,0.4602,0.5411,51786,0,39.4,-60.27,-100.0,25.12,-88.7,-120.3,-9.99,92.54,-99.96,90.67,13.19,-88.03,15.69,-91.66,-96.57,-77.84,24.38,18.74,83.58,7.1,99.65,-70.95,-53.98,16.67,96.64,-81.56,-68.81,84.13,52.27,-26.35,96.85
10,f09.png,0.4611,0.5402,50442,0,38.5,-60.19,-100.0,24.49,-88.24,-120.27,-10.0,92.54,-99.96,90.67,13.19,-88.03,15.69,-91.65,-96.57,-77.85,24.38,18.74,83.58,7.1,99.65,-70.95,-53.98,16.67,96.64,-81.56,-68.81,84.13,52.27,-26.35,96.85
11,f10.png,0.449,0.5523,50634,0,39.2,-62.09,-100.0,21.25,-84.87,-121.17,-10.0,92.54,-99.96,90.67,13.19,-88.03,15.69,-91.55,-96.64,-77.92,24.38,18.74,83.58,7.7,99.77,-71.38,-54.16,20.66,96.91,-81.7,-68.77,84.15,52.24,-26.42,96.87
12,f11.png,0.4625,0.5387,52362,0,40.2,-61.89,-100.0,23.46,-82.64,-120.31,-9.9,92.54,-99.96,90.67,13.19,-88.03,15.69,-90.97,-96.75,-77.61,24.87,19.28,83.31,7.69,99.81,-71.38,-54.16,20.66,96.91,-82.16,-69.44,84.13,52.85,-27.1,96.98
13,f12.png,0.4793,0.5219,53834,0,41.5,-70.61,-89.52,3.44,-72.72,-123.6,-10.0,92.54,-99.96,90.67,13.19,-88.03,15.69,-84.66,-97.95,-78.53,24.39,18.39,83.31,7.7,99.77,-71.39,-54.16,20.66,96.91,-82.37,-69.54,84.04,52.91,-27.48,96.84
14,f13.png,0.4791,0.5221,51786,0,40.5,-74.44,-86.78,-3.77,-68.63,-117.34,-10.0,92.54,-99.96,90.67,13.19,-88.03,15.69,-85.82,-97.97,-78.92,24.34,27.42,84.61,7.68,99.87,-71.37,-54.16,20.66,96.91,-82.34,-69.67,84.0,53.53,-26.69,96.75
