frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6923,0.3078,45895,0,31.7,58.79,-100.0,-87.62,-9.87,71.48,1.53,-95.81,-90.03,66.7,23.75,65.2,96.69,-82.29,-67.89,-75.91,-20.98,87.05,-6.44
2,f01.png,0.7124,0.2877,49735,0,34.5,58.94,-99.84,-87.52,-9.77,71.59,1.55,-97.87,-66.04,57.26,16.37,59.15,98.2,-82.29,-67.89,-75.91,-20.98,87.05,-6.44
3,f02.png,0.7254,0.2747,49735,0,32.2,48.94,-99.8,-85.89,-10.79,76.7,8.31,-97.65,-62.06,55.05,15.26,53.62,69.0,-84.31,-69.42,-70.12,-28.92,83.88,6.72
4,f03.png,0.7264,0.2737,49735,0,29.6,48.87,-99.99,-85.88,-10.8,76.75,8.32,-98.39,-64.05,55.55,16.31,51.25,68.16,-84.31,-69.42,-70.12,-28.92,83.88,6.72
5,f04.png,0.7151,0.285,49735,0,29.6,48.61,-99.93,-85.81,-10.86,76.83,8.22,-98.3,-64.28,55.21,18.25,49.15,66.39,-85.9,-74.72,-65.68,-22.61,85.15,6.73
6,f05.png,0.722,0.278,49735,0,29.5,54.35,-99.95,-76.24,-7.8,75.47,11.45,-97.11,-66.98,58.26,11.99,52.69,54.39,-87.92,-74.03,-62.63,-30.68,85.59,-9.26
7,f06.png,0.7433,0.2568,49735,0,29.5,62.33,-99.08,-95.0,-3.7,78.14,22.65,-90.26,-71.39,68.98,-10.5,68.6,72.16,-91.02,-73.39,-58.93,-42.16,77.52,38.51
8,f07.png,0.7426,0.2575,49735,0,29.4,82.69,-89.09,-95.89,2.1,72.08,20.65,-88.96,-78.47,74.32,-12.96,67.55,71.28,-93.67,-75.94,-54.12,-43.07,80.26,41.21
9,f08.png,0.7332,0.2669,49735,0,29.4,82.69,-89.09,-95.89,2.1,72.08,20.65,-86.15,-94.68,79.29,-5.74,70.72,72.56,-93.97,-76.77,-51.74,-45.83,80.59,39.44
10,f09.png,0.746,0.2541,49735,0,29.4,82.69,-89.09,-95.89,2.1,72.08,20.65,-86.23,-97.57,78.51,0.53,68.09,71.28,-97.16,-77.31,-52.3,-45.7,86.45,41.39
11,f10.png,0.7407,0.2593,49735,0,29.4,82.69,-89.09,-95.89,2.1,72.08,20.65,-86.23,-97.57,78.51,0.53,68.09,71.28,-97.45,-79.74,-49.19,-41.77,82.79,41.55
12,f11.png,0.742,0.258,49735,0,29.4,81.93,-88.49,-96.4,3.28,71.83,20.48,-83.99,-99.97,78.82,1.16,69.42,70.81,-100.94,-75.67,-53.09,-49.1,89.07,42.96
13,f12.png,0.7425,0.2576,49735,0,29.4,82.87,-85.67,-96.64,3.42,70.71,20.76,-85.91,-95.47,77.56,0.69,67.04,64.75,-101.42,-73.54,-51.43,-59.19,92.68,43.78
14,f13.png,0.7412,0.2588,49735,0,29.3,82.11,-88.23,-96.83,3.06,70.24,20.65,-85.91,-95.47,77.56,0.69,67.04,64.75,-101.42,-73.54,-51.43,-59.19,92.68,43.78
15,f14.png,0.7411,0.259,49735,0,29.3,82.11,-88.23,-96.83,3.06,70.24,20.65,-86.78,-92.09,75.56,0.21,70.23,63.52,-101.6,-76.86,-48.23,-56.32,93.16,44.54
16,f15.png,0.7311,0.269,49735,0,29.3,82.11,-88.23,-96.83,3.06,70.24,20.65,-86.25,-94.3,78.4,-3.78,70.23,66.3,-101.6,-76.86,-48.23,-56.32,93.16,44.54
17,f16.png,0.7184,0.2817,49735,0,29.4,82.11,-88.23,-96.83,3.06,70.24,20.65,-86.07,-94.5,78.21,-5.03,75.24,65.09,-99.87,-70.6,-52.29,-65.85,93.47,45.46
18,f17.png,0.7194,0.2807,49735,0,29.2,82.11,-88.23,-96.83,3.06,70.24,20.65,-89.12,-94.42,78.29,-3.9,70.42,65.63,-97.44,-68.25,-56.41,-66.84,98.06,45.33
19,f18.png,0.7051,0.295,49735,0,29.3,82.11,-88.23,-96.83,3.06,70.24,20.65,-91.9,-86.92,78.42,-13.88,70.56,64.85,-94.48,-70.9,-49.46,-69.6,92.31,45.39
20,f19.png,0.7059,0.2942,49735,0,29.3,80.93,-90.08,-96.62,3.48,70.78,20.96,-93.4,-85.61,80.15,-20.17,72.8,63.84,-91.83,-72.63,-46.44,-71.44,94.91,43.06
