frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6471,0.3538,49383,0,35.6,-40.59,-55.35,-8.01,68.92,-143.84,62.21,-48.15,-74.14,-23.88,60.62,-147.69,92.01,1.97,-29.43,6.09,94.99,137.5,20.26
2,f01.png,0.6478,0.3531,49735,0,35.9,-41.25,-58.05,-3.13,61.64,-145.55,63.22,-48.15,-74.14,-23.88,60.62,-147.69,92.01,1.97,-29.43,6.09,94.99,137.5,20.26
3,f02.png,0.644,0.357,49735,0,33.3,-41.13,-58.13,-3.06,61.58,-145.49,66.19,-48.15,-74.14,-23.88,60.62,-147.69,92.01,1.97,-29.43,6.09,94.99,137.5,20.26
4,f03.png,0.6528,0.3481,49735,0,31.1,-41.13,-58.13,-3.06,61.58,-145.49,66.19,-44.91,-79.48,-14.3,54.95,-148.8,90.35,0.33,-27.22,7.63,92.71,145.47,20.94
5,f04.png,0.6627,0.3382,41287,0,25.4,-41.49,-60.71,3.25,50.08,-151.47,77.01,-48.39,-81.41,-9.71,48.83,-145.98,98.46,1.8,-29.32,11.27,82.85,148.69,39.54
6,f05.png,0.6629,0.338,49735,0,31.1,-41.23,-62.6,5.04,51.48,-146.05,76.87,-48.39,-81.41,-9.71,48.83,-145.98,98.46,1.07,-30.46,16.19,79.17,150.35,38.78
7,f06.png,0.6591,0.3419,49735,0,31.3,-48.3,-61.55,4.18,55.17,-138.36,76.0,-47.79,-84.92,-2.87,46.83,-144.17,99.05,1.15,-27.7,16.73,77.14,155.53,39.12
8,f07.png,0.6665,0.3345,49735,0,31.3,-50.08,-63.56,8.61,52.52,-142.28,74.59,-46.02,-89.27,2.74,48.6,-144.6,98.04,1.77,-29.81,22.91,72.7,160.63,40.41
9,f08.png,0.6695,0.3313,49735,0,31.4,-52.41,-64.83,12.39,49.64,-142.05,74.78,-52.34,-92.23,7.23,45.94,-143.71,97.68,1.2,-32.45,25.0,70.85,162.63,42.46
10,f09.png,0.6699,0.3309,49735,0,31.4,-56.48,-65.33,15.61,46.97,-140.89,74.06,-54.6,-91.59,4.8,54.51,-134.84,95.04,0.78,-35.9,28.71,66.97,162.58,48.59
11,f10.png,0.6855,0.3152,38215,0,23.5,-59.8,-66.33,19.68,42.74,-142.96,71.33,-60.59,-98.29,5.09,59.0,-98.89,77.63,3.43,-38.96,34.91,60.02,161.64,61.28
12,f11.png,0.6853,0.3153,37831,0,23.4,-62.73,-67.14,23.96,38.85,-153.21,43.36,-66.05,-99.75,4.05,64.18,-97.69,80.26,3.99,-45.77,41.9,51.04,162.74,74.64
13,f12.png,0.6813,0.3194,49735,0,31.5,-62.73,-67.14,23.96,38.85,-153.21,43.36,-66.05,-99.75,4.05,64.18,-97.69,80.26,3.99,-45.77,41.9,51.04,162.74,74.64
14,f13.png,0.6819,0.3188,49735,0,31.5,-62.73,-67.14,23.96,38.85,-153.21,43.36,-66.05,-99.75,4.05,64.18,-97.69,80.26,3.99,-45.77,41.9,51.04,162.74,74.64
