frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7542,0.2462,50471,0,37.0,-102.3,35.63,-74.06,-95.0,95.58,79.88,72.28,-67.67,-63.53,-50.97,-157.21,97.31,64.17,-56.4,-44.47,-94.86,-128.34,71.46
2,f01.png,0.8203,0.1799,26768,0,18.7,-102.3,35.63,-74.06,-95.0,95.58,79.88,71.43,-69.48,-61.97,-51.52,-137.66,91.79,63.43,-55.23,-44.92,-94.98,-129.42,71.16
3,f02.png,0.8191,0.1811,26768,0,18.8,-102.3,35.63,-74.06,-95.0,95.58,79.88,71.85,-69.31,-63.11,-49.95,-138.23,85.84,63.43,-55.23,-44.92,-94.98,-129.42,71.16
4,f03.png,0.8241,0.1762,26768,0,18.0,-102.3,35.63,-74.06,-95.0,95.58,79.88,72.23,-70.29,-62.16,-49.01,-143.35,86.06,63.43,-55.23,-44.92,-94.98,-129.42,71.16
5,f04.png,0.8265,0.1736,26768,0,16.3,-102.61,41.73,-96.3,-94.64,108.48,80.95,68.49,-68.37,-58.36,-55.92,-153.31,81.07,55.29,-54.87,-35.76,-85.44,-134.38,70.44
6,f05.png,0.7844,0.2158,28592,0,17.4,-102.46,41.72,-96.83,-94.99,107.84,70.31,71.92,-72.64,-54.32,-52.8,-151.93,80.09,64.02,-59.8,-35.88,-89.2,-134.68,71.55
7,f06.png,0.7627,0.2375,28592,0,17.2,-101.02,43.14,-96.8,-95.0,113.39,66.74,72.42,-72.14,-52.63,-55.85,-156.68,81.84,66.93,-59.17,-32.3,-90.56,-131.28,72.07
8,f07.png,0.7607,0.2396,26768,0,16.3,-101.02,43.14,-96.8,-95.0,113.39,66.74,72.42,-72.14,-52.63,-55.85,-156.68,81.84,67.72,-59.23,-31.81,-90.26,-131.27,72.14
9,f08.png,0.7583,0.2419,26768,0,16.2,-101.14,42.8,-96.82,-94.92,108.86,60.18,72.42,-72.14,-52.63,-55.85,-156.68,81.84,67.7,-59.28,-31.61,-90.03,-131.91,71.86
10,f09.png,0.7654,0.2348,26768,0,16.2,-101.16,42.75,-96.83,-94.93,108.94,59.53,72.42,-72.14,-52.63,-55.85,-156.68,81.84,67.16,-59.35,-31.2,-89.37,-132.82,71.89
