frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7912,0.2091,30512,0,21.3,60.59,-37.61,-83.5,-36.58,95.55,97.85,-23.34,-38.69,-96.77,91.56,162.51,-5.8,-77.18,-34.46,-87.12,79.34,89.84,20.15
2,f01.png,0.8395,0.1607,26768,0,18.8,57.58,-43.17,-75.18,-38.03,104.97,97.91,-29.9,-42.75,-96.77,94.86,162.71,-5.27,-71.8,-33.85,-84.12,76.71,88.88,20.8
3,f02.png,0.8366,0.1636,26768,0,18.8,57.97,-43.89,-74.64,-37.46,106.17,98.78,-30.26,-43.1,-96.19,94.98,162.16,-5.13,-71.8,-33.12,-85.77,78.14,98.15,20.12
4,f03.png,0.8477,0.1524,26768,0,18.6,59.26,-45.71,-68.09,-43.34,103.9,99.84,-30.26,-43.1,-96.19,94.98,162.16,-5.13,-70.07,-34.67,-80.11,79.2,101.4,19.98
5,f04.png,0.839,0.1611,26768,0,17.4,60.78,-50.34,-61.93,-39.58,96.53,100.0,-30.52,-45.29,-94.75,94.99,162.38,-4.8,-67.46,-38.52,-66.3,81.45,105.09,19.73
6,f05.png,0.8092,0.1911,26768,0,16.3,64.71,-53.38,-57.96,-37.72,89.37,99.34,-29.57,-41.86,-96.18,94.92,158.61,-5.83,-68.43,-41.28,-61.81,85.37,101.29,19.52
7,f06.png,0.8002,0.2,26768,0,16.3,68.18,-51.19,-59.5,-42.21,87.52,93.75,-29.93,-38.06,-96.8,94.96,160.51,-5.76,-67.18,-38.94,-54.7,85.31,119.86,19.44
8,f07.png,0.7989,0.2014,26768,0,16.3,68.18,-51.19,-59.5,-42.21,87.52,93.75,-30.05,-38.05,-96.83,95.0,161.28,-5.63,-68.31,-35.56,-57.13,86.64,123.09,19.92
9,f08.png,0.7983,0.202,26768,0,16.3,66.4,-47.87,-62.34,-43.77,85.16,93.05,-30.05,-38.05,-96.83,95.0,161.28,-5.63,-68.92,-35.54,-57.51,86.66,125.43,20.09
10,f09.png,0.8028,0.1974,26768,0,16.3,68.83,-52.78,-57.84,-42.37,84.75,85.07,-30.05,-38.05,-96.83,95.0,161.28,-5.63,-68.92,-35.54,-57.51,86.66,125.43,20.09
