shadow_name,subset,target,best_iou,mean_iou,std_iou,min_iou,n_runs,best_run,n_robots,arm_gap_m,seconds,best_iou_vs_original,mean_iou_vs_original,fit_scale,fit_dx,fit_dy,uncastable_before,uncastable_after,best_shadow_png,q_rad_json,a_rot_deg,a_pitch_deg,a_elbow_deg,a_wristpitch_deg,a_wristroll_deg,a_grip_deg,b_rot_deg,b_pitch_deg,b_elbow_deg,b_wristpitch_deg,b_wristroll_deg,b_grip_deg,c_rot_deg,c_pitch_deg,c_elbow_deg,c_wristpitch_deg,c_wristroll_deg,c_grip_deg
abstract/device4_mpeg7-01,abstract,targets/abstract/device4_mpeg7-01.png,0.9071,0.8671,0.0285,0.7963,10,3,3,0.2,65.2,0.2953,0.2826,0.7346,-16.09,28.16,0.18887,0.28819,abstract/device4_mpeg7-01/device4_mpeg7-01_best.png,"[0.714476, -1.472558, 0.702583, 1.65806, -0.067949, 0.27336, -0.134342, -1.488114, 1.160952, 1.426779, 2.219497, 1.469389, 0.681667, -1.140347, 0.252747, 1.65806, -1.549962, 1.744752]",40.94,-84.37,40.26,95.0,-3.89,15.66,-7.7,-85.26,66.52,81.75,127.17,84.19,39.06,-65.34,14.48,95.0,-88.81,99.97
abstract/device4_mpeg7-03,abstract,targets/abstract/device4_mpeg7-03.png,0.8966,0.835,0.0358,0.7879,10,9,3,0.2,65.6,0.3595,0.34,0.8308,-16.09,24.14,0.18425,0.26322,abstract/device4_mpeg7-03/device4_mpeg7-03_best.png,"[0.553757, -1.22033, 0.370684, 1.65806, 2.644965, 1.046107, 0.888449, 0.065714, 1.101257, -1.448455, -2.376093, 0.492221, 1.138927, -1.734171, 0.248863, 0.921299, 0.353871, 1.74533]",31.73,-69.92,21.24,95.0,151.55,59.94,50.9,3.77,63.1,-82.99,-136.14,28.2,65.26,-99.36,14.26,52.79,20.28,100.0
abstract/hcircle_mpeg7-03,abstract,targets/abstract/hcircle_mpeg7-03.png,0.8959,0.8569,0.0319,0.8024,10,4,3,0.2,65.6,0.4065,0.3748,0.7346,0.0,28.16,0.07257,0.05348,abstract/hcircle_mpeg7-03/hcircle_mpeg7-03_best.png,"[-1.1743, -1.574128, -0.301939, 1.65806, 2.78076, 0.572075, 1.909622, 0.174248, -0.396157, 1.509037, 0.83341, 0.617949, 1.585729, -0.314886, -0.103013, 0.926141, 2.684338, 0.182322]",-67.28,-90.19,-17.3,95.0,159.33,32.78,109.41,9.98,-22.7,86.46,47.75,35.41,90.86,-18.04,-5.9,53.06,153.8,10.45
objects/apple_mpeg7-01,objects,targets/objects/apple_mpeg7-01.png,0.8959,0.851,0.0219,0.8188,10,7,3,0.2,64.9,0.2912,0.2742,0.7346,-20.11,28.16,0.13835,0.32238,objects/apple_mpeg7-01/apple_mpeg7-01_best.png,"[1.74247, -0.899737, -1.625933, -1.621088, 2.668993, -0.174533, -1.883362, -0.7946, 0.487733, 1.629139, -2.739258, 1.650231, -1.866936, -1.731755, -0.259733, 1.634353, 2.161691, 0.854649]",99.84,-51.55,-93.16,-92.88,152.92,-10.0,-107.91,-45.53,27.95,93.34,-156.95,94.55,-106.97,-99.22,-14.88,93.64,123.86,48.97
objects/apple_mpeg7-02,objects,targets/objects/apple_mpeg7-02.png,0.8944,0.8355,0.0389,0.7705,10,1,3,0.2,64.6,0.3202,0.2971,0.7346,-20.11,28.16,0.15801,0.29338,objects/apple_mpeg7-02/apple_mpeg7-02_best.png,"[1.698953, -1.11762, -1.067785, -1.65806, 0.225315, 0.364555, -1.858626, -0.489939, 0.054339, 1.551707, 2.357589, 0.021095, 0.942456, 1.54928, -1.61096, -1.475366, -2.352376, 0.095575]",97.34,-64.03,-61.18,-95.0,12.91,20.89,-106.49,-28.07,3.11,88.91,135.08,1.21,54.0,88.77,-92.3,-84.53,-134.78,5.48
abstract/device4_mpeg7-02,abstract,targets/abstract/device4_mpeg7-02.png,0.8941,0.8418,0.0345,0.7828,10,1,3,0.2,64.9,0.371,0.3559,0.9269,-16.09,20.11,0.20507,0.29307,abstract/device4_mpeg7-02/device4_mpeg7-02_best.png,"[0.501056, -1.291207, 0.608914, 1.65806, -1.729555, -0.099126, 0.93287, -0.611129, 1.34131, 0.204982, 0.148217, 1.190944, -1.732038, -1.474682, 0.667308, -1.550666, 0.013294, 1.741994]",28.71,-73.98,34.89,95.0,-99.1,-5.68,53.45,-35.02,76.85,11.74,8.49,68.24,-99.24,-84.49,38.23,-88.85,0.76,99.81
figures/face_mpeg7-04,figures,targets/figures/face_mpeg7-04.png,0.891,0.8476,0.0301,0.7936,10,1,3,0.2,65.5,0.3378,0.3268,0.7346,-8.05,28.16,0.01994,0.1772,figures/face_mpeg7-04/face_mpeg7-04_best.png,"[1.322971, -1.74533, -0.264557, 1.520732, -2.153331, 1.153929, 1.91986, -0.305859, -0.236547, 1.391283, 0.855909, 1.667984, 1.334894, 0.09952, 0.539226, -1.65806, 1.005905, -0.079193]",75.8,-100.0,-15.16,87.13,-123.38,66.12,110.0,-17.52,-13.55,79.71,49.04,95.57,76.48,5.7,30.9,-95.0,57.63,-4.54
objects/bell_mpeg7-05,objects,targets/objects/bell_mpeg7-05.png,0.8898,0.8542,0.0182,0.8335,10,1,3,0.2,64.9,0.3638,0.3368,0.8308,-16.09,24.14,0.15097,0.23152,objects/bell_mpeg7-05/bell_mpeg7-05_best.png,"[1.389057, -1.526123, -0.476236, 1.51542, 0.840048, -0.174533, 1.073912, 0.34976, 0.860014, -1.509615, 2.653631, -0.068696, 0.382509, -1.718506, 1.270926, -0.720675, 0.966749, 0.040698]",79.59,-87.44,-27.29,86.83,48.13,-10.0,61.53,20.04,49.28,-86.49,152.04,-3.94,21.92,-98.46,72.82,-41.29,55.39,2.33
abstract/device9_mpeg7-03,abstract,targets/abstract/device9_mpeg7-03.png,0.888,0.845,0.027,0.7991,10,8,3,0.2,65.2,0.3014,0.2861,0.7346,-20.11,28.16,0.14137,0.28902,abstract/device9_mpeg7-03/device9_mpeg7-03_best.png,"[0.879185, -0.809876, 0.079467, 1.571472, -1.544406, 0.278841, 0.989871, 0.086376, 0.825216, -1.479321, -1.095507, 0.581358, -0.898704, -1.74533, 0.012909, 1.42576, -1.878482, -0.10682]",50.37,-46.4,4.55,90.04,-88.49,15.98,56.72,4.95,47.28,-84.76,-62.77,33.31,-51.49,-100.0,0.74,81.69,-107.63,-6.12
abstract/hcircle_mpeg7-01,abstract,targets/abstract/hcircle_mpeg7-01.png,0.8869,0.8063,0.0463,0.7086,10,5,3,0.2,65.2,0.3627,0.3353,0.7346,4.02,28.16,0.09511,0.03141,abstract/hcircle_mpeg7-01/hcircle_mpeg7-01_best.png,"[1.199161, -1.74533, -0.500146, 1.60512, 1.485486, 0.107525, 1.281415, -1.74533, 0.076585, 1.306701, 2.84121, -0.174533, -1.91986, 0.050246, -0.465753, 1.049033, 2.763421, 1.624211]",68.71,-100.0,-28.66,91.97,85.11,6.16,73.42,-100.0,4.39,74.87,162.79,-10.0,-110.0,2.88,-26.69,60.11,158.33,93.06
