frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5634,0.437,48775,0,36.5,97.76,-100.0,54.04,95.0,-59.13,20.81,-7.76,21.57,-23.78,56.64,104.17,35.65,72.53,-53.85,88.98,-94.99,162.79,94.63
2,f01.png,0.5453,0.4551,49735,0,36.8,87.81,-100.0,60.16,93.11,-85.69,1.93,1.63,12.81,-15.46,48.48,143.78,33.27,83.09,-64.78,88.34,-78.93,162.76,99.45
3,f02.png,0.4637,0.537,49735,0,34.2,90.16,-99.98,55.82,92.58,-87.53,2.2,9.47,12.57,-12.78,48.67,143.03,33.82,92.52,-62.2,85.52,-73.61,156.31,99.97
4,f03.png,0.4957,0.5051,49735,0,31.6,96.49,-99.81,51.23,79.13,-128.96,-9.79,5.98,7.38,8.23,57.99,152.19,35.9,72.11,-23.38,81.78,-83.13,116.17,100.0
5,f04.png,0.5252,0.4752,49735,0,31.8,96.43,-100.0,59.45,69.4,-146.29,-9.94,-9.64,34.32,-34.48,34.81,154.47,16.93,67.86,-42.44,84.26,-94.69,162.78,92.5
6,f05.png,0.5575,0.4429,27073,0,18.9,103.0,-94.36,62.69,88.19,-155.07,-9.1,-6.82,17.44,-14.93,28.54,151.05,-7.81,76.88,-59.13,89.48,-85.26,162.79,77.39
7,f06.png,0.5362,0.4644,49735,0,31.7,96.51,-100.0,48.81,75.26,-131.98,-10.0,-10.89,-1.63,-17.25,48.42,144.21,40.34,68.33,-5.56,76.1,-94.99,153.37,69.2
8,f07.png,0.4869,0.5139,51655,0,32.8,94.52,-75.91,49.23,67.37,-137.13,-9.97,-1.09,5.05,5.44,18.12,141.08,39.1,66.72,-22.8,85.94,-93.77,134.03,67.48
9,f08.png,0.5293,0.4712,39367,0,24.6,97.19,-100.0,62.7,64.48,-143.82,-9.97,-10.06,32.0,-31.86,15.71,145.8,75.28,68.64,-44.83,86.02,-94.96,162.78,86.69
10,f09.png,0.5624,0.438,14017,0,9.5,99.74,-99.99,59.2,80.24,-157.2,-9.99,-6.57,20.48,-19.54,2.88,147.57,65.43,74.01,-57.18,89.64,-92.48,162.61,81.34
11,f10.png,0.5423,0.4582,49735,0,31.9,105.03,-82.64,49.63,51.97,-139.93,-9.93,-5.4,9.2,-22.06,-26.08,158.85,87.56,87.53,-51.59,88.77,-94.96,162.79,73.35
12,f11.png,0.4995,0.5014,51655,0,33.1,97.24,-99.92,64.34,47.22,-137.72,-9.88,-1.97,6.37,-8.79,-26.09,159.96,87.5,68.37,-21.75,86.46,-94.36,142.45,73.19
