frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.6437,0.3568,43306,0,36.5,-96.77,-72.94,72.5,-86.93,78.9,74.58,-65.44,-100.0,80.8,-64.25,-107.22,86.69,-61.12,-99.75,41.59,84.73,15.93,42.72,-61.66,-99.86,43.96,56.01,34.79,-9.59,-90.83,-81.42,-86.33,16.29,93.5,70.86
2,f01.png,0.5714,0.4293,11520,0,10.2,-101.02,-63.2,74.22,-84.51,82.26,78.12,-58.13,-100.0,73.16,-73.99,-109.06,89.62,-46.74,-100.0,36.34,81.47,15.51,43.64,-46.7,-100.0,38.94,52.45,35.0,-9.38,-110.0,-96.75,-95.22,23.44,100.07,68.94
3,f02.png,0.5624,0.4384,50058,0,41.5,-92.23,-66.61,81.53,-87.14,92.49,79.18,-62.17,-99.39,70.71,-80.15,-134.46,83.4,-54.9,-89.2,39.94,68.75,43.01,44.09,-54.41,-100.0,36.76,50.58,37.19,-9.73,-106.03,-81.13,-82.92,34.01,113.15,59.29
4,f03.png,0.5592,0.4419,49866,0,38.4,-93.66,-67.7,79.83,-90.17,113.85,95.05,-62.23,-99.81,66.35,-83.36,-122.62,77.87,-54.1,-90.59,47.27,54.9,65.62,43.97,-60.38,-100.0,41.63,39.0,40.26,-9.88,-103.0,-81.2,-83.1,31.69,113.16,60.06
5,f04.png,0.5594,0.4416,12864,0,10.3,-99.49,-99.46,58.03,-95.0,109.89,89.56,-41.65,-100.0,64.5,-95.0,-122.88,76.52,-44.8,-86.89,36.96,54.67,62.55,45.76,-41.18,-97.71,49.43,44.13,40.26,-10.0,-103.82,-79.0,-89.79,18.45,101.69,68.39
6,f05.png,0.5607,0.44,13248,0,10.7,-83.72,-100.0,66.8,-95.0,101.33,94.62,-43.1,-96.03,81.92,-87.18,-121.02,84.28,-73.99,-100.0,43.04,58.08,55.54,58.48,-24.38,-98.33,46.78,38.66,40.16,-9.06,-86.02,-79.77,-91.2,17.35,100.78,69.23
7,f06.png,0.5385,0.4629,14016,0,11.2,-45.58,-100.0,71.48,-95.0,76.71,100.0,-18.76,-99.73,78.3,-89.94,-121.41,84.28,-49.1,-96.7,52.0,63.91,55.36,57.89,0.46,-100.0,38.89,39.8,40.31,-9.63,-110.0,-70.56,-89.55,8.73,86.98,70.98
8,f07.png,0.5275,0.474,16320,0,14.4,-8.8,-98.31,66.97,-95.0,96.2,97.59,-8.84,-100.0,75.67,-92.51,-121.22,84.24,-15.44,-100.0,38.27,77.24,80.01,51.08,10.84,-100.0,45.53,13.33,43.08,-6.91,-99.24,-73.09,-91.78,7.28,86.0,71.55
9,f08.png,0.5337,0.4674,16896,0,13.1,10.95,-100.0,65.37,-95.0,96.46,97.59,9.96,-100.0,66.85,-95.0,-122.24,84.24,4.84,-100.0,35.16,74.25,80.2,51.34,42.01,-100.0,48.65,-2.29,43.58,-5.61,-98.14,-100.0,-91.63,55.02,129.64,45.76
10,f09.png,0.6241,0.3766,47562,0,34.5,-2.88,-100.0,80.48,-83.02,132.2,95.3,61.28,-100.0,72.7,-95.0,-88.56,81.82,53.23,-100.0,46.85,57.69,65.11,51.47,65.04,-100.0,48.93,-10.93,38.99,-6.24,-100.72,-94.54,-90.94,56.57,126.63,45.85
11,f10.png,0.5807,0.4198,13824,0,11.4,15.0,-99.19,70.22,-75.92,132.24,97.58,77.65,-100.0,82.22,-95.0,-80.02,90.04,67.08,-100.0,44.78,56.9,65.19,51.96,68.26,-96.24,70.37,0.68,32.98,-8.56,-110.0,-100.0,-96.83,46.48,121.33,48.55
12,f11.png,0.4539,0.5475,15360,0,12.8,50.38,-100.0,66.52,-12.94,131.18,72.35,91.22,-69.54,57.78,-58.92,-107.04,54.35,89.8,-100.0,44.78,56.9,65.19,51.96,90.98,-96.24,70.37,0.68,32.98,-8.56,-93.64,-100.0,-96.83,42.89,119.13,49.1
