frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.6437,0.3568,43306,0,36.7,-96.77,-72.94,72.5,-86.93,78.9,74.58,-65.44,-100.0,80.8,-64.25,-107.22,86.69,-61.12,-99.75,41.59,84.73,15.93,42.72,-61.66,-99.86,43.96,56.01,34.79,-9.59,-90.83,-81.42,-86.33,16.29,93.5,70.86
2,f01.png,0.6536,0.3469,47754,0,40.4,-96.86,-62.51,70.64,-92.2,69.27,81.75,-63.14,-100.0,79.59,-69.24,-108.86,84.83,-60.14,-94.07,48.32,78.76,47.39,41.91,-60.54,-100.0,49.08,42.87,38.28,-9.4,-94.56,-80.7,-87.78,13.75,100.79,71.0
3,f02.png,0.6502,0.3502,49482,0,40.4,-99.58,-55.46,68.55,-93.07,58.78,93.7,-68.5,-97.47,77.03,-66.89,-107.32,80.18,-60.57,-97.9,51.43,72.0,55.71,41.52,-60.85,-99.87,48.75,42.75,54.06,-9.96,-94.53,-80.74,-87.81,13.71,100.76,71.01
4,f03.png,0.6304,0.3702,49674,0,38.1,-100.47,-47.54,65.29,-93.44,57.95,100.0,-76.64,-81.06,73.53,-90.05,-117.04,81.73,-59.32,-100.0,54.29,65.61,58.16,32.88,-60.01,-99.86,46.01,44.71,62.68,-8.57,-94.9,-81.1,-88.16,13.32,100.11,71.05
5,f04.png,0.6142,0.3865,48714,0,36.9,-101.5,-51.27,69.26,-91.37,64.3,99.53,-70.12,-90.35,74.32,-89.79,-115.08,80.06,-60.7,-92.39,50.5,63.09,62.46,32.87,-60.2,-100.0,47.04,41.05,76.86,-8.3,-87.34,-81.69,-94.01,15.91,92.97,73.3
6,f05.png,0.5955,0.4053,49098,0,37.0,-100.56,-50.5,71.19,-90.58,63.81,99.02,-67.59,-92.2,73.31,-93.28,-121.34,81.24,-57.48,-96.77,52.5,60.24,62.26,33.03,-61.55,-99.91,46.27,41.26,82.93,-8.48,-87.87,-81.6,-94.75,15.84,92.64,73.81
7,f06.png,0.5924,0.4084,47946,0,36.1,-93.8,-52.52,79.51,-93.44,55.88,100.0,-63.22,-91.32,72.04,-91.81,-130.4,77.76,-57.38,-95.36,54.16,53.16,67.53,32.51,-62.75,-100.0,46.11,38.09,81.33,-8.24,-85.0,-79.7,-94.47,15.56,87.78,74.05
8,f07.png,0.585,0.4159,49866,0,37.7,-94.3,-55.45,83.63,-95.0,36.73,100.0,-66.57,-90.67,65.66,-95.0,-110.66,77.77,-58.0,-94.3,53.73,49.78,70.22,31.99,-61.28,-99.88,46.96,33.38,82.1,-8.52,-77.41,-74.8,-96.83,-1.93,69.31,77.81
9,f08.png,0.5776,0.4235,49674,0,37.6,-94.05,-55.91,83.87,-94.99,36.18,99.73,-68.23,-94.08,67.29,-91.55,-113.57,68.96,-57.62,-90.71,53.22,45.81,77.25,30.15,-64.1,-100.0,47.03,32.78,81.53,-8.64,-78.23,-76.65,-96.83,-2.09,68.95,78.15
10,f09.png,0.5732,0.4278,51594,0,39.4,-93.98,-55.32,85.97,-94.92,30.0,99.94,-70.82,-100.0,66.06,-95.0,-116.46,67.76,-57.59,-92.27,52.14,44.58,79.59,30.07,-66.67,-100.0,45.88,32.39,86.04,-9.08,-78.75,-92.27,-74.12,-13.6,71.96,79.01
