frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6204,0.3799,51655,0,36.5,86.95,-74.39,-57.45,-94.83,139.94,37.45,85.13,-72.23,84.65,-84.17,-67.15,89.19,72.52,10.74,4.13,-13.32,79.26,94.04
2,f01.png,0.6538,0.3464,49735,0,35.7,87.14,-77.55,-56.15,-89.11,139.81,38.93,87.7,-85.88,87.16,-95.0,-56.6,93.38,72.01,5.31,6.0,-6.27,75.38,93.31
3,f02.png,0.6447,0.3555,49735,0,33.2,87.31,-80.81,-51.02,-85.86,132.09,39.63,92.74,-86.94,88.68,-94.79,-51.41,97.04,73.67,6.89,2.62,-7.01,73.67,95.06
4,f03.png,0.6544,0.3458,49735,0,31.1,88.2,-76.95,-62.61,-75.82,145.75,42.08,97.16,-86.84,90.71,-94.73,-50.23,99.53,73.74,6.66,2.2,-7.49,66.91,95.34
5,f04.png,0.6601,0.3401,49735,0,31.3,88.39,-75.71,-66.66,-71.77,146.01,45.39,96.02,-63.9,89.8,-94.22,-80.07,100.0,73.08,3.57,3.53,-6.67,62.21,96.84
6,f05.png,0.6385,0.3617,49735,0,31.3,89.43,-76.16,-57.53,-83.72,157.45,40.56,94.62,-56.07,88.6,-92.88,-87.42,99.87,75.01,-0.64,8.73,-12.92,62.52,97.53
7,f06.png,0.6322,0.3681,49735,0,31.4,89.27,-70.86,-67.5,-79.03,144.32,44.81,95.44,-55.59,88.64,-89.46,-98.25,99.5,75.79,-0.19,8.61,-12.4,54.87,97.35
8,f07.png,0.6151,0.3852,49735,0,31.5,89.27,-70.86,-67.5,-79.03,144.32,44.81,93.71,-49.84,88.53,-94.96,-101.35,99.69,75.57,0.48,7.0,-15.39,49.32,98.56
9,f08.png,0.6016,0.3989,49735,0,31.7,87.27,-77.68,-48.15,-87.86,124.33,48.21,95.63,-47.53,89.23,-93.96,-107.55,99.63,76.7,-0.44,6.24,-15.59,48.05,98.52
10,f09.png,0.6183,0.3821,49735,0,32.0,86.64,-80.21,-45.54,-80.94,114.76,48.15,94.49,-45.48,89.52,-94.91,-115.23,100.0,78.12,1.1,5.48,-15.07,39.91,99.2
11,f10.png,0.6585,0.3419,49735,0,31.3,86.34,-99.98,-4.18,-94.99,116.95,49.43,79.51,-47.27,74.24,-83.89,-60.27,76.79,78.65,0.22,9.41,-23.12,28.83,99.99
12,f11.png,0.6609,0.3393,49735,0,31.2,87.77,-99.43,-5.92,-94.09,122.61,53.41,86.76,-50.99,77.4,-86.57,-62.68,75.83,80.5,-0.7,8.88,-23.72,20.26,99.76
13,f12.png,0.6444,0.3559,49735,0,31.2,87.58,-98.42,-11.47,-90.67,130.24,57.56,89.36,-50.54,78.82,-86.47,-65.03,76.15,81.64,2.3,5.12,-30.44,16.35,99.75
14,f13.png,0.6301,0.3702,49735,0,31.2,87.21,-98.49,-13.06,-91.01,137.22,64.33,91.62,-51.12,78.73,-85.11,-74.45,78.22,82.74,11.12,-2.45,-32.88,9.72,97.89
15,f14.png,0.6117,0.3886,49735,0,30.9,92.6,-99.86,-12.26,-93.73,161.63,65.14,92.49,-57.58,84.15,-86.67,-79.93,79.25,83.6,12.15,-4.26,-33.46,3.88,96.24
16,f15.png,0.6582,0.342,49735,0,30.8,87.89,-99.99,-11.89,-94.81,149.58,79.04,93.63,-55.8,84.06,-84.08,-87.41,81.27,85.47,13.78,-6.18,-32.02,-1.96,94.32
17,f16.png,0.6609,0.3393,49735,0,30.9,89.02,-99.93,-12.13,-95.0,156.61,82.53,94.85,-55.97,86.29,-85.75,-96.69,83.8,87.56,12.45,-5.31,-31.96,-9.7,94.08
18,f17.png,0.6613,0.3389,49735,0,31.0,88.33,-99.84,-9.83,-94.78,154.04,83.15,94.9,-57.64,88.04,-84.14,-105.28,86.76,88.62,12.82,-3.83,-32.47,-15.97,93.82
19,f18.png,0.6583,0.342,49735,0,31.2,88.21,-99.51,-11.23,-92.82,157.04,83.91,94.21,-56.61,88.88,-84.17,-108.32,93.01,89.44,14.02,-4.19,-32.14,-23.59,93.35
20,f19.png,0.6354,0.3649,49735,0,31.2,87.95,-98.42,-11.23,-93.14,157.9,84.43,94.89,-54.54,88.86,-82.63,-112.46,94.65,90.62,14.25,-3.97,-31.9,-30.2,93.79
21,f20.png,0.6334,0.367,49735,0,31.6,88.01,-98.74,-9.46,-93.15,160.58,84.47,94.65,-53.92,89.5,-81.38,-118.05,94.97,91.58,12.09,-1.83,-30.42,-38.78,93.31
22,f21.png,0.6495,0.3507,49735,0,31.6,87.88,-99.97,-8.34,-89.77,162.54,85.75,94.36,-49.04,88.94,-83.17,-121.92,94.42,91.73,13.15,-1.85,-30.92,-46.01,93.87
23,f22.png,0.6673,0.3329,49735,0,31.5,87.04,-98.66,-6.32,-94.77,162.79,85.56,93.05,-46.52,88.44,-82.27,-123.76,97.59,66.72,19.34,1.91,-23.26,-73.76,93.41
24,f23.png,0.637,0.3633,49735,0,31.3,85.66,-96.13,-14.36,-91.85,162.64,96.77,93.76,-45.67,89.44,-81.05,-127.08,98.65,64.23,20.77,-5.96,-12.47,-87.53,93.63
25,f24.png,0.5993,0.401,49735,0,31.3,84.46,-99.14,-10.22,-90.05,162.78,97.23,79.15,-45.81,87.32,-91.51,-130.4,99.4,66.64,16.75,-4.64,-13.28,-92.58,91.7
26,f25.png,0.6362,0.3641,49735,0,31.2,85.11,-99.84,-17.01,-94.99,140.17,99.05,78.0,-75.09,77.53,-88.15,-157.12,99.37,95.63,17.01,-5.79,-18.81,-69.93,66.21
27,f26.png,0.642,0.3583,49735,0,31.0,86.5,-99.47,-15.69,-94.93,144.93,91.94,86.01,-75.36,83.45,-89.62,-157.17,99.86,96.08,15.88,-4.35,-13.27,-74.06,66.0
28,f27.png,0.6525,0.3477,49735,0,30.7,86.91,-98.42,-16.33,-94.98,149.21,89.83,91.62,-72.14,83.59,-88.97,-156.73,98.78,96.72,16.85,-3.5,-13.57,-75.79,67.08
29,f28.png,0.6351,0.3651,49735,0,30.8,88.86,-97.04,-18.94,-94.83,156.51,89.46,94.42,-73.23,85.08,-84.35,-155.81,97.53,94.14,17.38,-2.44,-12.37,-82.74,67.09
30,f29.png,0.6291,0.3711,49735,0,30.7,88.65,-96.69,-17.98,-94.67,156.49,89.61,95.7,-72.4,81.83,-67.49,-157.2,96.22,94.47,13.43,2.53,-8.37,-85.67,71.65
31,f30.png,0.6144,0.3859,49735,0,30.7,87.92,-97.73,-14.27,-94.94,156.21,90.04,98.67,-62.83,76.66,-62.7,-145.38,96.53,68.76,23.14,5.25,-15.62,-68.9,71.96
32,f31.png,0.617,0.3833,49735,0,30.9,87.4,-99.39,-8.79,-93.83,153.08,87.43,98.05,-67.07,88.03,-71.92,-127.28,92.1,67.75,24.06,3.97,-20.05,-72.51,72.57
