frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5604,0.44,51655,0,36.8,-84.41,-39.79,21.59,47.02,155.11,31.37,98.46,-86.62,52.26,36.58,112.29,8.77,-10.2,22.82,-27.48,52.03,134.45,-5.08
2,f01.png,0.5623,0.438,49735,0,35.3,-84.9,-40.24,20.91,45.72,150.93,32.07,98.34,-86.83,54.09,36.96,111.41,8.83,-8.63,21.25,-32.92,53.26,135.54,-3.54
3,f02.png,0.5545,0.4459,49735,0,32.7,-84.56,-43.82,22.78,45.73,150.07,31.52,98.34,-86.83,54.09,36.96,111.41,8.83,-8.13,17.9,-33.59,53.12,135.51,-3.6
4,f03.png,0.5541,0.4463,49735,0,30.8,-84.26,-41.76,23.63,41.62,123.32,30.62,95.84,-86.12,61.24,29.16,113.27,9.26,-5.62,17.57,-40.53,52.55,136.04,-3.51
5,f04.png,0.5498,0.4507,49735,0,30.7,-84.31,-41.91,23.26,39.87,120.44,30.79,95.93,-86.0,63.07,29.5,112.8,9.13,-9.23,12.35,-37.04,52.77,135.93,-2.9
6,f05.png,0.542,0.4585,49735,0,30.6,-84.31,-41.91,23.26,39.87,120.44,30.79,95.97,-84.72,63.87,27.64,103.89,8.13,-7.83,8.97,-36.09,53.69,135.81,-3.91
7,f06.png,0.5354,0.4652,49735,0,30.6,-84.31,-41.91,23.26,39.87,120.44,30.79,96.06,-88.25,67.91,25.45,99.98,8.79,-6.39,6.05,-36.07,46.74,142.08,-4.82
8,f07.png,0.5298,0.4709,49735,0,30.4,-82.47,-46.23,26.7,39.12,119.19,39.99,97.74,-85.44,69.14,24.54,84.88,-9.39,-2.8,1.3,-30.86,28.79,162.62,4.77
9,f08.png,0.5509,0.4498,49735,0,30.6,-82.31,-53.92,27.96,37.15,162.76,36.41,97.98,-91.64,72.14,30.65,79.47,-9.67,-29.45,48.72,-43.65,40.12,162.56,-9.16
10,f09.png,0.5548,0.4459,49735,0,30.7,-83.11,-53.09,28.57,34.6,162.78,18.97,99.69,-96.73,74.27,33.85,66.79,-9.8,-29.72,44.66,-43.07,85.65,158.66,-7.68
11,f10.png,0.547,0.4536,49735,0,30.9,-86.97,-44.17,25.04,55.52,162.79,52.15,95.89,-93.52,74.17,34.56,63.06,-9.11,-26.27,40.82,-41.93,60.51,161.65,-2.82
