frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5991,0.4022,48391,0,34.8,92.59,-100.0,-73.79,-78.18,-150.24,11.38,109.86,-35.11,-0.4,80.25,-157.2,99.98,78.91,26.77,-16.76,-67.94,141.37,-10.0
2,f01.png,0.6136,0.3881,49735,0,35.3,85.12,-58.49,-71.51,-91.07,-148.31,-9.41,109.72,-35.27,0.95,65.2,-157.02,99.34,83.79,37.76,1.42,-45.07,105.92,-9.85
3,f02.png,0.6233,0.3783,49735,0,32.8,81.12,-65.12,-58.62,-76.66,-123.83,-9.99,109.72,-35.27,0.95,65.2,-157.02,99.34,78.03,22.25,-11.5,-46.81,109.7,-9.8
4,f03.png,0.6446,0.357,49735,0,30.6,80.65,-60.67,-64.84,-77.21,-127.51,-7.72,108.46,-38.54,0.58,60.18,-157.16,99.99,76.74,26.93,-17.86,-54.15,135.46,-9.92
5,f04.png,0.6511,0.3504,49735,0,30.6,79.68,-58.82,-65.52,-79.74,-126.03,-9.97,109.99,-44.05,9.21,58.08,-156.6,99.77,76.35,28.65,-20.79,-60.88,155.22,-9.61
6,f05.png,0.6324,0.3691,49735,0,30.5,78.42,-56.47,-67.85,-80.28,-121.45,-9.92,108.37,-47.33,18.47,59.63,-145.4,99.26,74.52,28.06,-21.62,-67.37,158.31,-9.97
7,f06.png,0.6811,0.3193,49735,0,30.4,78.21,-53.53,-73.57,-73.61,-111.99,-9.82,107.65,-43.98,21.41,60.66,-137.84,99.87,74.28,26.43,-18.99,-70.94,162.45,-9.3
8,f07.png,0.6665,0.3339,49735,0,30.6,77.87,-53.53,-72.79,-73.95,-109.54,-8.88,109.93,-46.21,29.03,57.73,-130.89,99.23,73.86,27.2,-19.02,-78.65,152.67,-8.35
9,f08.png,0.6548,0.3456,49735,0,30.5,77.87,-53.53,-72.79,-73.95,-109.54,-8.88,109.02,-45.05,29.45,54.72,-130.14,95.38,71.74,21.57,-14.62,-75.56,153.31,-8.62
10,f09.png,0.6568,0.3435,49735,0,30.7,77.91,-53.56,-72.89,-73.54,-108.78,-8.8,109.86,-46.31,31.18,54.88,-129.1,95.33,71.74,21.57,-14.62,-75.56,153.31,-8.62
