frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.4784,0.5269,40426,0,33.2,106.12,-34.34,-19.44,79.99,-24.9,-8.11,110.0,-51.72,-6.13,52.43,48.76,1.24,109.94,-97.86,39.55,43.16,29.86,23.49,-108.55,-97.84,-41.88,58.03,162.79,-8.22,29.19,-16.06,68.72,61.91,92.89,69.11
2,f01.png,0.4791,0.5262,46410,0,38.5,106.12,-34.34,-19.44,79.99,-24.9,-8.11,110.0,-51.72,-6.13,52.43,48.76,1.24,109.94,-97.86,39.55,43.16,29.86,23.49,-108.55,-97.84,-41.88,58.03,162.79,-8.22,28.95,-16.63,69.29,61.53,92.4,69.53
3,f02.png,0.4793,0.526,46602,0,37.7,106.12,-34.34,-19.44,79.99,-24.9,-8.11,110.0,-51.72,-6.13,52.43,48.76,1.24,109.94,-97.86,39.55,43.16,29.86,23.49,-108.55,-97.84,-41.88,58.03,162.79,-8.22,29.07,-16.7,69.18,61.68,92.39,69.58
4,f03.png,0.4983,0.5069,46986,0,34.6,107.72,-33.08,-22.08,82.81,-28.7,-9.98,108.13,-54.2,-11.2,55.41,64.36,-0.46,109.83,-97.98,39.98,42.54,30.19,24.06,-109.57,-97.74,-41.61,51.99,156.66,-9.5,28.74,-16.91,69.29,61.69,92.94,69.35
5,f04.png,0.5238,0.481,47754,0,35.3,110.0,-30.78,-24.68,85.51,-24.86,-9.6,109.7,-49.49,-17.74,55.91,71.57,0.09,109.81,-98.77,40.89,42.99,30.45,24.2,-110.0,-93.71,-42.54,45.12,154.98,-9.19,28.27,-17.69,69.27,60.54,93.57,69.25
6,f05.png,0.5295,0.4752,49290,0,36.2,110.0,-19.92,-33.53,87.92,-19.32,-10.0,108.48,-51.92,-22.87,64.78,65.89,-1.61,109.95,-98.38,41.82,43.27,29.75,23.74,-110.0,-91.32,-48.24,37.87,153.24,-9.55,33.68,-18.54,72.79,56.58,95.01,68.36
7,f06.png,0.6,0.4014,46026,0,34.3,110.0,-12.56,-41.6,91.64,-5.72,-8.36,110.0,-53.81,-34.86,75.73,44.96,-0.67,109.92,-98.45,41.74,43.21,29.79,23.76,-110.0,-92.22,-49.93,38.94,141.58,-10.0,36.65,-22.45,73.23,55.64,106.39,67.9
8,f07.png,0.5956,0.4056,50442,0,37.5,110.0,-11.62,-41.04,90.82,-6.01,-8.33,110.0,-42.48,-56.2,92.47,39.65,-1.28,106.81,-97.16,42.06,43.05,29.45,23.52,-110.0,-92.02,-50.17,38.43,141.56,-10.0,44.99,-24.25,74.17,54.23,110.86,67.3
9,f08.png,0.5914,0.4097,46410,0,34.1,110.0,-12.98,-41.04,92.82,-5.76,-9.4,110.0,-40.81,-60.37,95.0,24.65,-3.04,103.72,-97.04,42.32,42.78,29.43,23.56,-110.0,-90.91,-52.36,38.07,141.56,-10.0,52.27,-28.24,75.97,52.38,113.45,67.36
10,f09.png,0.5926,0.4086,51402,0,38.1,110.0,-13.42,-41.13,92.7,-5.24,-9.58,109.52,-40.47,-61.76,93.78,24.77,-3.01,103.47,-96.28,42.83,42.71,29.19,23.36,-110.0,-90.78,-54.05,36.99,140.83,-10.0,52.98,-29.41,76.02,51.8,121.1,66.56
