frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.8048,0.1953,30512,0,21.6,67.28,58.44,-59.75,22.38,-118.28,63.55,85.21,-92.65,57.83,81.32,162.63,-4.56,74.58,40.36,71.56,-95.0,-91.22,77.33
2,f01.png,0.7988,0.2013,26768,0,18.8,67.28,58.44,-59.75,22.38,-118.28,63.55,85.21,-92.65,57.83,81.32,162.63,-4.56,74.58,40.36,71.56,-95.0,-91.22,77.33
3,f02.png,0.8049,0.1952,26768,0,18.9,67.28,58.44,-59.75,22.38,-118.28,63.55,85.04,-92.13,58.99,81.42,162.3,-4.83,74.58,40.36,71.56,-95.0,-91.22,77.33
4,f03.png,0.8027,0.1974,26768,0,18.8,67.22,58.71,-60.1,22.17,-119.59,63.76,85.27,-92.22,57.74,81.61,161.95,-4.93,74.58,40.36,71.56,-95.0,-91.22,77.33
5,f04.png,0.7905,0.2096,26768,0,17.5,67.22,58.71,-60.1,22.17,-119.59,63.76,85.12,-91.73,54.09,80.96,159.3,-4.65,77.45,38.87,69.63,-94.93,-92.61,77.4
6,f05.png,0.7769,0.2232,26768,0,16.3,67.22,58.71,-60.1,22.17,-119.59,63.76,85.29,-97.73,51.21,84.81,157.84,-6.45,78.19,37.33,67.29,-94.56,-100.14,76.63
7,f06.png,0.7627,0.2374,26768,0,16.4,67.22,58.71,-60.1,22.17,-119.59,63.76,90.01,-95.36,47.98,74.1,141.06,-3.21,77.59,29.65,74.48,-88.17,-104.25,79.58
8,f07.png,0.7625,0.2377,28592,0,17.2,67.22,58.71,-60.1,22.17,-119.59,63.76,93.56,-90.14,48.5,58.48,149.32,1.97,79.22,21.86,64.03,-93.88,-101.51,78.09
9,f08.png,0.7514,0.2488,26768,0,16.1,67.22,58.71,-60.1,22.17,-119.59,63.76,93.56,-90.14,48.5,58.48,149.32,1.97,79.22,21.86,64.03,-93.88,-101.51,78.09
10,f09.png,0.743,0.2572,49735,0,31.6,67.22,58.71,-60.1,22.17,-119.59,63.76,82.73,-90.15,78.6,63.95,147.87,2.46,79.22,21.86,64.03,-93.88,-101.51,78.09
