frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.7661,0.2342,47914,0,38.8,63.99,-41.74,46.11,18.2,-115.82,89.04,58.09,52.29,-40.51,-13.96,-76.41,-5.88,81.92,-77.72,40.22,58.61,-68.63,38.36,85.56,-24.65,33.86,74.86,-58.73,-0.61,55.45,100.0,-96.34,-21.27,137.7,65.83
2,f01.png,0.7626,0.2377,40043,0,32.1,65.13,-41.61,47.04,16.91,-116.0,89.17,64.39,54.37,-41.48,-24.08,-84.32,-3.98,81.92,-77.72,40.22,58.61,-68.63,38.36,85.56,-24.65,33.86,74.86,-58.73,-0.61,56.27,99.1,-96.67,-21.23,137.57,65.85
3,f02.png,0.7694,0.2309,39196,0,30.8,64.33,-41.62,47.74,13.84,-116.78,88.74,64.31,54.37,-41.52,-24.06,-84.24,-4.0,81.25,-79.66,41.05,56.79,-63.32,38.39,85.56,-24.65,33.86,74.86,-58.73,-0.61,56.22,99.06,-96.8,-21.28,137.54,65.88
4,f03.png,0.7647,0.2355,38811,0,27.2,64.63,-41.35,47.86,13.43,-116.49,88.72,44.26,50.13,-48.75,-32.22,-86.06,-5.44,81.42,-80.46,39.52,56.54,-59.62,39.72,85.41,-24.36,32.65,75.45,-58.0,-0.53,56.43,99.76,-96.61,-21.42,136.79,65.9
5,f04.png,0.7576,0.2426,41158,0,28.5,65.18,-40.97,47.67,14.56,-116.13,88.72,44.2,50.09,-48.77,-32.22,-86.06,-5.44,81.08,-88.3,35.0,68.12,-57.56,40.43,85.59,-24.35,32.67,75.7,-57.82,-0.67,50.49,100.0,-96.34,-19.18,133.81,65.67
6,f05.png,0.7458,0.2544,46986,0,32.8,65.37,-41.76,49.55,11.68,-107.6,89.98,44.9,48.6,-49.05,-32.22,-86.06,-5.44,84.32,-90.21,29.99,78.03,-58.34,41.24,86.54,-22.83,34.4,76.21,-56.82,-0.59,50.56,100.0,-96.38,-19.11,133.84,65.62
7,f06.png,0.7389,0.2614,47370,0,33.1,62.13,-40.23,47.39,11.98,-107.71,89.98,44.54,50.12,-48.74,-32.22,-86.06,-5.44,85.69,-90.82,24.73,84.32,-61.04,42.25,86.44,-22.66,34.59,76.3,-56.96,-0.5,50.79,100.0,-96.32,-18.31,134.18,65.8
8,f07.png,0.7297,0.2706,45642,0,31.8,64.82,-40.54,49.11,10.1,-107.48,90.07,44.59,50.09,-48.73,-32.22,-86.06,-5.44,89.49,-96.71,22.11,79.84,-66.56,40.46,88.03,-23.56,35.23,77.09,-64.9,-0.94,50.98,100.0,-96.83,-18.21,134.04,65.71
9,f08.png,0.7292,0.2711,49482,0,34.6,65.16,-40.52,49.24,10.03,-107.46,90.07,47.18,48.87,-47.54,-31.98,-85.52,-4.68,89.54,-97.2,20.85,79.89,-58.9,43.06,82.81,-14.03,37.67,77.22,-64.98,-0.81,51.07,99.2,-96.81,-18.82,134.02,65.64
10,f09.png,0.7307,0.2696,45642,0,31.9,65.16,-41.76,50.49,9.33,-107.46,90.07,48.57,48.62,-44.79,-31.27,-86.3,-4.39,89.33,-95.97,20.18,78.55,-64.61,39.75,81.97,-7.57,43.48,76.72,-65.04,-1.17,51.32,99.49,-96.8,-18.92,134.63,65.56
11,f10.png,0.7282,0.2721,46218,0,32.3,65.14,-41.0,49.54,10.04,-107.51,90.07,48.79,48.26,-44.93,-31.28,-86.3,-4.39,88.97,-95.95,19.86,78.26,-64.47,39.74,82.04,-7.57,43.48,76.72,-65.04,-1.17,51.38,99.45,-96.82,-19.3,134.6,65.39
12,f11.png,0.724,0.2763,45258,0,31.7,65.46,-41.88,49.71,11.63,-107.39,90.07,48.72,48.27,-44.9,-31.28,-86.3,-4.39,89.09,-96.9,21.53,77.05,-57.19,39.23,81.9,-7.14,43.97,76.52,-64.98,-1.07,52.42,95.02,-94.57,-11.13,133.32,64.87
13,f12.png,0.707,0.2933,45834,0,32.2,64.93,-41.66,49.41,11.93,-107.41,90.07,48.74,48.25,-44.91,-31.28,-86.3,-4.39,89.01,-96.4,21.5,77.32,-57.41,39.16,82.02,-7.22,44.13,76.7,-64.75,-1.37,52.42,95.03,-94.6,-11.15,133.32,64.87
