frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.4947,0.5058,51655,0,37.9,-46.23,17.52,-24.36,3.7,-72.55,80.86,-66.74,-54.18,78.78,56.44,-57.62,19.04,109.93,-63.76,66.82,-1.1,93.15,5.95
2,f01.png,0.5369,0.4633,49351,0,36.5,-86.24,44.59,-23.67,12.33,-122.81,93.41,-67.26,-54.47,60.63,92.79,-76.35,30.2,109.99,-61.8,66.8,-0.17,100.84,-9.45
3,f02.png,0.5151,0.4852,49735,0,34.9,-88.87,46.13,-23.77,10.41,-122.98,94.04,-67.26,-54.47,60.63,92.79,-76.35,30.2,109.99,-61.8,66.8,-0.17,100.84,-9.45
4,f03.png,0.481,0.5195,49735,0,32.8,-89.81,46.35,-23.85,10.42,-122.71,94.1,-67.26,-54.47,60.63,92.79,-76.35,30.2,109.99,-61.8,66.8,-0.17,100.84,-9.45
5,f04.png,0.5068,0.4935,49735,0,32.8,-90.62,46.01,-23.73,10.69,-122.49,93.99,-67.26,-54.47,60.63,92.79,-76.35,30.2,109.96,-61.66,65.04,-0.09,123.31,-9.03
6,f05.png,0.5233,0.4769,49735,0,32.9,-89.77,45.77,-23.68,10.78,-122.33,93.9,-67.26,-54.47,60.63,92.79,-76.35,30.2,109.99,-61.56,65.31,-0.46,112.56,-9.0
7,f06.png,0.5258,0.4744,49735,0,33.0,-87.75,45.49,-23.23,10.63,-121.54,93.89,-67.26,-54.47,60.63,92.79,-76.35,30.2,109.99,-61.29,68.21,-3.12,114.23,-9.08
8,f07.png,0.4956,0.5047,49735,0,33.0,-90.53,45.02,-23.66,10.63,-121.56,93.94,-66.86,-58.02,61.35,91.96,-78.0,30.14,110.0,-61.56,69.4,-4.96,115.41,-9.4
9,f08.png,0.491,0.5094,49735,0,32.8,-90.68,44.84,-23.49,10.78,-121.72,93.98,-66.91,-58.06,61.4,91.96,-77.53,30.2,110.0,-60.53,71.3,-17.15,109.84,-9.92
10,f09.png,0.6061,0.3941,49735,0,32.0,-92.86,40.19,-23.07,9.92,-119.53,94.77,-85.02,-100.0,66.65,39.95,-70.96,46.12,110.0,-60.35,69.22,-14.38,114.89,-10.0
