frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5349,0.4654,51559,0,38.2,100.62,38.97,-40.99,5.43,126.2,-5.32,-92.09,-100.0,87.02,55.75,-104.42,87.53,76.51,65.75,-63.8,3.55,89.66,74.39
2,f01.png,0.5428,0.4574,49735,0,38.3,99.92,38.78,-40.35,6.83,112.05,-4.04,-95.56,-99.37,88.01,55.55,-107.42,85.17,79.1,71.33,-72.01,7.31,85.64,74.63
3,f02.png,0.553,0.4473,49735,0,35.5,101.17,43.1,-46.58,10.0,111.33,-3.73,-95.07,-99.48,88.04,55.69,-107.04,85.41,79.1,71.33,-72.01,7.31,85.64,74.63
4,f03.png,0.517,0.4833,49735,0,33.4,101.0,43.78,-47.65,9.16,121.85,-2.92,-94.45,-99.53,88.37,55.21,-107.45,85.59,82.06,70.23,-72.82,14.7,84.39,76.02
5,f04.png,0.542,0.4582,49735,0,33.0,101.03,43.56,-49.31,9.58,123.45,-2.88,-94.66,-99.19,89.16,57.52,-107.56,84.18,82.06,70.23,-72.82,14.7,84.39,76.02
6,f05.png,0.5494,0.4508,49735,0,33.1,101.58,43.23,-48.95,10.86,123.68,-2.52,-94.55,-99.78,89.58,57.69,-108.22,84.29,82.06,70.23,-72.82,14.7,84.39,76.02
7,f06.png,0.5514,0.4488,49735,0,33.2,101.45,44.94,-49.47,8.67,120.53,-2.86,-95.14,-99.85,89.26,55.14,-109.19,85.09,79.5,70.79,-71.38,10.76,86.63,76.96
8,f07.png,0.5321,0.4681,49735,0,33.3,101.69,44.43,-48.45,9.21,120.56,-2.85,-95.04,-99.32,88.54,55.05,-133.58,89.25,82.19,70.41,-71.81,9.9,91.92,76.82
9,f08.png,0.5263,0.474,49735,0,33.4,101.69,44.43,-48.45,9.21,120.56,-2.85,-94.16,-99.9,89.49,54.84,-133.57,89.13,82.19,70.41,-71.81,9.9,91.92,76.82
10,f09.png,0.5275,0.4727,49735,0,33.0,102.59,43.95,-49.88,8.73,120.89,-4.9,-94.17,-99.99,89.56,54.47,-133.98,89.36,82.16,67.39,-67.81,11.12,85.67,77.03
11,f10.png,0.5435,0.4567,49735,0,33.8,102.04,45.02,-48.4,4.31,130.4,-4.91,-94.19,-99.94,90.39,64.76,-112.49,96.77,82.55,69.95,-70.45,9.91,83.35,76.79
12,f11.png,0.5447,0.4555,49735,0,33.7,101.98,44.83,-47.58,5.11,124.67,-4.61,-94.19,-99.94,90.39,64.76,-112.49,96.77,82.43,70.07,-70.67,12.19,87.06,76.48
13,f12.png,0.518,0.4823,49735,0,33.9,101.98,44.83,-47.58,5.11,124.67,-4.61,-93.2,-98.13,89.56,70.15,-87.88,99.64,81.38,74.02,-76.91,12.35,95.36,82.24
14,f13.png,0.5404,0.4599,49735,0,33.8,102.34,44.41,-46.64,1.7,127.71,-4.76,-92.5,-98.46,89.65,69.76,-88.37,99.72,82.12,71.11,-72.44,8.81,92.24,81.75
15,f14.png,0.5388,0.4615,49735,0,33.6,102.7,43.76,-45.91,4.18,128.28,-5.18,-93.61,-98.02,89.7,69.63,-87.84,99.95,82.86,70.5,-70.78,3.25,91.44,87.5
16,f15.png,0.5571,0.4431,49735,0,33.9,103.03,44.76,-45.78,5.07,122.64,-3.73,-93.61,-98.02,89.7,69.63,-87.84,99.95,83.85,71.08,-68.95,5.35,82.25,89.4
17,f16.png,0.5144,0.486,49735,0,33.9,103.03,44.76,-45.78,5.07,122.64,-3.73,-93.93,-98.44,90.29,69.53,-88.3,99.7,82.75,70.02,-69.38,6.47,86.08,89.21
18,f17.png,0.5256,0.4747,49735,0,33.7,103.66,45.02,-48.11,4.26,126.29,-3.81,-93.93,-98.44,90.29,69.53,-88.3,99.7,82.13,70.84,-70.91,4.79,95.18,92.93
19,f18.png,0.5247,0.4755,49735,0,33.7,103.66,45.02,-48.11,4.26,126.29,-3.81,-92.53,-97.21,90.03,68.47,-91.27,97.48,83.02,71.5,-72.24,4.47,94.51,93.1
20,f19.png,0.5546,0.4456,49735,0,33.8,103.42,45.69,-47.94,4.43,130.46,-3.95,-92.53,-97.21,90.03,68.47,-91.27,97.48,81.96,74.27,-73.87,6.53,84.42,97.33
21,f20.png,0.5398,0.4605,49735,0,33.8,103.45,45.23,-49.04,9.12,127.27,-9.97,-92.53,-97.21,90.03,68.47,-91.27,97.48,83.22,73.04,-73.45,8.15,89.66,96.72
22,f21.png,0.5266,0.4737,49735,0,33.7,103.7,43.09,-44.05,1.12,120.53,-9.59,-92.53,-97.21,90.03,68.47,-91.27,97.48,83.41,72.2,-74.25,8.76,94.09,98.37
23,f22.png,0.5237,0.4765,49735,0,33.9,103.51,43.05,-42.7,-0.56,138.2,-9.98,-92.53,-97.21,90.03,68.47,-91.27,97.48,84.59,71.14,-73.87,9.11,90.91,99.97
24,f23.png,0.5481,0.4521,49735,0,34.0,104.04,47.24,-50.15,6.98,132.63,-9.96,-92.53,-97.21,90.03,68.47,-91.27,97.48,83.23,72.35,-72.56,8.96,82.17,99.83
25,f24.png,0.5304,0.4699,49735,0,33.8,104.21,45.17,-47.12,7.07,124.25,-10.0,-92.53,-97.21,90.03,68.47,-91.27,97.48,83.38,71.68,-75.19,14.01,87.9,95.67
26,f25.png,0.5241,0.4762,49735,0,33.7,104.12,44.41,-47.0,5.11,125.45,-9.36,-92.53,-97.21,90.03,68.47,-91.27,97.48,84.34,78.63,-85.68,11.61,95.81,93.43
27,f26.png,0.5144,0.4859,49735,0,33.4,104.28,44.66,-47.58,3.38,129.53,-9.68,-92.53,-97.21,90.03,68.47,-91.27,97.48,83.18,73.08,-78.28,12.37,91.38,94.92
28,f27.png,0.5477,0.4525,49735,0,33.8,104.27,44.64,-44.26,-1.14,132.03,-9.93,-92.53,-97.21,90.03,68.47,-91.27,97.48,84.33,83.72,-96.69,17.46,89.41,92.89
29,f28.png,0.5384,0.4618,49735,0,33.6,104.74,44.12,-45.89,4.17,118.18,-8.16,-92.53,-97.21,90.03,68.47,-91.27,97.48,84.67,81.28,-92.05,17.97,88.94,96.78
30,f29.png,0.5251,0.4752,49735,0,33.5,104.05,44.21,-44.93,0.64,125.45,-8.3,-92.53,-97.21,90.03,68.47,-91.27,97.48,84.34,83.13,-93.53,17.53,92.44,96.52
31,f30.png,0.5131,0.4872,49735,0,33.7,104.29,44.1,-45.46,-0.34,128.83,-8.56,-92.53,-97.21,90.03,68.47,-91.27,97.48,84.19,83.15,-94.37,17.04,93.21,96.22
32,f31.png,0.5373,0.4629,49735,0,33.8,104.42,43.97,-43.92,-0.05,130.43,-8.79,-92.53,-97.21,90.03,68.47,-91.27,97.48,84.53,83.79,-96.72,21.84,87.41,98.73
