frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.0647,0.9358,70695,0,55.1,-89.38,68.27,-83.74,82.89,102.71,94.23,-72.41,99.61,-86.46,-33.88,-5.32,63.29,-76.0,99.99,-96.72,15.7,-69.04,35.51
2,f01.png,0.267,0.7333,73735,0,56.8,-83.67,69.54,-84.82,82.92,101.46,94.08,-72.13,99.76,-86.41,-33.51,-5.13,63.34,-76.09,99.96,-96.36,16.38,-69.17,35.56
3,f02.png,0.6228,0.3773,31495,0,21.1,-94.97,63.95,-70.62,72.52,121.03,99.63,-69.11,99.67,-86.5,-6.13,-37.68,83.73,-63.14,99.98,-93.52,-0.91,-64.23,17.4
4,f03.png,0.7351,0.265,49735,0,33.6,-78.98,58.89,-52.98,68.66,114.0,91.79,-77.18,98.32,-85.21,-6.7,-40.14,81.72,-75.57,98.96,-93.01,3.79,-61.19,17.21
5,f04.png,0.815,0.1851,49735,0,34.1,-78.44,53.12,-24.95,80.52,100.16,99.99,-54.52,99.94,-93.21,-60.63,-50.66,93.18,-90.97,80.07,-96.83,21.0,-105.24,0.38
6,f05.png,0.7661,0.2341,28592,0,18.2,-75.79,48.61,-17.52,82.71,96.16,97.73,-54.62,99.94,-93.31,-60.64,-50.31,93.08,-91.36,75.44,-93.48,21.49,-103.18,0.49
7,f06.png,0.792,0.2081,28592,0,17.8,-86.56,41.21,-55.36,69.08,104.79,92.7,-54.33,99.95,-93.53,-60.78,-50.26,93.06,-92.38,72.01,-94.77,29.84,-103.55,-0.3
8,f07.png,0.81,0.1901,28592,0,17.5,-87.58,38.63,-53.71,90.55,162.74,97.78,-57.91,99.93,-93.66,-60.35,-50.25,92.19,-92.9,69.97,-93.79,29.11,-112.17,-0.15
9,f08.png,0.8355,0.1647,28592,0,17.5,-86.33,29.81,-42.32,90.33,162.07,98.01,-64.01,100.0,-93.66,-60.24,-50.7,92.31,-94.53,67.36,-93.93,37.75,-117.21,0.84
10,f09.png,0.7866,0.2136,26768,0,16.4,-86.33,29.81,-42.32,90.33,162.07,98.01,-64.58,99.86,-93.81,-59.76,-51.31,92.24,-96.58,66.18,-91.89,36.48,-113.82,1.27
11,f10.png,0.783,0.2171,28592,0,17.5,-84.92,23.73,-35.72,94.97,158.96,98.82,-64.29,100.0,-94.4,-59.72,-52.11,92.68,-94.59,69.96,-96.78,21.59,-119.05,2.24
12,f11.png,0.7926,0.2075,26768,0,16.5,-85.71,20.65,-30.66,95.0,160.15,98.77,-68.2,99.99,-92.86,-58.79,-53.51,93.13,-94.71,70.03,-96.44,21.34,-118.98,2.75
13,f12.png,0.7954,0.2047,26768,0,16.6,-85.71,20.65,-30.66,95.0,160.15,98.77,-67.61,99.95,-92.86,-58.62,-53.43,93.09,-94.67,69.84,-95.53,19.88,-116.35,1.5
14,f13.png,0.7971,0.203,26768,0,16.6,-85.63,20.56,-30.45,94.12,159.34,98.87,-67.38,99.91,-92.82,-58.88,-53.46,93.32,-94.67,69.84,-95.53,19.88,-116.35,1.5
15,f14.png,0.7975,0.2026,26768,0,16.6,-85.64,20.52,-30.43,94.22,159.19,98.86,-67.73,100.0,-93.03,-58.62,-53.79,93.49,-95.26,72.43,-96.82,12.4,-111.6,1.61
