frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.0945,0.9062,49386,0,43.7,80.23,-84.76,-70.55,-93.66,85.6,3.58,-96.58,-83.96,89.52,27.37,-143.63,11.29,-107.08,90.41,-92.67,19.51,-139.65,1.08,-79.68,100.0,-95.05,-2.81,47.9,80.47,88.16,99.97,-94.38,12.94,103.3,43.01
2,f01.png,0.3425,0.6581,49034,0,45.1,103.38,-95.2,-75.51,-93.67,85.67,3.7,-100.18,-79.7,90.35,26.68,-143.29,10.87,-105.55,91.43,-92.83,19.54,-139.99,1.03,-78.29,100.0,-94.53,-2.96,47.95,80.5,105.14,100.0,-96.83,-1.59,113.83,46.24
3,f02.png,0.5467,0.4538,51146,0,46.3,82.86,-94.55,-42.0,-89.6,103.98,-6.67,-109.14,-65.39,87.56,27.83,-145.06,11.57,-104.5,94.24,-96.83,22.91,-142.28,1.82,-78.52,99.72,-94.21,-2.76,48.14,80.5,109.87,96.63,-96.82,-13.97,98.48,46.44
4,f03.png,0.6414,0.3591,44874,0,37.8,84.24,-100.0,-56.16,-95.0,139.49,0.13,-110.0,-54.11,58.05,-9.94,-113.64,11.44,-104.42,93.94,-96.57,23.01,-142.16,1.85,-79.64,100.0,-94.47,-2.62,48.17,80.6,73.67,94.36,-92.48,-27.96,77.32,53.95
5,f04.png,0.7226,0.2779,46410,0,38.6,82.54,-95.58,-23.03,-74.34,162.09,1.41,-110.0,-40.62,50.86,-28.32,-104.93,8.7,-104.42,93.94,-96.57,23.01,-142.16,1.85,-79.32,99.84,-94.62,-3.21,47.44,80.4,70.26,88.2,-96.53,-20.78,71.52,49.48
6,f05.png,0.7418,0.2588,48906,0,37.7,81.11,-100.0,-11.66,-70.16,161.06,1.61,-110.0,-34.53,43.63,-27.92,-113.24,6.27,-104.29,93.43,-96.19,23.16,-141.37,2.19,-81.86,72.5,-96.83,-4.62,76.73,80.75,71.58,87.25,-96.83,-21.76,68.5,49.33
7,f06.png,0.763,0.2376,43699,0,34.0,75.07,-93.17,-8.95,-79.74,92.71,4.29,-109.4,-30.16,44.46,-44.48,-106.93,7.34,-104.11,93.32,-96.63,23.28,-141.24,2.05,-79.99,64.15,-96.67,8.17,80.22,81.29,69.2,84.39,-96.74,-23.89,56.88,48.81
8,f07.png,0.7873,0.2135,41774,0,32.0,75.99,-88.89,-11.63,-85.29,85.82,3.74,-110.0,-27.13,39.11,-44.31,-105.63,7.44,-104.05,93.2,-96.53,23.18,-140.77,1.87,-79.72,59.84,-94.75,10.87,81.49,81.1,66.79,80.05,-96.77,-26.7,49.9,48.52
9,f08.png,0.8121,0.1887,42390,0,32.3,77.33,-100.0,3.86,-69.33,89.82,3.76,-110.0,-17.62,27.59,-43.75,-96.49,-5.42,-104.03,93.39,-96.73,23.72,-140.83,1.54,-78.76,51.45,-92.22,22.45,89.73,80.18,67.74,75.49,-89.33,-18.7,53.04,46.73
10,f09.png,0.7817,0.2192,43160,0,31.9,78.09,-100.0,4.36,-67.77,90.28,3.64,-108.18,-16.36,26.2,-43.48,-104.69,-5.99,-107.14,53.82,-96.83,31.33,-140.46,2.09,-78.29,51.7,-96.82,27.55,91.24,82.17,67.1,74.83,-89.72,-18.61,53.53,46.48
11,f10.png,0.7883,0.2125,43699,0,31.8,75.64,-96.19,3.15,-72.55,86.23,3.59,-110.0,-16.85,26.45,-46.75,-108.35,-6.49,-108.82,47.49,-89.57,34.48,-139.29,1.92,-78.08,50.56,-96.83,25.19,84.83,80.97,63.68,71.95,-94.12,-23.94,40.34,45.47
12,f11.png,0.7898,0.2111,40659,0,29.3,75.87,-96.91,5.0,-71.39,88.02,3.98,-110.0,-17.3,26.59,-46.69,-107.37,-6.42,-110.0,46.31,-88.64,35.55,-136.51,2.35,-77.87,45.78,-93.2,30.39,90.58,81.31,63.52,72.04,-94.04,-23.91,40.37,45.48
13,f12.png,0.7912,0.2097,39889,0,28.5,76.1,-95.62,3.27,-72.45,90.17,4.14,-109.54,-16.26,26.33,-47.77,-108.34,-6.82,-110.0,46.31,-88.64,35.55,-136.51,2.35,-77.87,45.78,-93.2,30.39,90.58,81.31,63.52,72.04,-94.04,-23.91,40.37,45.48
14,f13.png,0.7924,0.2085,40659,0,28.9,75.63,-95.5,3.05,-72.49,90.02,4.25,-110.0,-14.21,24.66,-48.84,-105.24,-6.87,-110.0,46.43,-88.67,34.63,-136.56,2.19,-77.88,45.78,-93.2,30.38,90.58,81.31,62.49,71.0,-95.17,-26.04,37.56,44.95
15,f14.png,0.7854,0.2155,40197,0,28.5,75.63,-95.5,3.05,-72.49,90.02,4.25,-109.95,-12.23,22.6,-44.21,-117.26,-6.87,-110.0,46.15,-90.5,39.77,-136.34,4.08,-78.15,45.21,-93.66,30.64,88.71,81.64,63.67,70.84,-96.32,-25.79,42.88,43.8
16,f15.png,0.7828,0.218,39966,0,28.3,75.29,-94.88,2.07,-74.08,91.2,4.27,-110.0,-9.29,18.77,-41.12,-115.98,-6.96,-110.0,47.97,-92.0,40.77,-137.95,3.72,-79.67,41.52,-88.91,31.12,90.37,80.03,65.53,69.29,-96.77,-26.02,42.34,43.84
17,f16.png,0.7782,0.2227,40659,0,28.9,74.36,-94.3,2.36,-75.94,98.43,4.1,-110.0,-0.01,7.36,-38.02,-121.58,-7.14,-110.0,47.96,-92.07,40.74,-137.96,3.72,-80.3,41.4,-89.01,31.12,90.4,80.05,66.69,69.65,-96.65,-25.91,41.66,43.8
18,f17.png,0.7832,0.2176,40351,0,28.7,74.84,-94.25,2.38,-75.96,98.42,4.1,-110.0,0.79,4.67,-27.78,-133.65,-7.12,-110.0,47.76,-92.19,40.7,-137.97,3.72,-80.84,41.37,-89.0,31.2,90.44,80.05,66.92,69.58,-96.83,-25.68,40.89,44.0
19,f18.png,0.7848,0.2161,40043,0,28.4,74.84,-94.25,2.38,-75.96,98.42,4.1,-110.0,0.79,4.67,-27.78,-133.65,-7.12,-109.96,48.23,-94.86,45.03,-138.23,4.44,-80.93,41.93,-89.21,29.6,97.57,80.25,66.92,69.58,-96.83,-25.68,40.89,44.0
20,f19.png,0.7848,0.2161,40505,0,28.8,75.91,-95.57,4.13,-74.44,98.39,4.1,-110.0,0.79,4.5,-27.05,-133.51,-7.12,-109.96,48.22,-94.87,44.99,-138.23,4.44,-80.22,41.99,-89.09,29.67,97.62,80.25,66.79,69.88,-96.58,-27.8,40.88,44.61
21,f20.png,0.7806,0.2203,43699,0,31.3,75.91,-95.57,4.13,-74.44,98.39,4.1,-109.04,1.72,2.46,-27.17,-135.01,-6.81,-109.89,46.92,-94.83,45.72,-143.55,2.04,-78.51,41.44,-88.28,31.57,89.16,80.17,64.97,70.42,-95.97,-27.1,41.16,44.63
22,f21.png,0.7919,0.2089,43622,0,31.7,72.56,-91.83,12.87,-88.78,84.0,4.56,-106.14,1.35,4.31,-36.5,-146.91,-8.21,-109.98,46.62,-94.89,44.94,-145.43,0.65,-77.35,43.7,-91.17,32.91,85.0,78.72,62.18,71.06,-96.39,-26.85,41.24,44.65
23,f22.png,0.7908,0.2101,39581,0,28.8,72.56,-91.83,12.87,-88.78,84.0,4.56,-106.44,0.01,3.92,-33.17,-154.23,-9.17,-109.51,45.25,-95.28,45.47,-139.09,1.68,-76.08,44.88,-90.89,32.9,80.41,78.66,62.07,70.6,-89.89,-25.5,41.93,44.43
24,f23.png,0.7948,0.206,40659,0,29.7,71.81,-91.33,13.56,-88.81,80.53,4.38,-106.69,-0.68,3.26,-30.92,-156.0,-9.24,-109.46,45.69,-96.46,43.95,-136.04,2.72,-74.85,48.77,-95.88,34.02,77.14,78.89,62.26,73.8,-90.61,-25.27,43.6,44.41
25,f24.png,0.7958,0.2051,39581,0,28.8,72.28,-92.79,15.37,-87.22,80.25,4.34,-106.97,-1.13,2.8,-30.98,-156.0,-9.24,-110.0,45.08,-96.51,45.15,-137.02,3.14,-74.88,48.77,-95.79,34.1,77.17,78.9,60.3,74.06,-94.5,-24.8,45.87,44.7
26,f25.png,0.795,0.2059,40582,0,29.9,72.28,-92.79,15.37,-87.22,80.25,4.34,-106.97,-1.13,2.8,-30.98,-156.0,-9.24,-110.0,45.08,-96.51,45.15,-137.02,3.14,-74.88,48.77,-95.79,34.1,77.17,78.9,60.3,74.06,-94.5,-24.8,45.87,44.7
27,f26.png,0.7911,0.2097,39735,0,29.0,72.34,-92.89,15.18,-87.44,80.42,4.34,-106.97,-1.13,2.8,-30.98,-156.0,-9.24,-110.0,45.08,-96.51,45.15,-137.02,3.14,-74.88,48.77,-95.79,34.1,77.17,78.9,62.13,74.66,-92.94,-24.93,46.79,44.9
28,f27.png,0.7948,0.206,40659,0,29.7,72.56,-92.04,13.62,-88.69,80.16,4.38,-106.34,0.42,2.83,-30.79,-156.92,-9.21,-110.0,46.71,-96.83,44.55,-139.01,3.9,-75.95,47.89,-95.85,33.88,79.98,78.79,62.23,70.35,-89.67,-24.48,45.2,44.42
29,f28.png,0.7944,0.2064,39966,0,29.1,72.77,-95.91,16.98,-84.31,83.83,4.85,-106.26,0.92,3.4,-30.77,-156.88,-9.32,-110.0,46.04,-94.97,45.74,-141.89,3.63,-76.86,44.64,-93.82,37.29,82.5,78.96,64.56,70.59,-86.44,-24.95,45.58,44.45
30,f29.png,0.7934,0.2075,40120,0,29.3,71.15,-92.25,18.64,-93.3,80.55,6.52,-106.26,0.92,3.4,-30.77,-156.88,-9.32,-110.0,46.04,-94.97,45.74,-141.89,3.63,-77.41,45.45,-95.88,36.32,84.41,79.0,62.89,70.25,-92.92,-32.66,44.47,46.41
31,f30.png,0.7964,0.2044,40351,0,29.5,70.61,-91.85,20.23,-95.0,79.28,6.42,-106.26,0.92,3.4,-30.77,-156.88,-9.32,-109.99,45.73,-93.34,44.31,-142.32,3.88,-77.75,44.55,-94.43,36.16,85.2,80.25,62.77,70.3,-93.19,-32.76,44.34,46.37
32,f31.png,0.7969,0.2039,40659,0,29.4,70.89,-92.26,19.63,-93.88,80.02,6.67,-106.26,0.92,3.4,-30.77,-156.88,-9.32,-110.0,45.71,-92.65,43.18,-143.45,4.55,-77.75,44.55,-94.43,36.16,85.2,80.25,62.77,70.3,-93.19,-32.76,44.34,46.37
