frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.8208,0.1793,30512,0,20.9,-83.56,-18.8,44.68,-57.01,49.38,15.92,7.42,11.02,-5.25,8.49,-114.14,12.8,-75.57,-92.16,-74.53,-19.05,-16.43,56.95
2,f01.png,0.8226,0.1775,26768,0,18.3,-83.56,-18.8,44.68,-57.01,49.38,15.92,4.03,11.47,-6.38,8.76,-112.59,13.58,-75.27,-90.1,-77.16,-19.79,-17.74,56.88
3,f02.png,0.8233,0.1768,26768,0,18.4,-83.56,-18.8,44.68,-57.01,49.38,15.92,4.03,11.47,-6.38,8.76,-112.59,13.58,-75.27,-90.1,-77.16,-19.79,-17.74,56.88
4,f03.png,0.8205,0.1796,26768,0,18.3,-83.64,-18.2,44.34,-57.69,49.47,16.85,5.92,11.93,-6.77,8.75,-111.94,13.68,-75.27,-90.1,-77.16,-19.79,-17.74,56.88
5,f04.png,0.8128,0.1873,26768,0,16.8,-84.09,-18.99,44.23,-56.25,52.78,16.52,2.94,12.29,-7.83,15.01,-112.9,15.12,-75.44,-91.98,-77.54,-17.45,-21.3,56.94
6,f05.png,0.8082,0.1919,26768,0,15.6,-84.48,-18.14,42.23,-53.55,51.84,17.54,2.13,11.72,-14.47,14.61,-112.81,14.64,-73.38,-96.57,-67.42,-20.65,-20.91,57.45
7,f06.png,0.7892,0.2109,26768,0,15.5,-84.94,-19.67,42.75,-53.2,55.49,16.81,2.13,11.72,-14.47,14.61,-112.81,14.64,-73.38,-96.57,-67.42,-20.65,-20.91,57.45
8,f07.png,0.7764,0.2238,26768,0,15.6,-85.39,-18.18,41.81,-53.68,54.45,18.23,-0.56,7.82,-14.04,14.18,-113.27,14.58,-73.41,-96.79,-71.29,-18.48,-22.8,55.23
9,f08.png,0.7642,0.236,26768,0,15.7,-85.79,-18.44,41.67,-53.7,58.64,18.9,-0.56,7.82,-14.04,14.18,-113.27,14.58,-73.34,-96.75,-71.67,-20.8,-25.42,54.94
10,f09.png,0.7576,0.2425,28592,0,16.6,-86.51,-18.38,40.98,-53.1,62.32,18.03,-2.17,3.22,-12.85,13.43,-113.64,14.63,-70.29,-96.74,-66.45,-27.23,-28.19,56.12
11,f10.png,0.7453,0.2549,49735,0,30.4,-86.69,-18.09,39.82,-51.8,62.25,18.99,-5.34,1.67,-16.25,13.12,-113.61,15.55,-70.71,-97.01,-66.47,-34.19,-34.0,55.24
12,f11.png,0.7292,0.271,49735,0,30.2,-86.95,-18.56,39.76,-49.17,60.31,23.57,-6.89,-0.03,-18.1,12.78,-112.21,14.9,-70.71,-97.01,-66.47,-34.19,-34.0,55.24
13,f12.png,0.752,0.2482,28592,0,16.6,-87.1,-18.99,37.88,-45.4,58.16,24.75,-8.55,-31.97,20.81,10.45,-114.94,17.38,-70.62,-99.47,-65.73,-35.82,-36.49,56.89
14,f13.png,0.7629,0.2373,28592,0,16.8,-87.1,-18.99,37.88,-45.4,58.16,24.75,-10.12,-40.22,27.15,38.14,-113.09,16.81,-68.25,-100.0,-69.68,-23.56,-41.26,57.36
15,f14.png,0.7563,0.2439,26768,0,15.7,-87.1,-18.99,37.88,-45.4,58.16,24.75,-7.93,-40.51,27.3,36.09,-113.29,17.04,-68.25,-100.0,-69.68,-23.56,-41.26,57.36
16,f15.png,0.7646,0.2356,26768,0,15.6,-87.87,-19.36,37.05,-43.54,59.62,24.17,-7.65,-40.5,27.27,36.25,-113.17,16.99,-68.25,-100.0,-69.68,-23.56,-41.26,57.36
17,f16.png,0.7646,0.2356,26768,0,15.7,-87.87,-19.36,37.05,-43.54,59.62,24.17,-7.65,-40.5,27.27,36.25,-113.17,16.99,-68.25,-100.0,-69.68,-23.56,-41.26,57.36
18,f17.png,0.7654,0.2348,26768,0,15.6,-88.19,-12.9,31.39,-45.35,61.1,22.68,-3.55,-42.28,27.77,31.47,-115.44,16.95,-68.23,-99.97,-70.72,-21.8,-43.82,61.31
