frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.774,0.2268,43238,0,34.5,57.41,-75.54,-22.11,95.0,-40.15,-6.91,4.65,-53.38,49.62,-35.83,-44.78,99.14,-57.31,-77.37,-85.16,23.67,120.09,39.23,109.48,-99.47,-34.96,-13.1,-27.62,26.11,105.58,-66.17,-72.12,88.65,-58.72,4.79
2,f01.png,0.7762,0.2246,40659,0,32.5,57.41,-75.55,-22.11,95.0,-40.15,-6.91,8.19,-54.99,49.9,-26.69,-41.31,99.95,-57.1,-78.23,-84.38,24.89,120.64,38.96,110.0,-100.0,-33.42,-12.24,-28.36,25.95,100.86,-68.4,-77.25,89.59,-50.22,5.35
3,f02.png,0.7764,0.2245,40659,0,32.3,57.41,-75.55,-22.11,95.0,-40.15,-6.91,8.19,-54.99,49.9,-26.69,-41.31,99.95,-57.1,-78.23,-84.38,24.89,120.64,38.96,110.0,-100.0,-33.42,-12.24,-28.36,25.95,104.33,-65.06,-79.31,91.54,-51.63,6.8
4,f03.png,0.7767,0.2241,40659,0,28.5,58.38,-76.67,-22.22,94.75,-40.21,-6.95,7.85,-54.93,48.92,-26.58,-41.23,99.78,-56.03,-77.69,-84.23,24.88,120.64,38.96,110.0,-100.0,-33.29,-11.55,-26.58,26.01,104.35,-63.91,-80.2,93.14,-53.06,6.47
5,f04.png,0.7638,0.2371,40197,0,28.2,57.87,-77.55,-22.63,94.99,-40.22,-6.97,4.25,-57.3,49.43,-27.13,-39.42,99.5,-55.47,-77.49,-85.18,24.15,120.32,39.23,110.0,-100.0,-32.6,-11.68,-20.63,25.42,103.83,-63.43,-81.83,94.91,-53.1,6.84
6,f05.png,0.7659,0.2351,43622,0,30.5,63.31,-79.34,-31.29,95.0,-37.82,-10.0,-2.24,-57.2,49.12,-34.42,-40.55,100.0,-55.35,-75.25,-91.73,27.77,120.33,38.63,109.41,-99.96,-35.03,-5.55,-17.39,25.32,110.0,-62.55,-78.63,94.87,-55.98,6.94
7,f06.png,0.7584,0.2426,43699,0,30.7,63.2,-78.82,-35.08,95.0,-35.38,-9.87,-2.17,-55.59,45.97,-38.44,-45.64,99.5,-54.01,-73.86,-94.48,27.53,116.3,38.19,110.0,-100.0,-34.47,-0.34,-15.53,25.06,109.89,-59.22,-81.53,95.0,-56.6,6.98
8,f07.png,0.7525,0.2486,48714,0,34.3,63.66,-79.0,-37.58,95.0,-39.38,-10.0,-1.82,-56.41,44.31,-39.07,-46.26,100.0,-52.29,-75.46,-91.78,26.63,114.71,36.7,106.75,-99.82,-35.37,-1.06,-15.42,25.45,109.99,-55.89,-83.67,95.0,-60.48,7.59
9,f08.png,0.7444,0.2568,46602,0,32.9,63.99,-79.37,-41.3,95.0,-39.94,-10.0,-2.68,-59.86,44.01,-30.59,-40.44,99.89,-51.84,-75.84,-92.3,25.63,116.81,36.62,105.43,-93.11,-42.61,-4.41,-13.1,24.45,106.88,-53.8,-86.27,95.0,-56.56,7.28
10,f09.png,0.7263,0.275,48522,0,34.4,63.54,-77.75,-44.32,95.0,-41.05,-9.55,-2.77,-60.33,42.46,-30.29,-41.72,99.94,-50.95,-75.7,-93.32,25.64,115.73,36.33,105.14,-99.85,-36.02,3.22,-12.79,25.2,108.28,-46.4,-96.6,94.98,-48.83,5.61
11,f10.png,0.7262,0.2751,47946,0,34.0,62.66,-76.11,-47.54,95.0,-40.01,-9.87,-2.01,-62.87,41.37,-26.31,-40.81,99.75,-50.2,-76.76,-93.11,25.87,111.59,34.55,104.41,-100.0,-34.63,7.12,-10.64,24.58,105.92,-46.34,-96.82,94.85,-47.9,5.61
12,f11.png,0.7147,0.2867,51018,0,36.3,62.82,-76.28,-51.02,95.0,-39.19,-10.0,-1.9,-61.76,39.0,-28.16,-37.87,99.86,-48.53,-74.91,-96.07,24.52,112.51,34.22,103.25,-100.0,-34.63,8.32,-9.23,26.75,105.59,-43.54,-96.76,94.98,-38.83,7.01
