frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6092,0.3913,51655,0,37.3,-103.49,-21.57,-10.04,66.88,-72.39,99.86,104.37,-56.01,-80.23,-83.96,23.28,-9.16,-55.49,-60.25,-88.45,-94.78,-87.83,-10.0
2,f01.png,0.542,0.4585,49735,0,36.2,-100.92,-24.01,-7.64,63.31,-84.29,99.92,105.07,-53.09,-86.21,-81.3,15.22,-10.0,-57.39,-58.3,-89.05,-94.99,-90.25,-9.96
3,f02.png,0.5375,0.463,49735,0,33.7,-100.19,-24.38,-7.73,63.59,-95.2,100.0,105.28,-50.26,-90.92,-79.87,15.3,-9.86,-56.74,-54.36,-93.88,-92.94,-91.06,-9.65
4,f03.png,0.5243,0.4763,49735,0,31.6,-103.12,-27.13,-5.71,67.23,-85.26,99.25,104.5,-50.4,-90.66,-78.85,20.11,-9.89,-54.5,-56.9,-91.73,-94.83,-90.62,-9.61
5,f04.png,0.5282,0.4724,49735,0,31.7,-102.9,-24.48,-7.92,66.13,-75.67,98.85,103.83,-51.32,-87.38,-75.6,25.36,-9.86,-51.36,-56.37,-96.26,-94.97,-90.08,-9.74
6,f05.png,0.549,0.4515,49735,0,31.7,-104.08,-25.95,-5.28,68.7,-120.9,94.99,103.99,-51.47,-88.61,-76.62,24.04,-9.77,-54.21,-54.95,-96.7,-94.0,-87.55,-9.92
7,f06.png,0.5506,0.4499,49735,0,31.7,-101.59,-28.47,-4.11,67.05,-128.39,92.97,105.69,-50.15,-91.03,-77.77,4.09,-7.61,-57.32,-54.16,-94.77,-91.77,-89.33,-10.0
8,f07.png,0.5353,0.4653,49735,0,31.7,-99.84,-24.58,-6.94,65.57,-128.87,95.14,104.97,-47.32,-95.67,-75.1,22.19,-10.0,-53.66,-54.92,-95.11,-94.7,-88.55,-9.98
9,f08.png,0.5384,0.4622,49735,0,31.7,-101.36,-23.16,-9.77,67.97,-129.24,94.09,104.29,-47.38,-96.73,-72.57,24.5,-10.0,-51.4,-56.3,-96.38,-94.94,-90.58,-9.72
10,f09.png,0.5492,0.4514,49735,0,31.9,-101.36,-23.16,-9.77,67.97,-129.24,94.09,105.17,-46.42,-96.66,-78.46,35.01,-9.93,-55.64,-57.36,-93.04,-91.16,-88.41,-9.98
11,f10.png,0.5546,0.4459,49735,0,31.8,-100.53,-22.55,-8.61,64.05,-127.62,94.15,104.31,-48.36,-94.9,-76.55,36.12,-9.96,-57.42,-57.35,-90.36,-94.4,-88.69,-10.0
12,f11.png,0.5612,0.4394,49735,0,31.9,-101.68,-21.11,-10.43,66.23,-126.72,94.58,104.19,-48.24,-94.03,-76.27,37.09,-9.89,-55.48,-60.19,-87.96,-94.67,-89.62,-9.99
