frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6092,0.3913,51655,0,37.4,-103.49,-21.57,-10.04,66.88,-72.39,99.86,104.37,-56.01,-80.23,-83.96,23.28,-9.16,-55.49,-60.25,-88.45,-94.78,-87.83,-10.0
2,f01.png,0.5501,0.4504,49735,0,36.6,-106.7,-31.27,1.06,62.74,-37.3,98.37,104.14,-50.05,-90.87,-73.38,-8.53,-1.97,-58.02,-58.19,-95.07,-84.09,-98.53,-9.19
3,f02.png,0.5451,0.4554,49735,0,33.8,-106.7,-31.27,1.06,62.74,-37.3,98.37,104.14,-50.05,-90.87,-73.38,-8.53,-1.97,-58.11,-57.91,-95.42,-83.21,-97.55,-9.96
4,f03.png,0.5314,0.4692,49735,0,31.7,-107.02,-31.31,-1.57,69.4,-46.55,99.06,104.61,-50.51,-89.74,-81.56,18.37,-8.97,-54.54,-56.34,-92.8,-94.9,-91.28,-7.92
5,f04.png,0.5387,0.4619,49735,0,31.8,-109.22,-31.54,-0.15,67.76,-23.83,94.17,102.66,-54.58,-81.44,-78.45,18.6,-9.06,-51.32,-56.1,-96.72,-94.81,-90.09,-9.55
6,f05.png,0.5443,0.4562,49735,0,32.1,-108.46,-32.28,-0.81,69.59,-27.91,94.51,103.49,-51.58,-86.67,-79.75,28.73,-7.38,-54.39,-55.83,-95.29,-94.02,-88.97,-9.97
7,f06.png,0.5478,0.4528,49735,0,32.3,-106.87,-34.48,4.2,62.03,-35.05,98.45,105.49,-50.24,-90.22,-88.82,58.92,-10.0,-58.29,-57.99,-95.65,-83.34,-93.75,-10.0
8,f07.png,0.5446,0.4559,49735,0,32.0,-108.67,-32.77,1.71,66.26,-28.12,99.25,103.41,-49.8,-90.22,-77.33,29.75,-9.93,-51.91,-55.02,-96.52,-94.34,-88.51,-9.91
9,f08.png,0.5439,0.4567,49735,0,32.1,-109.27,-32.9,2.02,66.22,-25.26,99.95,102.58,-56.78,-75.87,-82.2,35.0,1.68,-51.43,-56.21,-96.83,-94.52,-92.99,-9.98
10,f09.png,0.5456,0.455,49735,0,32.0,-108.51,-35.99,3.5,66.53,-29.98,99.99,103.42,-51.7,-86.54,-77.05,-6.53,6.94,-58.03,-58.25,-94.99,-84.11,-95.06,-10.0
11,f10.png,0.5543,0.4463,49735,0,31.7,-101.68,6.89,-34.56,52.49,-33.75,85.11,105.65,-43.65,-96.69,-91.19,-20.01,-9.61,-58.03,-58.25,-94.99,-84.11,-95.06,-10.0
12,f11.png,0.5568,0.4438,49735,0,31.6,-98.86,8.79,-43.11,60.76,-50.18,75.76,105.65,-43.65,-96.69,-91.19,-20.01,-9.61,-54.48,-56.49,-94.19,-94.95,-87.26,-9.97
