frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6092,0.3913,51655,0,37.2,-103.49,-21.57,-10.04,66.88,-72.39,99.86,104.37,-56.01,-80.23,-83.96,23.28,-9.16,-55.49,-60.25,-88.45,-94.78,-87.83,-10.0
2,f01.png,0.6074,0.3931,49735,0,36.4,-103.74,-23.2,-8.7,66.97,-71.32,99.33,104.37,-56.01,-80.23,-83.96,23.28,-9.16,-55.49,-60.25,-88.45,-94.78,-87.83,-10.0
3,f02.png,0.5443,0.4562,49735,0,33.9,-101.86,-24.81,-7.42,64.38,-72.44,99.09,104.37,-56.01,-80.23,-83.96,23.28,-9.16,-55.54,-60.43,-87.48,-94.77,-87.58,-9.92
4,f03.png,0.5438,0.4568,49735,0,31.6,-100.6,-25.38,-5.75,60.73,-76.22,98.46,105.07,-53.13,-86.15,-81.46,15.95,-9.87,-56.59,-53.63,-95.78,-93.95,-88.43,-9.96
5,f04.png,0.5416,0.4589,49735,0,31.6,-100.49,-24.66,-6.63,61.33,-79.38,98.76,105.21,-52.6,-88.06,-80.02,-4.8,-9.91,-56.59,-53.63,-95.78,-93.95,-88.43,-9.96
6,f05.png,0.5404,0.4601,49735,0,31.6,-100.28,-23.82,-7.85,62.6,-84.15,99.91,105.21,-52.6,-88.06,-80.02,-4.8,-9.91,-59.57,-53.87,-95.63,-94.93,-83.64,-5.28
7,f06.png,0.5384,0.4621,49735,0,31.8,-100.72,-23.6,-7.45,60.84,-50.76,97.77,105.21,-52.6,-88.06,-80.02,-4.8,-9.91,-58.3,-55.37,-96.83,-94.94,-85.89,-4.23
8,f07.png,0.5474,0.4532,49735,0,31.8,-102.23,-24.95,-7.32,64.14,-46.46,91.55,104.73,-50.38,-91.93,-74.2,-2.83,-10.0,-56.99,-57.05,-94.32,-94.99,-88.41,-0.29
9,f08.png,0.5324,0.4682,49735,0,31.9,-102.4,-22.94,-7.71,62.83,-41.37,89.17,104.34,-50.03,-92.42,-76.31,19.14,-9.98,-55.69,-56.87,-96.83,-95.0,-91.18,0.32
10,f09.png,0.5292,0.4714,49735,0,31.8,-104.02,-23.74,-8.67,64.86,-41.15,86.04,103.66,-49.98,-92.39,-71.65,25.02,-9.88,-54.35,-56.78,-96.81,-94.82,-89.95,0.51
11,f10.png,0.536,0.4646,49735,0,31.6,-103.37,-23.63,-9.19,66.25,-46.61,85.16,103.66,-49.98,-92.39,-71.65,25.02,-9.88,-51.02,-56.1,-96.75,-95.0,-96.19,-4.06
12,f11.png,0.5346,0.466,49735,0,31.7,-103.42,-23.79,-9.14,66.4,-46.3,84.23,103.81,-48.05,-95.97,-70.58,18.99,-9.99,-51.02,-56.1,-96.75,-95.0,-96.19,-4.06
13,f12.png,0.5366,0.464,49735,0,31.6,-103.42,-23.79,-9.14,66.4,-46.3,84.23,103.41,-47.99,-95.8,-68.5,17.23,-9.99,-51.86,-58.34,-93.32,-94.71,-95.54,-6.24
14,f13.png,0.5401,0.4604,49735,0,31.8,-105.05,-22.94,-6.51,62.49,-42.52,88.31,102.73,-49.88,-92.49,-68.98,18.66,-6.05,-53.78,-60.63,-90.07,-94.64,-97.52,-8.47
15,f14.png,0.5474,0.4532,49735,0,31.8,-104.43,-26.18,-3.91,61.8,-43.54,90.42,103.97,-47.39,-96.3,-68.27,11.0,1.06,-55.13,-60.05,-89.01,-94.98,-88.58,-9.76
16,f15.png,0.543,0.4576,49735,0,31.6,-105.64,-25.55,-2.34,59.1,-35.12,90.87,105.22,-46.39,-95.42,-73.42,0.05,-0.74,-57.5,-58.04,-94.27,-88.86,-96.37,-10.0
17,f16.png,0.552,0.4485,49735,0,31.6,-104.88,-22.76,-4.41,57.22,-36.28,94.08,104.49,-48.08,-94.47,-71.75,-4.24,-0.44,-57.93,-58.22,-88.8,-93.12,-89.79,-9.99
18,f17.png,0.5495,0.451,49735,0,31.6,-105.13,-24.58,-2.85,57.34,-36.25,96.55,104.49,-48.08,-94.47,-71.75,-4.24,-0.44,-58.16,-58.68,-93.94,-85.28,-92.58,-9.68
19,f18.png,0.5494,0.4511,49735,0,31.7,-105.13,-24.58,-2.85,57.34,-36.25,96.55,104.44,-49.29,-92.38,-72.71,-4.54,0.17,-57.03,-56.41,-96.36,-85.5,-103.67,-7.65
20,f19.png,0.5471,0.4534,49735,0,31.8,-103.59,-29.16,-3.76,65.95,-45.21,94.21,104.45,-50.0,-90.62,-74.1,-5.01,-1.35,-56.08,-57.06,-93.86,-89.55,-108.27,-7.0
21,f20.png,0.5417,0.4589,49735,0,31.9,-106.75,-29.74,-2.59,68.4,-44.33,94.27,103.23,-48.36,-94.21,-68.34,-0.26,-1.21,-53.85,-60.13,-91.57,-90.78,-107.53,-4.63
22,f21.png,0.5411,0.4595,49735,0,31.7,-107.12,-26.62,-5.32,69.29,-43.76,96.04,103.06,-48.52,-93.95,-67.62,-3.45,-1.32,-53.49,-60.34,-91.91,-91.31,-105.73,-4.44
23,f22.png,0.5419,0.4587,49735,0,31.8,-107.12,-26.62,-5.32,69.29,-43.76,96.04,103.06,-48.52,-93.95,-67.62,-3.45,-1.32,-52.06,-59.7,-91.21,-94.8,-98.39,-5.22
24,f23.png,0.5434,0.4572,49735,0,31.8,-107.95,-28.91,-3.8,71.22,-44.44,99.5,103.06,-48.52,-93.95,-67.62,-3.45,-1.32,-52.06,-59.7,-91.21,-94.8,-98.39,-5.22
25,f24.png,0.5399,0.4607,49735,0,31.8,-106.88,-28.87,-3.19,68.4,-43.98,99.86,103.04,-48.45,-94.21,-67.96,-4.86,-2.41,-55.17,-60.05,-89.58,-94.68,-97.83,-5.35
26,f25.png,0.5423,0.4582,49735,0,31.7,-107.19,-30.86,0.47,64.12,-35.45,99.96,104.96,-45.5,-96.81,-72.37,-2.69,-0.8,-57.37,-58.08,-89.6,-93.98,-99.45,-5.91
27,f26.png,0.5434,0.4572,49735,0,31.7,-108.15,-36.02,4.38,65.3,-36.62,99.97,105.38,-45.53,-96.76,-73.56,-0.16,-0.4,-57.37,-58.08,-89.6,-93.98,-99.45,-5.91
28,f27.png,0.5446,0.456,49735,0,31.6,-107.94,-37.62,5.52,65.02,-33.55,99.98,105.06,-45.77,-96.39,-73.74,-3.24,-0.39,-57.37,-58.08,-89.6,-93.98,-99.45,-5.91
29,f28.png,0.5495,0.4511,49735,0,31.8,-107.94,-37.62,5.52,65.02,-33.55,99.98,104.41,-46.03,-96.51,-72.59,-12.09,-2.15,-57.37,-58.08,-89.6,-93.98,-99.45,-5.91
30,f29.png,0.5473,0.4532,49735,0,31.7,-108.64,-36.71,4.16,66.22,-30.09,99.72,103.94,-45.51,-96.81,-71.67,-2.88,0.29,-54.48,-56.7,-92.45,-94.72,-93.18,-9.21
31,f30.png,0.5602,0.4404,49735,0,31.9,-108.62,-36.22,2.74,68.55,-29.59,100.0,103.66,-47.53,-93.25,-72.78,-3.29,0.17,-54.48,-56.7,-92.45,-94.72,-93.18,-9.21
32,f31.png,0.5625,0.438,49735,0,31.9,-108.62,-36.22,2.74,68.55,-29.59,100.0,103.6,-47.77,-92.97,-72.5,-4.45,-0.2,-54.74,-57.02,-93.28,-94.08,-90.24,-9.03
