frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6193,0.3813,41479,0,29.8,-108.38,-24.94,-4.84,65.74,142.0,100.0,104.6,-42.36,-96.83,-92.82,-46.41,-9.96,7.48,-61.26,26.01,94.93,-46.27,25.1
2,f01.png,0.6157,0.3848,49735,0,36.4,-108.38,-24.94,-4.84,65.74,142.0,100.0,103.3,-43.91,-95.99,-87.84,-50.33,-9.75,7.48,-61.26,26.01,94.93,-46.27,25.1
3,f02.png,0.5451,0.4555,49735,0,34.8,-108.38,-24.94,-4.84,65.74,142.0,100.0,103.3,-43.91,-95.99,-87.84,-50.33,-9.75,2.72,-59.2,26.45,94.29,-49.38,25.69
4,f03.png,0.5422,0.4584,49735,0,31.7,-108.38,-24.94,-4.84,65.74,142.0,100.0,104.14,-45.3,-95.75,-87.05,-48.77,-9.35,8.37,-58.52,28.43,93.22,-40.35,26.78
5,f04.png,0.5417,0.4589,49735,0,31.6,-108.38,-24.94,-4.84,65.74,142.0,100.0,105.19,-46.11,-94.56,-88.29,-45.69,-6.23,15.72,-57.51,1.43,94.44,-40.77,27.76
6,f05.png,0.5433,0.4573,49735,0,31.7,-108.35,-30.8,0.98,63.58,139.57,100.0,105.19,-46.11,-94.56,-88.29,-45.69,-6.23,21.49,-57.12,-6.61,90.42,-57.43,28.85
7,f06.png,0.5445,0.4562,49735,0,31.9,-109.2,-31.22,4.26,59.78,136.35,99.81,105.19,-46.11,-94.56,-88.29,-45.69,-6.23,20.19,-57.37,-7.34,89.82,-62.38,29.16
8,f07.png,0.5434,0.4572,49735,0,31.6,-108.8,-26.21,-1.92,62.32,141.78,99.93,104.98,-45.19,-96.83,-84.64,-41.6,-4.62,17.86,-59.54,-9.73,93.46,-68.06,29.61
9,f08.png,0.5351,0.4656,49735,0,31.5,-109.97,-25.27,-3.2,65.31,141.23,99.99,103.53,-44.98,-96.3,-83.4,-42.45,-4.7,15.41,-61.76,-11.68,93.89,-77.22,30.69
10,f09.png,0.5433,0.4573,49735,0,31.5,-108.25,-18.31,-9.37,63.91,145.1,99.91,101.97,-46.65,-96.72,-75.01,-50.26,-5.62,21.33,-62.45,-8.35,94.46,-78.03,31.44
11,f10.png,0.5463,0.4544,49735,0,31.5,-107.34,-17.32,-9.77,62.1,143.69,99.96,101.97,-46.65,-96.72,-75.01,-50.26,-5.62,21.88,-62.33,-11.23,94.9,-81.08,31.82
12,f11.png,0.5421,0.4585,49735,0,31.5,-106.81,-15.71,-11.33,61.38,143.69,99.94,100.99,-47.69,-96.68,-74.4,-59.28,-9.98,21.88,-62.33,-11.23,94.9,-81.08,31.82
13,f12.png,0.5454,0.4552,49735,0,31.5,-106.5,-12.32,-14.79,61.48,144.23,99.99,101.01,-47.68,-96.68,-74.38,-59.54,-9.76,21.98,-62.44,-13.01,94.78,-80.86,31.84
14,f13.png,0.5501,0.4505,49735,0,31.7,-106.5,-12.32,-14.79,61.48,144.23,99.99,101.36,-48.87,-96.53,-70.45,-54.14,-8.11,21.98,-62.44,-13.01,94.78,-80.86,31.84
15,f14.png,0.5433,0.4573,49735,0,31.4,-106.54,-15.11,-9.64,56.86,143.19,99.97,104.41,-46.15,-96.7,-83.5,-35.78,-9.99,19.14,-62.41,-9.91,94.87,-79.88,31.41
16,f15.png,0.5416,0.4591,49735,0,31.4,-107.65,-24.56,-3.08,61.3,139.89,99.93,106.04,-46.51,-96.23,-87.98,-26.69,-9.9,16.66,-59.58,-7.61,91.65,-81.18,31.65
17,f16.png,0.5511,0.4495,49735,0,31.6,-107.76,-25.92,-1.75,60.61,139.8,99.92,104.94,-47.07,-96.42,-83.23,-26.88,-8.4,16.89,-57.68,-6.98,91.73,-80.57,31.72
18,f17.png,0.5479,0.4528,49735,0,31.6,-108.53,-27.8,-0.06,61.07,140.84,99.9,104.94,-47.07,-96.42,-83.23,-26.88,-8.4,19.93,-56.43,-7.59,92.98,-89.85,33.57
19,f18.png,0.5487,0.452,49735,0,31.7,-108.53,-27.8,-0.06,61.07,140.84,99.9,104.94,-47.07,-96.42,-83.23,-26.88,-8.4,17.86,-56.98,-7.54,92.93,-91.76,31.14
20,f19.png,0.5479,0.4527,49735,0,31.8,-108.53,-27.8,-0.06,61.07,140.84,99.9,104.94,-47.07,-96.42,-83.23,-26.88,-8.4,17.78,-59.43,-10.28,94.43,-93.47,31.12
21,f20.png,0.5444,0.4563,49735,0,31.6,-108.35,-23.18,-4.9,62.33,141.37,99.97,103.51,-46.62,-96.33,-79.96,-30.48,-8.5,18.05,-61.63,-8.14,95.0,-93.07,31.09
22,f21.png,0.5464,0.4543,49735,0,31.3,-107.33,-15.43,-12.36,63.6,143.82,99.97,101.88,-45.3,-96.72,-78.82,-34.66,-7.87,18.69,-62.09,-8.46,94.99,-91.98,31.22
23,f22.png,0.5488,0.4518,49735,0,31.4,-106.82,-15.15,-12.05,62.04,143.85,99.96,101.88,-45.3,-96.72,-78.82,-34.66,-7.87,19.11,-62.18,-8.7,94.89,-89.73,30.63
24,f23.png,0.5502,0.4504,49735,0,31.4,-106.82,-15.15,-12.05,62.04,143.85,99.96,102.11,-46.73,-96.38,-76.48,-49.55,-6.64,19.11,-62.18,-8.7,94.89,-89.73,30.63
25,f24.png,0.5408,0.4598,49735,0,31.6,-108.46,-18.68,-9.49,65.2,145.39,100.0,102.11,-46.73,-96.38,-76.48,-49.55,-6.64,19.11,-62.18,-8.7,94.89,-89.73,30.63
26,f25.png,0.5437,0.457,49735,0,31.7,-106.67,-19.03,-8.37,60.72,142.28,99.98,103.44,-47.99,-96.01,-77.99,-53.2,-7.44,15.3,-59.82,-10.4,94.09,-81.71,30.18
27,f26.png,0.5395,0.4611,49735,0,31.5,-106.79,-19.67,-7.8,60.6,140.4,99.99,104.55,-48.35,-95.85,-78.45,-54.36,-4.37,15.3,-59.82,-10.4,94.09,-81.71,30.18
28,f27.png,0.5446,0.456,49735,0,31.6,-107.3,-23.67,-3.31,59.46,139.31,99.85,103.57,-48.51,-96.55,-75.18,-31.27,-8.91,15.75,-59.28,-8.69,94.75,-80.59,30.11
29,f28.png,0.5485,0.4522,49735,0,31.6,-107.3,-23.67,-3.31,59.46,139.31,99.85,103.88,-48.19,-96.79,-76.47,-27.76,-8.03,15.75,-59.28,-8.69,94.75,-80.59,30.11
30,f29.png,0.5476,0.453,49735,0,32.0,-108.83,-25.4,-3.03,64.08,142.19,99.94,103.52,-47.78,-96.43,-76.9,-21.73,-8.3,16.28,-59.33,-10.63,93.77,-79.33,30.17
31,f30.png,0.5634,0.4372,49735,0,31.6,-108.83,-25.4,-3.03,64.08,142.19,99.94,104.23,-45.55,-96.83,-81.7,-22.8,-7.02,12.67,-60.44,-12.8,94.99,-76.98,30.41
32,f31.png,0.5646,0.436,49735,0,31.7,-108.83,-25.4,-3.03,64.08,142.19,99.94,104.23,-45.55,-96.83,-81.7,-22.8,-7.02,10.58,-61.1,-12.34,94.98,-80.34,30.52
