frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6092,0.3913,51655,0,38.7,-103.49,-21.57,-10.04,66.88,-72.39,99.86,104.37,-56.01,-80.23,-83.96,23.28,-9.16,-55.49,-60.25,-88.45,-94.78,-87.83,-10.0
2,f01.png,0.6148,0.3857,49735,0,36.7,-105.27,-29.55,-2.69,65.86,-44.56,95.07,104.61,-51.09,-89.28,-80.53,20.81,-10.0,-55.49,-60.25,-88.45,-94.78,-87.83,-10.0
3,f02.png,0.5494,0.4512,49735,0,34.5,-101.76,-24.64,-6.57,64.34,-111.93,72.59,104.61,-51.09,-89.28,-80.53,20.81,-10.0,-55.59,-60.52,-87.41,-94.64,-87.59,-9.93
4,f03.png,0.5534,0.4472,49735,0,32.6,-101.08,-25.43,-6.14,63.87,-118.38,72.26,105.3,-47.35,-96.69,-76.33,38.65,-9.99,-58.31,-62.03,-82.86,-94.45,-94.53,-9.98
5,f04.png,0.5498,0.4508,49735,0,32.8,-101.81,-31.91,-1.43,66.56,-117.29,74.93,106.69,-44.9,-96.69,-77.65,6.73,3.2,-58.31,-62.03,-82.86,-94.45,-94.53,-9.98
6,f05.png,0.5527,0.4478,49735,0,32.9,-102.28,-34.4,-0.23,68.46,-117.14,74.66,105.38,-45.87,-96.23,-74.08,0.59,-0.08,-59.18,-54.12,-95.42,-94.89,-84.18,-1.79
7,f06.png,0.552,0.4485,49735,0,32.8,-102.28,-34.4,-0.23,68.46,-117.14,74.66,105.38,-45.87,-96.23,-74.08,0.59,-0.08,-57.21,-54.55,-94.52,-91.7,-88.68,-9.99
8,f07.png,0.554,0.4466,49735,0,32.9,-102.28,-34.4,-0.23,68.46,-117.14,74.66,105.21,-45.98,-96.08,-73.25,0.58,-0.13,-56.48,-57.19,-94.68,-94.31,-88.55,1.14
9,f08.png,0.5337,0.4669,49735,0,32.9,-102.08,-34.45,-0.89,70.78,-119.93,74.74,105.16,-45.2,-96.83,-79.0,37.05,-10.0,-56.48,-57.19,-94.68,-94.31,-88.55,1.14
10,f09.png,0.5272,0.4735,49735,0,33.0,-102.08,-34.45,-0.89,70.78,-119.93,74.74,105.16,-45.2,-96.83,-79.0,37.05,-10.0,-54.47,-56.13,-96.46,-94.98,-83.36,3.71
11,f10.png,0.5294,0.4712,49735,0,32.3,-104.04,-31.02,-3.71,74.21,-111.81,74.33,105.01,-47.0,-94.03,-77.22,24.7,-9.99,-54.47,-56.13,-96.46,-94.98,-83.36,3.71
12,f11.png,0.5329,0.4677,49735,0,33.0,-104.57,-33.97,-1.53,75.16,-101.75,65.04,104.2,-49.2,-89.53,-77.1,23.04,-9.11,-51.02,-56.16,-96.78,-95.0,-96.26,-4.55
