frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6234,0.3769,48327,0,33.5,-62.62,98.19,-83.01,-58.3,-32.12,8.76,7.01,37.82,7.58,-34.47,59.04,53.53,11.15,78.41,-86.65,73.32,74.01,74.22
2,f01.png,0.5928,0.4077,27073,0,19.6,-24.99,99.5,-93.86,-95.0,-61.32,8.7,33.93,39.88,-21.33,-13.22,48.22,61.35,41.93,82.0,-94.28,29.46,47.22,98.76
3,f02.png,0.531,0.4695,31303,0,20.7,-12.87,99.97,-96.72,-79.54,-4.59,3.04,47.55,38.38,-22.31,-18.87,67.31,71.14,49.89,82.3,-96.83,24.23,93.41,93.78
4,f03.png,0.6106,0.39,35527,0,22.2,3.48,100.0,-92.86,-80.55,-21.02,7.37,70.96,50.09,-37.93,-24.37,96.81,10.0,69.45,100.0,-96.23,-37.7,72.67,45.82
5,f04.png,0.6254,0.375,49735,0,29.9,3.9,99.96,-92.95,-80.41,-21.11,7.44,76.04,54.91,-49.46,-18.8,72.76,12.35,71.77,99.77,-92.48,-52.25,42.82,44.37
6,f05.png,0.6432,0.3571,49735,0,30.0,3.57,99.98,-93.31,-80.4,-20.2,8.19,80.72,54.95,-49.52,-23.0,53.73,13.35,74.28,90.3,-79.33,-26.85,8.8,44.83
7,f06.png,0.6944,0.3057,49735,0,30.2,3.77,99.87,-93.28,-80.45,-20.44,8.21,85.6,56.27,-54.1,-17.37,34.1,9.96,74.76,86.62,-80.06,-10.42,-23.54,45.28
8,f07.png,0.7051,0.2951,49735,0,29.8,-13.25,90.35,-84.44,-63.45,-45.67,14.84,92.39,46.02,-45.25,-5.04,33.87,-3.01,77.33,79.69,-75.56,-7.49,-43.81,41.28
9,f08.png,0.7374,0.2627,49735,0,29.8,15.21,99.61,-78.92,-88.3,-34.38,41.63,97.24,62.42,-79.68,27.95,-0.67,-6.14,80.04,67.81,-65.86,3.09,-83.92,48.16
10,f09.png,0.7294,0.2707,27073,0,17.2,9.71,98.09,-83.56,-83.56,-22.5,68.89,101.36,60.4,-70.69,22.76,-10.63,-9.08,85.39,63.03,-66.66,11.72,-98.47,83.11
