frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7744,0.2259,49575,0,35.9,-81.7,-75.13,24.58,84.72,70.37,28.96,101.09,28.31,-4.61,0.58,61.9,-6.33,67.11,40.99,-1.96,-46.2,-24.68,43.13
2,f01.png,0.8181,0.182,28592,0,19.8,-70.53,-95.89,27.09,85.66,69.51,28.71,92.77,13.36,-20.63,-7.53,24.63,-6.29,66.0,39.12,-11.55,-39.96,-43.98,40.93
3,f02.png,0.859,0.141,28592,0,19.9,-85.8,-100.0,31.68,79.9,98.12,30.61,97.44,16.27,-19.03,-6.59,11.28,-6.07,67.32,40.35,-22.2,-36.61,-57.75,45.44
4,f03.png,0.8449,0.1552,28592,0,18.8,-88.32,-91.72,39.7,78.78,57.8,42.7,101.55,19.37,-16.51,-5.94,-4.4,-7.66,69.25,39.06,-28.47,-43.05,-82.62,46.91
5,f04.png,0.8393,0.1609,28592,0,17.3,-106.26,-91.83,42.04,75.38,39.75,46.41,73.19,12.35,-19.01,5.78,2.63,-9.21,75.08,46.46,-26.7,-46.9,-80.5,47.3
6,f05.png,0.7825,0.2178,49735,0,31.6,-106.09,-92.18,38.99,91.07,46.03,49.89,78.47,16.44,-13.07,-31.09,-1.41,0.41,71.96,60.67,-19.89,-94.98,-12.03,-2.77
7,f06.png,0.7917,0.2086,49735,0,31.7,-79.05,-77.3,25.75,84.42,58.07,59.65,101.94,34.47,-6.0,-20.62,-68.97,-10.0,67.24,35.76,6.44,-48.74,-25.55,27.72
8,f07.png,0.8194,0.1808,28592,0,17.5,-68.77,-96.46,29.28,82.13,72.31,59.42,91.29,13.01,-16.71,-18.98,-60.69,-9.3,65.46,35.6,-5.24,-44.43,-44.02,25.85
9,f08.png,0.8449,0.1552,28592,0,17.6,-84.89,-99.76,33.02,91.94,63.44,45.36,96.93,16.79,-15.88,-20.25,-63.44,-10.0,66.92,32.56,-8.79,-43.87,-62.99,29.99
10,f09.png,0.8752,0.1248,28592,0,17.5,-102.19,-78.54,41.66,55.01,30.61,46.16,69.98,13.63,-8.43,-14.13,-88.0,-9.94,72.51,33.61,-9.92,-47.95,-52.02,27.15
