frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7097,0.2904,45223,0,33.2,29.32,-99.45,-96.81,54.62,90.48,-3.92,-93.42,-97.86,90.77,53.83,11.77,43.6,89.92,99.94,-83.24,-94.6,-8.42,12.41
2,f01.png,0.7203,0.2798,49735,0,36.6,28.99,-99.99,-96.57,54.22,90.24,-3.96,-93.42,-97.86,90.77,53.83,11.77,43.6,89.92,99.94,-83.24,-94.6,-8.42,12.41
3,f02.png,0.7724,0.2276,49735,0,34.4,30.36,-99.5,-95.76,27.28,97.6,47.65,-93.1,-99.37,90.75,32.7,29.41,40.76,90.74,100.0,-84.45,-87.6,9.8,15.16
4,f03.png,0.7931,0.207,26768,0,16.3,30.09,-99.98,-95.96,27.07,97.54,47.77,-95.12,-97.23,85.06,38.77,29.24,38.79,89.69,98.21,-82.46,-91.29,-13.19,16.2
5,f04.png,0.8633,0.1367,5930,0,4.1,47.5,-99.37,-96.54,17.61,107.4,58.32,-99.6,-93.45,82.97,36.99,35.12,9.67,90.47,100.0,-87.05,-88.76,-40.6,-9.87
6,f05.png,0.8253,0.1747,28592,0,17.2,47.49,-99.89,-96.7,17.83,107.35,58.27,-106.42,-90.89,73.27,58.38,31.01,7.27,91.01,98.93,-87.63,-89.15,-45.76,-9.81
7,f06.png,0.8262,0.1739,28592,0,17.1,58.37,-98.51,-85.1,-2.76,121.98,78.56,-110.0,-87.54,65.2,58.68,15.45,26.84,90.87,99.98,-88.2,-94.59,-40.13,-9.97
8,f07.png,0.7874,0.2127,49735,0,31.4,81.26,-99.82,-91.06,-20.17,152.95,63.1,-109.95,-64.54,57.83,36.82,25.2,13.53,75.11,94.64,-84.76,-26.73,-26.38,26.66
9,f08.png,0.7726,0.2276,27073,0,18.5,90.61,-97.75,-95.14,-14.2,128.94,60.05,-109.44,-57.53,54.34,33.52,26.58,22.43,72.57,93.32,-96.76,3.77,-31.89,38.72
10,f09.png,0.7757,0.2245,11713,0,7.8,79.75,-98.99,-83.11,-14.38,113.85,28.1,-109.38,-55.03,52.28,19.46,86.24,11.95,70.28,89.45,-96.67,10.14,-40.81,66.24
11,f10.png,0.763,0.2373,49735,0,31.0,95.45,-99.82,-86.18,-12.41,102.99,24.58,-109.51,-50.43,50.3,13.7,88.7,14.74,68.79,80.25,-85.28,10.93,-45.07,84.32
12,f11.png,0.7396,0.2606,49735,0,31.0,95.24,-99.92,-86.12,-12.21,103.08,24.62,-108.69,-49.02,49.36,11.8,86.98,18.13,68.29,77.18,-80.31,8.84,-47.91,83.92
13,f12.png,0.746,0.2542,49735,0,31.1,95.3,-99.98,-86.18,-12.35,102.98,24.65,-108.71,-48.73,49.41,11.51,90.85,20.47,68.3,77.06,-79.78,8.19,-48.09,83.79
14,f13.png,0.7454,0.2549,49735,0,31.0,95.29,-100.0,-86.15,-12.27,102.87,24.61,-108.65,-48.75,49.43,11.45,90.27,21.25,68.3,77.06,-79.78,8.19,-48.09,83.79
15,f14.png,0.746,0.2542,49735,0,30.9,95.26,-99.97,-86.32,-12.23,102.93,24.6,-108.65,-48.75,49.43,11.45,90.27,21.25,68.3,77.06,-79.78,8.19,-48.09,83.79
16,f15.png,0.7463,0.2539,49735,0,31.1,96.14,-99.78,-86.13,-11.36,101.93,24.46,-108.65,-48.75,49.43,11.45,90.27,21.25,68.3,77.06,-79.78,8.19,-48.09,83.79
17,f16.png,0.7505,0.2497,28592,0,17.1,96.01,-99.75,-86.39,-11.51,102.48,24.49,-108.65,-48.75,49.43,11.45,90.27,21.25,68.48,77.08,-76.01,-1.46,-47.38,82.19
18,f17.png,0.7488,0.2514,49735,0,31.1,96.12,-99.86,-86.48,-11.8,102.09,24.58,-108.48,-49.22,49.54,11.57,87.94,21.23,67.46,75.87,-70.93,-6.37,-43.36,81.5
19,f18.png,0.738,0.2623,49735,0,31.2,96.21,-99.97,-86.73,-11.68,101.92,24.57,-107.99,-48.91,48.91,11.87,81.83,18.91,67.46,75.87,-70.93,-6.37,-43.36,81.5
20,f19.png,0.737,0.2633,49735,0,31.2,96.28,-99.95,-86.7,-11.9,101.77,24.71,-108.04,-49.12,49.11,11.77,81.98,18.71,66.62,73.11,-62.31,-16.41,-43.92,81.99
21,f20.png,0.7416,0.2587,49735,0,31.1,96.49,-99.52,-86.51,-11.9,101.72,24.68,-107.65,-49.3,49.07,11.71,81.94,18.71,66.55,69.02,-53.98,-21.74,-44.13,79.52
22,f21.png,0.7416,0.2586,49735,0,31.2,96.62,-99.64,-86.42,-11.99,101.63,24.69,-107.65,-49.3,49.07,11.71,81.94,18.71,66.55,69.02,-53.98,-21.74,-44.13,79.52
23,f22.png,0.7444,0.2559,49735,0,31.1,96.6,-99.98,-86.23,-12.13,101.5,24.59,-107.65,-49.3,49.07,11.71,81.94,18.71,66.69,68.86,-54.65,-19.53,-43.54,78.64
24,f23.png,0.7427,0.2575,49735,0,31.0,96.58,-99.93,-86.26,-12.15,101.62,24.61,-108.59,-49.15,49.54,11.55,86.98,20.03,66.69,68.86,-54.65,-19.53,-43.54,78.64
25,f24.png,0.7512,0.2491,28592,0,16.9,96.67,-99.97,-86.12,-11.8,101.65,24.64,-108.64,-48.8,49.39,11.63,88.96,19.65,68.14,67.47,-53.87,-21.55,-43.87,76.47
26,f25.png,0.7499,0.2504,49735,0,31.1,96.52,-99.77,-86.23,-11.79,101.58,24.66,-108.64,-48.8,49.39,11.63,88.96,19.65,67.97,67.5,-53.45,-22.11,-44.55,73.43
27,f26.png,0.7505,0.2497,26768,0,16.1,96.37,-100.0,-86.19,-11.87,101.46,24.66,-108.64,-48.8,49.39,11.63,88.96,19.65,67.97,67.5,-53.45,-22.11,-44.55,73.43
28,f27.png,0.7512,0.2491,26768,0,16.0,96.66,-99.89,-86.27,-12.07,101.38,24.55,-108.64,-48.8,49.39,11.63,88.96,19.65,67.97,67.5,-53.45,-22.11,-44.55,73.43
29,f28.png,0.7516,0.2487,26768,0,15.9,96.99,-99.79,-86.91,-12.29,101.27,24.78,-108.68,-48.57,49.38,11.41,90.3,20.23,67.97,67.5,-53.45,-22.11,-44.55,73.43
30,f29.png,0.7503,0.25,26768,0,15.9,96.89,-99.67,-86.85,-12.42,101.07,24.87,-108.68,-48.57,49.38,11.41,90.3,20.23,67.97,67.5,-53.45,-22.11,-44.55,73.43
31,f30.png,0.7503,0.25,26768,0,16.0,96.94,-99.66,-86.92,-12.49,101.13,24.88,-108.68,-48.57,49.38,11.41,90.3,20.23,67.97,67.5,-53.45,-22.11,-44.55,73.43
32,f31.png,0.7508,0.2495,26768,0,15.9,96.87,-99.59,-86.94,-12.5,100.92,24.84,-108.68,-48.57,49.38,11.41,90.3,20.23,67.97,67.5,-53.45,-22.11,-44.55,73.43
