frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.5092,0.4921,46698,0,39.0,-107.87,-93.49,76.48,-69.17,0.17,99.43,91.93,7.53,9.94,-52.78,112.96,4.56,-89.14,-68.92,-88.58,4.34,26.1,90.22,104.13,-99.58,-96.83,-15.1,49.78,-8.46,107.43,-85.59,50.33,78.27,67.85,35.01
2,f01.png,0.537,0.4642,48330,0,40.8,-110.0,-100.0,76.44,-56.91,15.75,98.91,91.8,7.58,9.98,-52.75,112.96,4.56,-88.65,-65.22,-86.37,7.36,17.65,90.32,101.75,-100.0,-95.96,-14.42,49.85,-9.15,107.63,-85.88,48.88,77.78,67.58,34.8
3,f02.png,0.5832,0.4179,47178,0,38.4,-110.0,-100.0,75.52,-54.9,15.4,98.91,92.53,10.54,8.92,-53.23,110.66,4.86,-88.59,-63.09,-87.12,8.64,8.52,89.29,101.34,-99.73,-96.76,-12.86,39.97,-9.49,107.75,-86.79,48.02,77.6,64.66,33.96
4,f03.png,0.6207,0.3804,46602,0,34.9,-110.0,-98.88,72.32,-45.35,31.31,99.44,89.76,5.89,12.84,-51.52,101.77,4.06,-88.47,-59.95,-85.04,8.27,-2.28,89.52,101.67,-99.64,-96.76,-12.94,39.83,-9.61,110.0,-78.36,55.62,68.84,73.35,34.11
5,f04.png,0.5607,0.4405,9408,0,8.2,-110.0,-98.88,72.32,-45.35,31.31,99.44,86.78,5.89,12.84,-51.52,101.77,4.06,-91.45,-59.95,-85.04,8.27,-2.28,89.52,98.68,-99.64,-96.76,-12.94,39.83,-9.61,107.01,-78.36,55.62,68.84,73.35,34.11
6,f05.png,0.5449,0.4568,11520,0,10.7,-110.0,-89.87,56.9,-36.97,30.5,96.97,105.85,6.89,14.12,-50.65,101.72,2.43,-110.0,-71.46,-96.41,2.86,0.14,89.52,96.59,-99.64,-96.76,-12.94,39.83,-9.61,104.92,-78.36,55.62,68.84,73.35,34.11
7,f06.png,0.6644,0.3366,51978,0,40.8,-77.05,-90.43,26.23,-80.42,49.08,98.01,108.76,-0.69,14.87,-33.35,83.53,2.35,-109.01,-73.52,-95.76,23.27,-17.09,88.04,82.47,-69.43,-82.28,-10.25,38.13,-9.93,104.49,-80.96,51.93,67.64,74.13,34.56
8,f07.png,0.6572,0.3439,51594,0,39.2,-76.82,-78.48,17.45,-95.0,60.72,100.0,110.0,9.13,-0.72,-23.95,84.62,-2.2,-110.0,-69.85,-92.98,22.86,-31.3,88.99,71.97,-59.92,-84.07,-21.65,12.91,-7.76,104.11,-81.57,51.76,67.17,74.8,34.5
9,f08.png,0.6209,0.3804,53514,0,40.4,-75.26,-77.59,13.8,-94.25,67.07,99.31,108.27,2.72,-11.07,-20.95,94.29,-1.99,-110.0,-62.6,-96.83,23.62,-37.4,93.77,61.91,-59.22,-96.83,-29.5,6.29,-5.53,102.81,-81.88,51.4,66.99,74.41,34.42
10,f09.png,0.5899,0.4115,52362,0,37.8,-75.61,-78.24,17.17,-95.0,80.58,98.72,110.0,-0.34,-13.6,-12.73,85.92,-0.6,-110.0,-58.43,-96.83,19.46,-49.73,97.96,59.81,-59.98,-96.83,-14.9,9.64,-9.56,102.79,-81.88,51.2,66.96,74.69,34.25
