frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.4762,0.5241,51655,0,38.0,-79.53,-68.83,-87.28,-19.64,-34.13,36.61,98.97,-99.35,80.22,19.58,-116.07,46.51,88.84,77.76,-92.97,-11.33,67.29,61.89
2,f01.png,0.4939,0.5063,49735,0,36.8,-80.73,-67.45,-90.8,-18.62,-45.46,36.63,98.97,-99.35,80.22,19.58,-116.07,46.51,88.75,79.32,-96.73,-11.57,69.13,61.85
3,f02.png,0.4987,0.5016,49735,0,34.4,-80.73,-67.45,-90.8,-18.62,-45.46,36.63,81.62,-99.39,86.01,20.57,-83.45,57.99,89.14,79.43,-96.3,-12.36,64.51,62.96
4,f03.png,0.4905,0.5098,49735,0,32.4,-79.24,-66.12,-93.34,-18.46,-51.53,36.88,82.13,-99.88,78.98,36.43,-91.44,70.27,90.47,79.31,-96.25,-12.36,59.1,63.32
5,f04.png,0.483,0.5173,49735,0,32.2,-79.77,-63.92,-96.71,-20.77,-58.99,36.45,81.54,-99.74,76.08,39.35,-105.83,73.72,90.54,77.99,-96.75,-8.66,52.16,63.41
6,f05.png,0.4859,0.5144,49735,0,32.6,-76.85,-65.75,-96.61,-20.84,-59.18,36.88,79.2,-98.16,72.6,39.58,-116.15,74.29,90.31,77.53,-94.59,-7.59,34.16,63.04
7,f06.png,0.4668,0.5335,49735,0,32.5,-76.77,-66.32,-96.82,-24.13,-71.1,36.17,76.19,-99.94,72.53,36.61,-113.26,72.68,89.41,79.02,-94.71,-20.01,17.92,62.01
8,f07.png,0.4489,0.5514,51655,0,33.8,-77.52,-66.25,-96.81,-27.18,-81.39,36.23,77.44,-99.98,72.69,30.25,-116.11,70.66,90.14,79.01,-94.33,-19.57,6.98,62.0
9,f08.png,0.4599,0.5404,51655,0,33.9,-77.09,-66.33,-96.8,-31.29,-89.16,37.08,80.58,-99.98,72.86,27.03,-125.79,70.8,93.45,81.91,-96.72,-36.9,7.33,62.1
10,f09.png,0.4875,0.5129,49735,0,32.8,-76.54,-66.74,-96.78,-35.55,-103.15,36.06,81.18,-99.89,73.47,21.09,-134.28,69.68,93.95,84.62,-96.33,-47.82,-12.05,64.16
11,f10.png,0.4656,0.5347,49735,0,32.7,-78.19,-64.83,-96.8,-44.55,-124.53,35.85,77.22,-99.88,70.34,21.07,-137.61,70.06,93.55,84.72,-96.35,-39.02,-21.29,62.57
12,f11.png,0.4565,0.5439,51655,0,33.1,-82.46,-54.86,-96.81,-37.25,-85.73,36.73,97.86,-88.5,71.15,17.56,-129.15,67.35,91.37,92.1,-92.64,-38.92,-29.82,62.97
13,f12.png,0.4993,0.5009,51655,0,32.7,-83.56,-67.27,-96.58,-18.14,-55.14,65.94,81.62,-100.0,80.08,33.42,-96.93,91.39,89.79,85.51,-96.81,-94.99,-89.87,73.03
14,f13.png,0.4696,0.5307,49735,0,32.1,-81.52,-65.08,-96.15,-23.64,-63.36,73.57,75.71,-97.9,75.89,37.77,-106.65,91.27,90.41,82.49,-91.73,-93.51,-88.23,80.06
15,f14.png,0.4629,0.5374,49735,0,32.2,-80.07,-63.05,-96.71,-28.75,-71.61,73.94,73.27,-96.33,72.95,36.33,-111.5,91.14,91.5,83.58,-96.81,-95.0,-70.06,88.46
16,f15.png,0.4591,0.5413,49153,0,33.1,-88.1,-56.99,-96.82,-26.5,-127.71,7.69,82.63,-100.0,67.94,35.21,-84.28,99.66,91.85,92.48,-96.81,-94.98,-88.41,85.96
17,f16.png,0.4536,0.5467,51655,0,33.5,-83.83,-63.96,-90.06,-20.68,-129.82,8.56,81.58,-100.0,65.81,35.31,-90.39,99.69,92.45,99.97,-96.34,-94.04,-94.52,84.58
18,f17.png,0.4826,0.5177,49735,0,32.6,-82.38,-64.78,-90.02,-18.04,-138.66,5.81,81.89,-99.68,65.84,31.63,-108.63,99.91,92.22,99.97,-96.59,-94.6,-94.87,86.35
