frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5024,0.4977,44519,0,32.4,-93.72,-79.09,72.78,59.59,112.89,54.56,92.56,-81.77,66.47,15.83,-125.78,99.98,-83.9,-73.35,-96.82,-9.89,153.1,64.04
2,f01.png,0.507,0.4932,49735,0,35.8,-93.72,-79.09,72.78,59.59,112.89,54.56,92.56,-81.77,66.47,15.83,-125.78,99.98,-83.9,-73.35,-96.82,-9.89,153.1,64.04
3,f02.png,0.4877,0.5126,49735,0,33.9,-93.02,-78.1,68.79,66.72,114.64,55.08,90.03,-94.84,75.98,6.07,-127.73,99.79,-84.73,-73.22,-96.82,-14.5,140.26,68.77
4,f03.png,0.4651,0.5351,49735,0,31.0,-93.03,-70.08,65.11,67.14,113.25,55.4,94.07,-95.83,78.45,3.81,-137.37,99.23,-83.56,-74.09,-95.71,-15.64,136.22,68.93
5,f04.png,0.4665,0.5339,51655,0,31.9,-98.87,-65.06,56.11,59.83,155.69,25.04,80.9,-99.87,72.37,0.14,-152.23,74.29,-81.58,-72.84,-96.83,-14.5,128.97,54.92
6,f05.png,0.4728,0.5276,51655,0,31.8,-95.48,-55.01,53.79,52.54,162.11,28.82,84.83,-100.0,78.21,-14.75,-157.05,99.98,-80.24,-73.99,-96.81,-13.78,119.82,51.08
7,f06.png,0.478,0.5224,51655,0,31.6,-88.1,-100.0,58.78,45.13,128.69,31.25,90.01,-99.97,85.54,-32.0,-157.2,97.09,-80.83,-75.19,-96.82,-14.02,113.67,47.59
8,f07.png,0.4585,0.5419,27073,0,17.7,-87.25,-99.99,54.58,48.81,133.48,29.94,94.92,-99.72,85.95,-33.8,-157.2,71.64,-80.74,-75.12,-96.83,-19.89,106.51,53.23
9,f08.png,0.46,0.5405,27073,0,17.8,-85.33,-99.8,50.61,53.3,138.36,32.68,101.43,-100.0,84.4,-29.03,-157.21,72.41,-82.94,-75.04,-96.77,-25.84,95.89,64.97
10,f09.png,0.5087,0.4916,49735,0,31.5,-96.28,-95.41,83.03,53.67,138.85,32.55,103.54,-99.9,89.35,-26.03,-138.83,72.14,-106.02,-72.18,-96.03,-16.57,76.78,65.54
11,f10.png,0.5143,0.4859,49735,0,31.9,-96.18,-95.71,83.76,53.81,138.89,32.35,104.65,-99.98,90.54,-22.79,-141.88,71.88,-104.42,-69.72,-95.97,-16.64,65.31,64.51
12,f11.png,0.4929,0.5074,51655,0,32.5,-91.86,-99.42,72.32,62.03,161.26,29.65,103.71,-96.06,89.23,-17.98,-150.18,69.38,-102.05,-68.58,-96.83,-9.28,52.11,69.5
13,f12.png,0.4646,0.5357,51655,0,32.5,-91.51,-99.99,67.01,49.89,155.47,29.48,102.29,-81.45,86.28,-22.49,-157.12,65.46,-100.15,-66.97,-96.61,-9.22,43.38,69.77
14,f13.png,0.4858,0.5146,51655,0,32.4,-97.59,-64.8,58.24,44.17,156.19,29.56,93.81,-89.71,86.88,-34.5,-90.06,55.69,-97.39,-66.44,-95.14,-7.48,36.56,70.2
