frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.4218,0.5787,50727,0,35.2,-92.15,-99.77,79.59,39.12,26.12,31.27,-4.85,8.53,-53.42,22.77,126.85,49.57,4.15,23.23,-71.71,71.24,152.67,98.8
2,f01.png,0.3577,0.6431,43399,0,29.2,-86.95,-91.75,64.84,13.89,-4.73,-7.84,-3.38,-14.14,-36.8,52.99,108.55,57.51,-6.49,1.78,-59.91,57.76,137.16,99.15
3,f02.png,0.2953,0.7067,73735,0,46.9,-80.88,-97.78,66.44,-23.27,-24.01,4.99,-3.63,-8.51,-0.63,36.44,80.29,55.63,-5.82,8.49,-18.34,53.52,161.64,60.76
4,f03.png,0.2776,0.7253,33991,0,19.2,-76.74,-99.22,61.95,-83.32,-33.92,-3.0,-3.73,-7.34,6.79,37.91,42.64,58.13,-4.34,10.97,-11.33,36.33,162.69,48.98
5,f04.png,0.2355,0.7683,38023,0,21.9,-57.85,-100.0,47.11,-85.02,-54.95,-0.96,-4.68,-20.77,10.91,6.83,27.75,90.67,-26.96,-1.68,-6.17,0.01,162.58,35.57
6,f05.png,0.2285,0.7747,16897,0,10.8,-52.08,-99.97,13.24,-70.28,-39.02,34.73,63.92,-88.67,79.69,20.4,60.13,27.43,21.16,59.4,-47.97,-32.77,146.88,-4.2
7,f06.png,0.323,0.6777,73735,0,46.0,-60.35,-100.0,-29.31,-35.11,-42.73,-9.81,88.17,-100.0,90.58,70.71,85.03,-5.04,85.91,90.8,-54.69,-58.55,139.49,-6.78
8,f07.png,0.3388,0.662,13057,0,8.6,-63.09,-99.99,-13.61,-40.85,-27.14,13.68,88.57,-99.99,90.61,67.23,96.34,-8.11,103.19,86.14,-86.34,-37.14,157.41,-6.25
9,f08.png,0.3493,0.6514,16129,0,10.8,-70.05,-99.99,9.58,-59.2,-15.35,-9.76,88.84,-89.37,91.33,63.29,101.89,-3.31,93.1,95.04,-96.83,-36.73,161.5,-1.14
10,f09.png,0.3846,0.616,49153,0,32.1,-86.68,-100.0,13.97,-59.03,-6.16,4.87,88.28,-84.6,90.51,61.29,88.69,-9.56,86.94,100.0,-94.42,-6.12,137.68,-9.34
11,f10.png,0.3725,0.6282,20737,0,13.5,-100.09,-99.6,7.04,-56.77,23.24,41.78,90.2,-81.76,90.74,62.3,89.81,11.91,90.52,100.0,-96.82,8.64,104.62,20.58
12,f11.png,0.3395,0.6615,49153,0,67.2,-109.96,-99.96,-5.0,-48.96,45.41,56.98,80.62,-93.26,91.18,69.81,86.68,64.89,83.17,99.98,-96.76,-24.09,162.78,17.59
