id,op,r,rmin,s0,s1,clears,iou,area,h0,h1,rev
abstract_device6_mpeg7-02,thicken,12,6.0,0.030936,0.068467,True,0.494,2.02,0,5,True
abstract_device7_mpeg7-01,thicken,12,1.0,0.046404,0.07734,True,0.609,1.64,0,0,True
abstract_spring_mpeg7-04,thicken,12,4.0,0.03974,0.119204,True,0.599,1.67,0,0,True
abstract_spring_mpeg7-05,thicken,8,2.0,0.044194,0.079481,True,0.714,1.4,0,0,True
abstract_stef_mpeg7-03,thicken,10,1.0,0.046387,0.07734,True,0.648,1.54,0,0,True
animals_beetle_mpeg7-01,thicken,10,8.0,0.022097,0.07841,True,0.523,1.91,0,0,True
animals_beetle_mpeg7-02,thicken,12,5.0,0.033146,0.079515,True,0.65,1.54,0,0,True
animals_beetle_mpeg7-03,thicken,10,3.0,0.03974,0.083866,True,0.733,1.36,0,0,True
animals_beetle_mpeg7-04,thicken,10,8.0,0.022097,0.079515,True,0.629,1.59,0,2,True
animals_beetle_mpeg7-05,thicken,12,6.0,0.033146,0.079515,True,0.616,1.62,0,0,True
animals_butterfly_mpeg7-01,fill,0,,0.04637,0.154508,True,0.82,1.22,19,0,False
animals_butterfly_mpeg7-02,fill,0,,0.03974,0.141284,True,0.819,1.22,18,0,False
animals_cattle_mpeg7-01,fill,0,,0.044194,0.079498,True,0.943,1.06,1,0,True
animals_cattle_mpeg7-02,fill,0,,0.044194,0.079515,True,0.892,1.12,4,0,True
animals_cattle_mpeg7-03,fill,0,,0.04637,0.088286,True,0.892,1.12,3,0,True
animals_deer_mpeg7-01,thicken,6,6.0,0.024273,0.048545,True,0.734,1.36,1,1,True
animals_deer_mpeg7-02,thicken,6,6.0,0.024273,0.048545,True,0.737,1.36,1,1,True
animals_deer_mpeg7-03,thicken,8,8.0,0.030936,0.059594,True,0.683,1.47,1,1,True
animals_deer_mpeg7-04,thicken,8,8.0,0.022097,0.055243,True,0.637,1.57,1,3,True
animals_deer_mpeg7-05,thicken,8,6.0,0.024273,0.057418,True,0.675,1.48,1,1,True
animals_dog_mpeg7-03,fill,0,,0.011049,0.07734,True,0.523,1.91,7,0,False
animals_fly_mpeg7-01,thicken,8,8.0,0.022097,0.048545,True,0.635,1.58,1,0,True
animals_horse_mpeg7-01,thicken,3,1.0,0.04637,0.066291,True,0.883,1.13,0,1,True
animals_horse_mpeg7-02,thicken,6,1.0,0.03974,0.088388,True,0.775,1.29,0,0,True
animals_horse_mpeg7-03,thicken,4,4.0,0.035321,0.048545,True,0.819,1.22,0,0,True
animals_horse_mpeg7-04,thicken,4,4.0,0.03974,0.061872,True,0.816,1.22,0,0,True
animals_horse_mpeg7-05,thicken,8,1.0,0.04637,0.090564,True,0.762,1.31,0,1,True
animals_lizzard_mpeg7-01,thicken,12,1.0,0.04637,0.081691,True,0.64,1.56,0,0,True
animals_lizzard_mpeg7-03,thicken,2,2.0,0.044194,0.055226,True,0.91,1.1,0,0,True
animals_lizzard_mpeg7-04,thicken,3,2.0,0.03974,0.061872,True,0.876,1.14,0,0,True
animals_lizzard_mpeg7-05,thicken,3,2.0,0.044194,0.068467,True,0.877,1.14,0,0,True
animals_octopus_mpeg7-01,thicken,5,3.0,0.044194,0.099437,True,0.86,1.16,0,1,True
animals_octopus_mpeg7-04,thicken,5,3.0,0.03974,0.1027,True,0.812,1.23,0,0,True
animals_octopus_mpeg7-05,thicken,4,3.0,0.044194,0.093827,True,0.851,1.18,0,0,True
animals_rat_mpeg7-01,thicken,5,1.0,0.04637,0.059594,True,0.818,1.22,0,0,True
animals_rat_mpeg7-02,thicken,6,1.0,0.046404,0.066291,True,0.802,1.25,0,0,True
animals_rat_mpeg7-03,thicken,5,2.0,0.044194,0.064013,True,0.827,1.21,0,0,True
animals_rat_mpeg7-05,thicken,6,2.0,0.046404,0.072818,True,0.806,1.24,0,0,True
animals_ray_mpeg7-01,thicken,8,1.0,0.04637,0.070642,True,0.832,1.2,0,1,True
letters_lower_y_dejavuserif-bold,thicken,12,1.0,0.04637,0.083866,True,0.67,1.49,0,0,True
letters_upper_M_dejavuserif-bold,thicken,12,4.0,0.044194,0.088388,True,0.632,1.58,0,0,True
letters_upper_N_dejavuserif-bold,thicken,12,2.0,0.044194,0.07734,True,0.656,1.52,0,0,True
letters_upper_U_dejavuserif-bold,thicken,12,1.0,0.044194,0.07734,True,0.659,1.52,0,0,True
letters_upper_V_dejavuserif-bold,thicken,12,1.0,0.046404,0.088388,True,0.694,1.44,0,0,True
objects_apple_mpeg7-05,thicken,8,1.0,0.044194,0.123709,True,0.886,1.13,0,0,True
objects_cup_mpeg7-03,thicken,12,2.0,0.044194,0.141318,True,0.837,1.19,0,1,True
objects_fork_mpeg7-01,thicken,8,8.0,0.023185,0.066291,True,0.589,1.7,0,0,True
objects_fork_mpeg7-02,thicken,5,5.0,0.033146,0.055208,True,0.701,1.43,0,0,True
objects_fork_mpeg7-03,thicken,12,10.0,0.022097,0.061872,True,0.462,2.16,0,1,True
objects_fork_mpeg7-04,thicken,5,4.0,0.03974,0.070642,True,0.736,1.36,0,0,True
objects_fork_mpeg7-05,thicken,12,10.0,0.022097,0.055243,True,0.396,2.53,0,0,True
objects_guitar_mpeg7-03,closefill,6,3.0,0.024273,0.048545,True,0.461,2.17,2,0,True
objects_hammer_mpeg7-01,thicken,12,2.0,0.044194,0.07734,True,0.578,1.73,0,0,True
objects_hammer_mpeg7-02,thicken,12,2.0,0.044194,0.07734,True,0.559,1.79,0,0,True
objects_hammer_mpeg7-03,thicken,12,2.0,0.044194,0.07734,True,0.559,1.79,0,0,True
objects_horseshoe_mpeg7-05,fill,0,,0.033146,0.121534,True,0.62,1.61,4,0,False
objects_pencil_mpeg7-02,thicken,12,1.0,0.044194,0.079515,True,0.547,1.83,0,0,True
objects_pocket_mpeg7-01,fill,0,,0.033146,0.121534,True,0.701,1.43,12,0,False
objects_pocket_mpeg7-02,fill,0,,0.044194,0.234024,True,0.622,1.61,3,0,False
objects_pocket_mpeg7-04,fill,0,,0.033146,0.123709,True,0.661,1.51,12,0,False
objects_pocket_mpeg7-05,fill,0,,0.033146,0.19418,True,0.529,1.89,4,0,False
objects_spoon_mpeg7-01,thicken,12,1.0,0.046404,0.086144,True,0.625,1.6,0,0,True
objects_spoon_mpeg7-02,thicken,12,1.0,0.046404,0.081691,True,0.625,1.6,0,0,True
objects_spoon_mpeg7-03,thicken,12,1.0,0.046404,0.086144,True,0.625,1.6,0,0,True
