sequence,source,arms,gap,clip_name,run_dir,path,fit_scale,iou_authored,tc_iou,asp_err,motion_excess,infeasible,current,export_cmd
ICRA_scene_01_bird,optimizer,3,0.15?,ICRA_scene_01_bird,ICRA_scene_01_bird,optimized/ICRA_scene_01_bird,1.3115,0.0001,0.6289,0.2295,-0.0795,0.0,False,python demo/export_library_clip.py --sequence ICRA_scene_01_bird
ICRA_scene_01_bird,optimizer_n5,5,0.25,ICRA_scene_01_bird__optimizer_n5,ICRA_scene_01_bird_n5,optimized/ICRA_scene_01_bird_n5,1.6,0.0504,0.5848,0.2015,-0.0831,0.0,True,python demo/export_library_clip.py --sequence ICRA_scene_01_bird --source optimizer_n5
ICRA_scene_01_butterfly,optimizer,3,0.15?,ICRA_scene_01_butterfly,ICRA_scene_01_butterfly,optimized/ICRA_scene_01_butterfly,0.6385,0.1032,0.6736,0.1153,-0.0486,0.0,False,python demo/export_library_clip.py --sequence ICRA_scene_01_butterfly
ICRA_scene_01_butterfly,optimizer_n5,5,0.25,ICRA_scene_01_butterfly__optimizer_n5,ICRA_scene_01_butterfly_n5,optimized/ICRA_scene_01_butterfly_n5,0.8308,0.2898,0.6034,0.1542,-0.0418,0.0,True,python demo/export_library_clip.py --sequence ICRA_scene_01_butterfly --source optimizer_n5
ICRA_scene_01_snake,optimizer,3,0.15?,ICRA_scene_01_snake,ICRA_scene_01_snake,optimized/ICRA_scene_01_snake,0.7346,0.2008,0.6855,0.0729,0.0068,0.0,False,python demo/export_library_clip.py --sequence ICRA_scene_01_snake
ICRA_scene_01_snake,optimizer_n5,5,0.25,ICRA_scene_01_snake__optimizer_n5,ICRA_scene_01_snake_n5,optimized/ICRA_scene_01_snake_n5,0.6385,0.2652,0.5661,0.1379,-0.0453,0.0,True,python demo/export_library_clip.py --sequence ICRA_scene_01_snake --source optimizer_n5
ICRA_scene_01_star,optimizer,3,0.15?,ICRA_scene_01_star,ICRA_scene_01_star,optimized/ICRA_scene_01_star,0.6385,0.1,0.2816,0.2766,-0.127,0.0,False,python demo/export_library_clip.py --sequence ICRA_scene_01_star
ICRA_scene_03_a,optimizer,3,0.15?,ICRA_scene_03_a,ICRA_scene_03_a,optimized/ICRA_scene_03_a,0.7346,0.1481,0.5988,0.0843,-0.0828,0.0,False,python demo/export_library_clip.py --sequence ICRA_scene_03_a
ICRA_scene_03_c,optimizer,3,0.15?,ICRA_scene_03_c,ICRA_scene_03_c,optimized/ICRA_scene_03_c,0.7346,0.2022,0.7097,0.0475,-0.0234,0.0,False,python demo/export_library_clip.py --sequence ICRA_scene_03_c
ICRA_scene_03_i,optimizer,3,0.15?,ICRA_scene_03_i,ICRA_scene_03_i,optimized/ICRA_scene_03_i,0.7346,0.2026,0.7915,0.0723,0.0041,0.0,False,python demo/export_library_clip.py --sequence ICRA_scene_03_i
ICRA_scene_03_r,optimizer,3,0.15?,ICRA_scene_03_r,ICRA_scene_03_r,optimized/ICRA_scene_03_r,0.7346,0.2838,0.5783,0.2318,-0.0335,0.0,False,python demo/export_library_clip.py --sequence ICRA_scene_03_r
bird,optimizer,3,0.15?,bird,bird,optimized/bird,1.0231,0.1332,0.4986,0.1245,-0.1104,0.0,False,python demo/export_library_clip.py --sequence bird
bird_scene_01_bird,optimizer,3,0.15?,bird_scene_01_bird,bird_scene_01_bird,optimized/bird_scene_01_bird,0.6385,0.0049,0.4794,0.0661,-0.1891,0.0,False,python demo/export_library_clip.py --sequence bird_scene_01_bird
bird_scene_01_bird,optimizer_g25,3,0.25,bird_scene_01_bird__optimizer_g25,bird_scene_01_bird_g25,optimized/bird_scene_01_bird_g25,0.6385,0.0108,0.3989,0.1206,-0.1994,0.0,True,python demo/export_library_clip.py --sequence bird_scene_01_bird --source optimizer_g25
butterfly_scene_01_butterfly,optimizer,3,0.25,butterfly_scene_01_butterfly,butterfly_scene_01_butterfly,optimized/butterfly_scene_01_butterfly,0.9269,0.1042,0.6952,0.1612,-0.0121,0.0,True,python demo/export_library_clip.py --sequence butterfly_scene_01_butterfly
butterfly_scene_01_butterfly,optimizer_n5,5,0.25,butterfly_scene_01_butterfly__optimizer_n5,butterfly_scene_01_butterfly_n5,optimized/butterfly_scene_01_butterfly_n5,0.8308,0.2013,0.4636,0.9136,-0.0695,0.0,True,python demo/export_library_clip.py --sequence butterfly_scene_01_butterfly --source optimizer_n5
cheer_n5,optimizer,5,0.15?,cheer_n5,cheer_n5,optimized/cheer_n5,0.7346,0.405,0.587,0.2594,-0.0835,0.0,False,python demo/export_library_clip.py --sequence cheer_n5
chicken_egg_scene_01_egg,optimizer,3,0.15?,chicken_egg_scene_01_egg,chicken_egg_scene_01_egg,optimized/chicken_egg_scene_01_egg,0.4462,0.1038,0.6767,0.1637,-0.0092,0.0,False,python demo/export_library_clip.py --sequence chicken_egg_scene_01_egg
chicken_egg_scene_01_egg,optimizer_g25,3,0.25,chicken_egg_scene_01_egg__optimizer_g25,chicken_egg_scene_01_egg_g25,optimized/chicken_egg_scene_01_egg_g25,0.5423,0.1447,0.6345,0.16,0.0006,0.0,True,python demo/export_library_clip.py --sequence chicken_egg_scene_01_egg --source optimizer_g25
fabric_scene_01_fabric,optimizer,3,0.25,fabric_scene_01_fabric,fabric_scene_01_fabric,optimized/fabric_scene_01_fabric,0.6385,0.0124,0.7316,0.2606,-0.0202,0.0,True,python demo/export_library_clip.py --sequence fabric_scene_01_fabric
fabric_scene_01_fabric,optimizer_n5,5,0.25,fabric_scene_01_fabric__optimizer_n5,fabric_scene_01_fabric_n5,optimized/fabric_scene_01_fabric_n5,0.9269,0.2599,0.6727,0.1336,0.0046,0.0,True,python demo/export_library_clip.py --sequence fabric_scene_01_fabric --source optimizer_n5
family_ad_scene_01_I,optimizer,3,0.15?,family_ad_scene_01_I,family_ad_scene_01_I,optimized/family_ad_scene_01_I,0.8308,0.2429,0.6399,0.0827,-0.0121,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_01_I
family_ad_scene_02_F,optimizer,3,0.15?,family_ad_scene_02_F,family_ad_scene_02_F,optimized/family_ad_scene_02_F,0.4462,0.0221,0.4851,0.2888,-0.0493,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_02_F
family_ad_scene_03_F,optimizer,3,0.15?,family_ad_scene_03_F,family_ad_scene_03_F,optimized/family_ad_scene_03_F,0.7346,0.3417,0.6107,0.0865,-0.0884,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_03_F
family_ad_scene_03_I,optimizer,3,0.15?,family_ad_scene_03_I,family_ad_scene_03_I,optimized/family_ad_scene_03_I,0.7346,0.1971,0.4266,0.3384,-0.0537,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_03_I
family_ad_scene_04_M,optimizer,3,0.15?,family_ad_scene_04_M,family_ad_scene_04_M,optimized/family_ad_scene_04_M,0.6385,0.0869,0.7261,0.0164,0.0,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_04_M
family_ad_scene_05_I,optimizer,3,0.15?,family_ad_scene_05_I,family_ad_scene_05_I,optimized/family_ad_scene_05_I,1.0231,0.3685,0.5966,0.0681,-0.0058,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_05_I
family_ad_scene_05_M,optimizer,3,0.15?,family_ad_scene_05_M,family_ad_scene_05_M,optimized/family_ad_scene_05_M,0.6385,0.0925,0.6941,0.1317,-0.0531,0.0,False,python demo/export_library_clip.py --sequence family_ad_scene_05_M
