sequence_id,frame_idx,source,input,clip_rank,clip_rr,clip_top1,n_classes,chance_top1
demo_01_scene_01_I,0,optimizer,reassembled,37,0.027,0,49,0.0204
demo_01_scene_01_I,1,optimizer,reassembled,32,0.0312,0,49,0.0204
demo_01_scene_01_I,2,optimizer,reassembled,42,0.0238,0,49,0.0204
demo_01_scene_01_I,3,optimizer,reassembled,39,0.0256,0,49,0.0204
demo_01_scene_01_I,4,optimizer,reassembled,32,0.0312,0,49,0.0204
demo_01_scene_01_I,5,optimizer,reassembled,35,0.0286,0,49,0.0204
demo_01_scene_01_I,6,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_01_I,7,optimizer,reassembled,24,0.0417,0,49,0.0204
demo_01_scene_01_I,8,optimizer,reassembled,39,0.0256,0,49,0.0204
demo_01_scene_01_I,9,optimizer,reassembled,40,0.025,0,49,0.0204
demo_01_scene_01_I,0,,authored,42,0.0238,0,49,0.0204
demo_01_scene_01_I,1,,authored,43,0.0233,0,49,0.0204
demo_01_scene_01_I,2,,authored,41,0.0244,0,49,0.0204
demo_01_scene_01_I,3,,authored,41,0.0244,0,49,0.0204
demo_01_scene_01_I,4,,authored,42,0.0238,0,49,0.0204
demo_01_scene_01_I,5,,authored,42,0.0238,0,49,0.0204
demo_01_scene_01_I,6,,authored,42,0.0238,0,49,0.0204
demo_01_scene_01_I,7,,authored,42,0.0238,0,49,0.0204
demo_01_scene_01_I,8,,authored,42,0.0238,0,49,0.0204
demo_01_scene_01_I,9,,authored,42,0.0238,0,49,0.0204
demo_01_scene_01_I,,optimizer,reassembled,36.1,0.0284,0.0,49,0.0204
demo_01_scene_01_I,,,authored,41.9,0.0239,0.0,49,0.0204
demo_01_scene_04_M,0,optimizer,reassembled,1,1.0,1,49,0.0204
demo_01_scene_04_M,1,optimizer,reassembled,1,1.0,1,49,0.0204
demo_01_scene_04_M,2,optimizer,reassembled,3,0.3333,0,49,0.0204
demo_01_scene_04_M,3,optimizer,reassembled,1,1.0,1,49,0.0204
demo_01_scene_04_M,4,optimizer,reassembled,2,0.5,0,49,0.0204
demo_01_scene_04_M,5,optimizer,reassembled,2,0.5,0,49,0.0204
demo_01_scene_04_M,6,optimizer,reassembled,8,0.125,0,49,0.0204
demo_01_scene_04_M,7,optimizer,reassembled,8,0.125,0,49,0.0204
demo_01_scene_04_M,8,optimizer,reassembled,13,0.0769,0,49,0.0204
demo_01_scene_04_M,9,optimizer,reassembled,24,0.0417,0,49,0.0204
demo_01_scene_04_M,10,optimizer,reassembled,13,0.0769,0,49,0.0204
demo_01_scene_04_M,11,optimizer,reassembled,13,0.0769,0,49,0.0204
demo_01_scene_04_M,12,optimizer,reassembled,25,0.04,0,49,0.0204
demo_01_scene_04_M,13,optimizer,reassembled,18,0.0556,0,49,0.0204
demo_01_scene_04_M,0,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,1,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,2,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,3,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,4,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,5,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,6,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,7,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,8,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,9,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,10,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,11,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,12,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,13,,authored,1,1.0,1,49,0.0204
demo_01_scene_04_M,,optimizer,reassembled,9.429,0.3537,0.2143,49,0.0204
demo_01_scene_04_M,,,authored,1.0,1.0,1.0,49,0.0204
demo_01_scene_05_I,0,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,1,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,2,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,3,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,4,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,5,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,6,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,7,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,8,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,9,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,10,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,11,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,12,optimizer,reassembled,41,0.0244,0,49,0.0204
demo_01_scene_05_I,0,,authored,42,0.0238,0,49,0.0204
demo_01_scene_05_I,1,,authored,42,0.0238,0,49,0.0204
demo_01_scene_05_I,2,,authored,42,0.0238,0,49,0.0204
