sample_id,subset,stem,source,ref,class,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,t_area_frac,t_aspect_ratio,t_solidity,t_compactness,t_convexity_defect_depth_rel,t_min_stroke_width_rel,t_median_stroke_width_rel,t_stroke_width_ratio,t_thin_mass_frac,t_elongation,t_skel_len_rel,t_neck_width_rel,t_closed_region,t_n_components,t_n_holes,t_n_holes_signif,t_euler_number,t_hole_area_frac,t_hole_area_frac_max,t_n_limbs,t_n_junctions,t_n_concave_extrema,t_sym_h,t_sym_v,t_contour_hf_energy,t_ph_h0_total,t_ph_n_parts_robust,t_ph_holes_total_size,t_ph_hole_max_size,t_ph_n_holes_robust,t_ph_n_pockets_robust,t_ph_pocket_max_mouth,t_ph_entropy,s_area_frac,s_aspect_ratio,s_solidity,s_compactness,s_convexity_defect_depth_rel,s_min_stroke_width_rel,s_median_stroke_width_rel,s_stroke_width_ratio,s_thin_mass_frac,s_elongation,s_skel_len_rel,s_neck_width_rel,s_closed_region,s_n_components,s_n_holes,s_n_holes_signif,s_euler_number,s_hole_area_frac,s_hole_area_frac_max,s_n_limbs,s_n_junctions,s_n_concave_extrema,s_sym_h,s_sym_v,s_contour_hf_energy,s_ph_h0_total,s_ph_n_parts_robust,s_ph_holes_total_size,s_ph_hole_max_size,s_ph_n_holes_robust,s_ph_n_pockets_robust,s_ph_pocket_max_mouth,s_ph_entropy,d_area_frac,d_aspect_ratio,d_solidity,d_compactness,d_convexity_defect_depth_rel,d_min_stroke_width_rel,d_median_stroke_width_rel,d_stroke_width_ratio,d_thin_mass_frac,d_elongation,d_skel_len_rel,d_neck_width_rel,d_closed_region,d_n_components,d_n_holes,d_n_holes_signif,d_euler_number,d_hole_area_frac,d_hole_area_frac_max,d_n_limbs,d_n_junctions,d_n_concave_extrema,d_sym_h,d_sym_v,d_contour_hf_energy,d_ph_h0_total,d_ph_n_parts_robust,d_ph_holes_total_size,d_ph_hole_max_size,d_ph_n_holes_robust,d_ph_n_pockets_robust,d_ph_pocket_max_mouth,d_ph_entropy
abstract_device3_mpeg7-01,abstract,device3_mpeg7-01,teleop,original,device3,0.2598,0.4124,0.0291,0.0524,0.11912,0.22097,0.9481,11.8786,9.4486,0,0,0,0.01868,0.0,0,2,,2,0.2265,0.9804,0.3103,0.6834,0.6051,0.9802,1.0169,1.131,0.0041,0.5524,0.5524,1.0,0.1822,0.02,0.011,,True,1,0,0,1,0.0,0.0,0,0,4,0.9605,0.9647,0.3198,0.0,0,0.0,0.0,0,0,0.0,0.0,0.1781,0.2796,0.9012,2.638,0.0848,0.0221,0.1105,0.2612,0.4859,7.1,0.784,0.0773,True,1,0,0,1,0.0,0.0,2,0,10,0.6926,0.7359,0.1933,0.0264,1,0.0,0.0,0,0,0.0,0.8236,-0.427,-0.7006,-0.1157,1.507,0.0807,-0.5303,-0.4419,-0.7388,0.3037,7.08,0.773,,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,-0.2679,-0.2288,-0.1265,0.0264,1.0,0.0,0.0,0.0,0.0,0.0,0.8236
abstract_device9_mpeg7-04,abstract,device9_mpeg7-04,teleop,original,device9,0.3629,0.5326,0.1513,0.2781,0.04317,0.14916,0.6082,14.1435,1.202,0,0,0,0.12634,0.03274,2,4,0.0977,2,0.4673,0.9804,0.8667,0.116,0.4733,0.9802,0.973,2.827,0.5359,0.0433,0.1657,0.2381,0.3201,6.633,1.099,0.0221,True,1,0,0,1,0.0,0.0,2,0,2,0.9262,0.9593,0.1686,0.1171,1,0.0,0.0,0,0,0.0,0.0,0.187,0.7609,0.5678,7.152,0.359,0.0221,0.0706,0.3258,0.7366,20.645,1.458,0.0221,True,1,0,0,1,0.0,0.0,4,2,2,0.2978,0.4632,0.2931,0.0916,2,0.0,0.0,0,15,0.0729,2.093,-0.2863,-0.2193,-0.4052,4.325,-0.1769,-0.0212,-0.0951,0.0877,0.4165,14.012,0.359,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-0.6284,-0.4961,0.1245,-0.0255,1.0,0.0,0.0,0.0,15.0,0.0729,2.093
digits_1_dejavusans-bold,digits,1_dejavusans-bold,teleop,original,1,0.338,0.5052,0.0483,0.104,0.04594,0.16801,0.6499,2.7959,0.5544,1,0,1,0.0235,0.0,3,2,0.0773,1,0.3535,0.7059,0.3265,0.5374,0.2325,0.6908,0.6221,3.216,0.1328,0.091,0.1215,0.6923,0.4898,7.682,0.934,0.0773,True,1,0,0,1,0.0,0.0,3,1,7,0.6199,0.6151,0.1742,0.0045,0,0.0,0.0,0,0,0.0,0.6931,0.091,0.3196,0.6888,3.473,0.082,0.021,0.0663,0.2977,0.7378,9.917,0.657,0.0552,True,2,0,0,2,0.0,0.0,2,0,6,0.488,0.42,0.1954,0.0287,1,0.0,0.0,0,0,0.0,0.9725,-0.1415,-0.3712,0.0667,0.257,-0.0508,-0.07,-0.0552,-0.3946,0.248,2.235,-0.277,-0.0221,0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-0.1319,-0.1951,0.0212,0.0242,1.0,0.0,0.0,0.0,0.0,0.0,0.2794
digits_1_dejavuserif-bold,digits,1_dejavuserif-bold,teleop,original,1,0.2707,0.4261,0.0695,0.1164,0.04512,0.14612,0.6364,5.8962,0.3478,0,0,0,0.01948,0.00157,3,2,0.0714,1,0.2226,0.6373,0.4881,0.2341,0.187,0.6094,0.575,3.625,0.1174,0.0442,0.1182,0.3077,0.545,8.04,0.95,0.0331,True,1,0,0,1,0.0,0.0,3,1,4,0.6607,0.7409,0.1397,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0685,0.447,0.4191,6.108,0.1753,0.0243,0.0442,0.5,0.9323,15.875,0.702,0.0221,True,1,0,0,1,0.0,0.0,2,0,5,0.2506,0.2675,0.1694,0.0276,1,0.0,0.0,0,2,0.0276,1.1234,-0.1185,-0.1624,-0.1559,2.483,0.0579,-0.0199,-0.074,0.1923,0.3873,7.835,-0.248,-0.011,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-0.4101,-0.4734,0.0297,0.0276,1.0,0.0,0.0,0.0,2.0,0.0276,1.1234
digits_7_dejavusans-bold,digits,7_dejavusans-bold,teleop,original,7,0.203,0.3375,0.111,0.1597,0.04443,0.15598,0.2345,1.9973,0.749,0,0,0,0.01945,0.00156,2,2,0.0742,0,0.3345,0.7549,0.407,0.4609,0.2191,0.7525,0.6532,3.265,0.2676,0.0751,0.1214,0.7296,0.5071,7.146,0.867,,True,1,0,0,1,0.0,0.0,2,0,5,0.418,0.2957,0.1404,0.0066,0,0.0,0.0,0,0,0.0,1.0986,0.0671,0.3656,0.616,4.005,0.1101,0.0223,0.0552,0.4754,0.9336,10.3,0.569,0.0442,True,1,0,0,1,0.0,0.0,2,0,4,0.3947,0.3551,0.1785,0.0209,1,0.0,0.0,0,0,0.0055,1.1595,-0.152,-0.3869,-0.0372,0.74,-0.1575,-0.0528,-0.0662,-0.2542,0.4265,3.154,-0.298,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0233,0.0594,0.0381,0.0143,1.0,0.0,0.0,0.0,0.0,0.0055,0.0609
letters_lower_a_dejavusans-bold,letters_lower,a_dejavusans-bold,teleop,original,a,0.2857,0.4444,0.0987,0.2035,0.04137,0.19802,0.3679,6.3228,0.9536,1,0,1,0.0897,0.05201,1,3,0.0944,2,0.2404,0.9655,0.6607,0.3157,0.3115,0.9651,0.7916,2.792,0.2899,0.0555,0.1038,0.4426,0.5001,12.934,1.342,0.0773,True,1,1,1,0,0.1058,0.1058,1,1,4,0.6748,0.6139,0.2128,0.0453,1,0.0607,0.0607,1,6,0.0387,1.1273,0.1942,0.556,0.4887,6.836,0.2579,0.011,0.0552,0.0927,0.7581,32.82,1.812,0.011,True,2,2,1,0,0.2099,0.2096,3,3,2,0.2449,0.2094,0.2539,0.087,2,0.0695,0.064,1,8,0.0718,2.15,-0.1173,-0.4091,-0.3029,4.044,-0.032,-0.0445,-0.0486,-0.3499,0.258,19.886,0.47,-0.0663,0,1.0,1.0,0.0,0.0,0.1041,0.1038,2.0,2.0,-2.0,-0.4299,-0.4045,0.0411,0.0417,1.0,0.0088,0.0033,0.0,2.0,0.0331,1.0227
letters_lower_b_dejavusans-bold,letters_lower,b_dejavusans-bold,teleop,original,b,0.1246,0.2216,0.0599,0.1615,0.04955,0.17678,0.2515,1.8605,1.0421,0,-1,1,0.09916,0.11017,1,3,0.1364,2,0.3917,0.7549,0.6017,0.2029,0.2881,0.7525,0.7524,2.171,0.1592,0.0592,0.1214,0.5,0.5106,9.878,1.199,0.0442,True,1,1,1,0,0.2258,0.2258,1,1,4,0.4316,0.5187,0.2315,0.052,1,0.0829,0.0829,1,0,0.0,0.9731,0.1681,0.5433,0.4991,8.793,0.3336,0.0139,0.0552,0.3333,0.8394,25.4,1.403,0.0442,True,4,2,0,2,0.0007,0.0004,3,1,2,0.4351,0.2726,0.2149,0.1048,3,0.011,0.0055,0,6,0.0872,2.8312,-0.12,-0.2092,-0.2533,6.622,0.1744,-0.0453,-0.0662,-0.1667,0.3288,15.522,0.204,0.0,0,3.0,1.0,-1.0,2.0,-0.2251,-0.2254,2.0,0.0,-2.0,0.0035,-0.2461,-0.0166,0.0528,2.0,-0.0719,-0.0774,-1.0,6.0,0.0872,1.8581
letters_lower_j_dejavusansmono-bold,letters_lower,j_dejavusansmono-bold,teleop,original,j,0.2866,0.4456,0.0705,0.0961,0.03256,0.08593,0.5733,1.0442,0.1839,0,0,0,0.05417,0.00547,2,2,0.0987,0,0.4554,0.3333,0.4194,0.2581,0.0987,0.3267,0.5878,4.174,0.1065,0.0663,0.0773,0.8571,0.799,7.214,0.558,0.0552,True,2,0,0,2,0.0,0.0,2,0,4,0.3419,0.3964,0.1441,0.0685,1,0.0,0.0,0,0,0.0,0.1409,0.0824,0.4063,0.5668,5.594,0.0894,0.0155,0.0552,0.3128,0.9044,14.1,0.779,0.011,True,2,0,0,2,0.0,0.0,2,0,7,0.264,0.3393,0.1945,0.0673,2,0.0,0.0,0,6,0.0408,1.6437,-0.0163,0.0796,-0.021,1.42,-0.0171,-0.0508,-0.0221,-0.5443,0.1054,6.886,0.221,-0.0442,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.0779,-0.0571,0.0504,-0.0012,1.0,0.0,0.0,0.0,6.0,0.0408,1.5028
letters_lower_l_dejavusans-bold,letters_lower,l_dejavusans-bold,teleop,original,l,0.4594,0.6295,0.0556,0.097,0.03331,0.06077,0.9372,4.5875,0.1012,0,0,0,0.01011,0.0,2,2,0.0815,0,0.588,0.2353,0.1966,0.1645,0.1494,0.2277,1.0538,1.999,0.0,0.1326,0.1326,1.0,0.4739,3.333,0.442,,True,1,0,0,1,0.0,0.0,2,0,4,1.0,0.9615,0.0961,0.0,0,0.0,0.0,0,0,0.0,0.0,0.1158,0.187,0.8753,3.138,0.04,0.0552,0.0884,0.6367,0.6739,6.875,0.608,0.0552,True,1,0,0,1,0.0,0.0,2,0,6,0.491,0.5124,0.1257,0.0143,0,0.0,0.0,0,0,0.0,0.9187,-0.0336,-0.0407,-0.1785,1.139,0.04,-0.0774,-0.0442,-0.3633,0.2,3.542,0.166,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.509,-0.4491,0.0296,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.9187
letters_lower_n_dejavusans-bold,letters_lower,n_dejavusans-bold,teleop,original,n,0.1666,0.2856,0.0636,0.1013,0.0577,0.21854,0.2422,2.3529,2.1189,0,1,1,0.04943,0.03671,2,3,0.1648,1,0.1294,0.9875,0.7789,0.2112,0.2672,0.9873,0.729,3.419,0.337,0.0702,0.1436,0.5385,0.475,6.038,0.867,0.0442,True,1,0,0,1,0.0,0.0,2,0,6,0.7764,0.6193,0.1747,0.0409,1,0.0,0.0,0,0,0.0,0.0,0.1594,0.7235,0.5819,5.47,0.2774,0.0221,0.0574,0.2394,0.761,23.283,1.337,0.0331,True,1,1,1,0,0.0191,0.0191,3,3,2,0.3267,0.4929,0.2074,0.0452,1,0.0166,0.0166,1,3,0.0342,1.9961,-0.1078,-0.2638,-0.1471,2.051,-0.0596,-0.0481,-0.0862,-0.2991,0.286,17.245,0.47,-0.0111,0,0.0,1.0,1.0,-1.0,0.0191,0.0191,1.0,3.0,-4.0,-0.4497,-0.1264,0.0327,0.0043,0.0,0.0166,0.0166,1.0,3.0,0.0342,1.9961
