sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
bird,optimizer,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/bird/frame_01_20260902_031111/best_shadow.png,0.6386,0.1842,0.3111,0.1518,0.1744,0.03643,0.08912,0.1336,3.5198,2.2745,0,0,0,0.03749,0.01852,4,3,0.0933,1,0.4553,1.1429,1.1228,0.0175,0->1,33.47,43.89,0,0.6969,0.5769,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/bird/frame_02_20260902_031111/best_shadow.png,0.645,0.1226,0.2184,0.0921,0.2235,0.04093,0.09391,0.1159,3.1416,1.5881,0,0,0,0.03081,0.01025,4,3,0.0955,1,0.4276,1.4286,1.3103,0.0828,1->2,31.05,51.44,0,0.5748,0.4428,-0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/bird/frame_03_20260902_031111/best_shadow.png,0.6583,0.092,0.1685,0.0584,0.1246,0.05313,0.10005,0.1325,1.6834,2.4371,0,0,0,0.02416,0.0,4,3,0.1174,1,0.4471,1.8413,1.4667,0.2034,2->3,52.21,88.13,0,0.5512,0.4655,-0.0857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/bird/frame_04_20260902_031111/best_shadow.png,0.6601,0.1328,0.2345,0.0618,0.0738,0.05183,0.10809,0.1463,1.9688,1.7445,0,0,0,0.04438,0.07187,4,3,0.1307,1,0.5102,1.5135,1.2778,0.1558,3->4,19.42,37.77,0,0.6926,0.586,-0.1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/bird/frame_05_20260902_031111/best_shadow.png,0.6827,0.1517,0.2634,0.0994,0.1511,0.04879,0.13214,0.251,2.3127,7.721,0,0,0,0.03241,0.08513,3,3,0.1497,0,0.5503,1.1765,1.0128,0.1391,4->5,27.29,40.41,0,0.707,0.586,-0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/bird/frame_06_20260902_031111/best_shadow.png,0.6778,0.1385,0.2433,0.0519,0.0468,0.05306,0.10592,0.1584,1.9753,0.9106,0,0,0,0.03835,0.03672,4,3,0.1302,1,0.573,1.5135,1.2917,0.1466,5->6,29.15,43.42,0,0.5682,0.4655,-0.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/bird/frame_07_20260902_031111/best_shadow.png,0.6708,0.1086,0.1959,0.0639,0.0826,0.05136,0.09928,0.1091,1.7841,3.2341,0,0,0,0.03323,0.06874,4,3,0.1133,1,0.4683,1.8413,1.5,0.1853,6->7,32.56,55.89,0,0.5535,0.4428,-0.1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/bird/frame_08_20260902_031111/best_shadow.png,0.6737,0.1348,0.2376,0.1117,0.1928,0.04188,0.09369,0.0959,3.6128,1.891,0,0,0,0.02313,0.03784,4,3,0.0922,1,0.4682,1.4286,1.3103,0.0828,wrap,62.4,106.76,0,0.6813,0.5769,-0.1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,optimizer,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6634,0.6386,0.6827,0.0147,0.1332,0.092,0.1842,0.026,0.2341,0.1685,0.3111,0.0401,0.0864,0.0519,0.1518,0.032,0.1337,0.0468,0.2235,0.0585,0.0472,0.0364,0.0531,0.0061,0.1028,0.0891,0.1321,0.0126,0.1428,0.0959,0.251,0.045,2.4998,1.6834,3.6128,0.7468,2.7251,0.9106,7.721,1.9921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0231,0.0444,0.0067,0.0411,0.0,0.0851,0.0292,3.875,3.0,4.0,0.3307,3.0,3.0,3.0,0.0,0.1153,0.0922,0.1497,0.0196,0.875,0.0,1.0,0.3307,0.4875,0.4276,0.573,0.0484,1.4858,1.1429,1.8413,0.2434,1.2866,1.0128,1.5,0.1504,0.1267,0.0175,0.2034,0.0575,35.9437,19.42,62.4,13.2293,58.4638,37.77,106.76,23.6153,0.6282,0.5512,0.707,0.0669,0.5178,0.4428,0.586,0.0642,-0.1104,-0.132,-0.0857,0.0132,0.0,68.75,1.0231,-8.23,16.46,0.0,False,3,"{""attempted"": false, ""reason"": ""wrap already reachable"", ""dq_wrap_deg"": 62.4}",1.0,0,467.71,62.4,0.6813,0.5769,"[33.47, 31.05, 52.21, 19.42, 27.29, 29.15, 32.56]"
bird,optimizer,shown,8,1,128,frame,0,,0.6386,0.6386,0.7795,0.3363,0.5515,0.01386,0.05093,0.7827,3.403,2.3338,0,0,0,0.0523,0.02087,4,3,0.0469,1,0.4506,1.1562,1.1228,0.0289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
