sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,loop_anchor,n_arms_declared,assignment_stability,n_arm_swaps,total_path_length_deg,loop_closure_dq_max_deg,loop_closure_shadow_step_iou,loop_closure_target_step_iou,dq_max_deg_by_transition
cheer_n5,optimizer,original,8,1,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/cheer_n5/frame_01_20260902_031504/best_shadow.png,0.7359,0.4747,0.6438,0.0658,0.1231,0.04261,0.10937,0.7614,0.7877,0.5082,0,0,0,0.05184,0.01562,4,3,0.0669,1,0.8054,0.5088,0.4211,0.1724,0->1,33.33,56.49,0,0.7288,0.7049,-0.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer,original,8,1,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/cheer_n5/frame_02_20260902_031504/best_shadow.png,0.6935,0.4042,0.5757,0.0696,0.1046,0.04364,0.11745,0.6639,2.1579,1.3868,0,0,0,0.04547,0.01172,4,4,0.0878,0,0.6043,0.8596,0.6064,0.2946,1->2,35.73,48.54,0,0.8107,0.6965,-0.1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer,original,8,1,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/cheer_n5/frame_03_20260902_031504/best_shadow.png,0.6966,0.3685,0.5385,0.0371,0.0918,0.04799,0.12597,0.6176,1.0248,4.5464,0,0,0,0.01809,0.01172,4,4,0.1037,0,0.5018,0.9825,0.7128,0.2745,2->3,22.9,35.41,0,0.7831,0.6885,-0.0946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer,original,8,1,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/cheer_n5/frame_04_20260902_031504/best_shadow.png,0.6885,0.383,0.5539,0.062,0.1025,0.04862,0.14256,0.6352,0.9945,1.8914,0,0,0,0.08991,0.03364,4,5,0.121,1,0.5259,0.9649,0.7021,0.2723,3->4,28.98,35.05,0,0.7823,0.6891,-0.0932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer,original,8,1,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/cheer_n5/frame_05_20260902_031504/best_shadow.png,0.7056,0.4279,0.5993,0.066,0.1199,0.04374,0.12143,0.6906,0.4321,0.5152,0,0,0,0.0201,0.01562,3,3,0.1173,0,0.6398,0.6724,0.5773,0.1414,4->5,37.56,48.89,0,0.7968,0.6891,-0.1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer,original,8,1,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/cheer_n5/frame_06_20260902_031504/best_shadow.png,0.6898,0.3955,0.5668,0.0587,0.0909,0.04824,0.14402,0.6398,1.0474,1.9416,0,0,0,0.08025,0.0266,4,4,0.1281,0,0.4934,0.9649,0.6842,0.2909,5->6,24.89,28.47,0,0.8117,0.6885,-0.1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer,original,8,1,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/cheer_n5/frame_07_20260902_031504/best_shadow.png,0.6953,0.3836,0.5545,0.0416,0.0905,0.04784,0.12727,0.6143,1.0952,4.6109,0,0,0,0.01765,0.0,4,4,0.1115,0,0.5253,0.9825,0.6737,0.3143,6->7,16.76,25.15,0,0.7855,0.6965,-0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer,original,8,1,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/cheer_n5/frame_08_20260902_031504/best_shadow.png,0.7145,0.4027,0.5742,0.0621,0.0736,0.04373,0.11338,0.6708,2.1426,1.3615,0,0,0,0.03825,0.0,4,4,0.0774,0,0.5932,0.8596,0.6316,0.2653,wrap,41.73,71.39,0,0.7269,0.7049,-0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheer_n5,optimizer,original,8,1,128,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.7025,0.6885,0.7359,0.015,0.405,0.3685,0.4747,0.0311,0.5758,0.5385,0.6438,0.0308,0.0579,0.0371,0.0696,0.0112,0.0996,0.0736,0.1231,0.0154,0.0458,0.0426,0.0486,0.0024,0.1252,0.1094,0.144,0.0119,0.6617,0.6143,0.7614,0.0451,1.2103,0.4321,2.1579,0.5779,2.0953,0.5082,4.6109,1.5189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0452,0.0176,0.0899,0.0261,0.0144,0.0,0.0336,0.0109,3.875,3.0,4.0,0.3307,3.875,3.0,5.0,0.5995,0.1017,0.0669,0.1281,0.0206,0.25,0.0,1.0,0.433,0.5861,0.4934,0.8054,0.0964,0.8494,0.5088,0.9825,0.1619,0.6261,0.4211,0.7128,0.0893,0.2532,0.1414,0.3143,0.0579,30.235,16.76,41.73,7.8349,43.6737,25.15,71.39,14.5786,0.7782,0.7269,0.8117,0.031,0.6947,0.6885,0.7049,0.0067,-0.0835,-0.1232,-0.022,0.0365,0.0,68.75,0.7346,-8.23,8.23,0.00094,False,5,"{""attempted"": false, ""reason"": ""wrap already reachable"", ""dq_wrap_deg"": 41.7}",5,1.0,0,349.39,41.73,0.7269,0.7049,"[33.33, 35.73, 22.9, 28.98, 37.56, 24.89, 16.76]"
cheer_n5,optimizer,shown,8,1,128,frame,0,,0.7359,0.7347,0.8471,0.3146,0.5315,0.0125,0.04454,0.8706,0.7982,0.4526,0,0,0,0.04265,0.01016,4,3,0.0558,1,0.7949,0.5181,0.4211,0.1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
