sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_03_F,optimizer,original,24,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_01_20260902_025302/best_shadow.png,0.5986,0.3134,0.4772,0.0677,0.1329,0.0555,0.2164,0.4695,3.9841,0.7902,0,1,1,0.03647,0.09225,4,2,0.1505,2,0.5065,0.875,0.7821,0.1062,0->1,6.76,11.35,0,0.9411,0.8484,-0.0927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_F,optimizer,original,24,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_02_20260902_025302/best_shadow.png,0.5997,0.322,0.4871,0.0702,0.1359,0.05471,0.21431,0.4624,3.7965,0.6269,0,1,1,0.03219,0.09522,4,2,0.1468,2,0.5313,0.901,0.7792,0.1352,1->2,10.05,16.77,0,0.9427,0.8711,-0.0716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_F,optimizer,original,24,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_03_20260902_025302/best_shadow.png,0.6248,0.3337,0.5004,0.0829,0.159,0.05202,0.21144,0.5389,3.9426,0.5419,0,1,1,0.04415,0.12264,4,2,0.1365,2,0.5561,0.8911,0.7867,0.1172,2->3,12.35,23.15,0,0.8759,0.7547,-0.1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_F,optimizer,original,24,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_04_20260902_025302/best_shadow.png,0.6306,0.3439,0.5118,0.0813,0.1599,0.05502,0.22,0.5197,3.5721,0.5447,0,0,0,0.03137,0.1,4,2,0.1383,2,0.5381,0.8654,0.7792,0.0996,3->4,10.04,14.21,0,0.9097,0.7996,-0.1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_F,optimizer,original,24,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_05_20260902_025302/best_shadow.png,0.6289,0.333,0.4997,0.0731,0.1589,0.0554,0.2265,0.5353,3.6073,0.6407,0,0,0,0.0472,0.12736,4,2,0.1293,2,0.5225,0.8585,0.7595,0.1153,4->5,11.5,13.16,0,0.9587,0.8958,-0.0629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_F,optimizer,original,24,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_06_20260902_025302/best_shadow.png,0.6275,0.3318,0.4983,0.0659,0.1518,0.05532,0.22543,0.5232,3.3468,0.6978,0,0,0,0.04226,0.13282,4,2,0.1345,2,0.5758,0.8411,0.7215,0.1422,5->6,13.71,22.2,0,0.894,0.7782,-0.1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_F,optimizer,original,24,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_07_20260902_025302/best_shadow.png,0.6149,0.3197,0.4845,0.0577,0.1573,0.05723,0.22741,0.5516,3.5854,0.804,0,0,0,0.03585,0.05166,4,2,0.1384,2,0.5152,0.8654,0.7692,0.1111,6->7,8.1,14.67,0,0.941,0.8425,-0.0985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_F,optimizer,original,24,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_08_20260902_025302/best_shadow.png,0.6306,0.3288,0.4948,0.0693,0.1532,0.05592,0.22294,0.5745,3.2889,0.6936,0,0,0,0.02407,0.04996,4,2,0.1263,2,0.5452,0.89,0.7895,0.113,7->8,3.83,7.26,0,0.9428,0.8631,-0.0797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_F,optimizer,original,24,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_09_20260902_025302/best_shadow.png,0.6503,0.3439,0.5117,0.0775,0.1689,0.05359,0.21996,0.6124,3.1351,0.5111,0,0,0,0.03461,0.04297,4,2,0.1237,2,0.5476,0.9091,0.8133,0.1053,8->9,25.69,31.15,0,0.8865,0.7598,-0.1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_F,optimizer,original,24,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_F/frame_10_20260902_025302/best_shadow.png,0.657,0.337,0.5041,0.0571,0.1255,0.05594,0.23064,0.5749,3.2988,0.6045,0,0,0,0.03429,0.06649,4,2,0.1202,2,0.5502,0.8824,0.7922,0.1022,9->10,56.53,61.9,0,0.9039,0.7981,-0.1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
