sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_03_I,optimizer,original,15,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_01_20260902_023516/best_shadow.png,0.6193,0.3539,0.5228,0.1226,0.2188,0.05133,0.20456,0.5888,4.2498,0.1103,0,0,0,0.02268,0.0,3,2,0.1561,1,0.5925,0.4623,0.519,0.1227,0->1,0.0,0.0,0,1.0,0.8128,-0.1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_I,optimizer,original,15,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_02_20260902_023516/best_shadow.png,0.6258,0.3241,0.4896,0.0998,0.1887,0.05553,0.20544,0.5692,4.271,0.1141,0,0,0,0.02268,0.0,3,2,0.1579,1,0.5918,0.4623,0.519,0.1227,1->2,0.0,0.0,0,1.0,0.813,-0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_I,optimizer,original,15,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_03_20260902_023516/best_shadow.png,0.6319,0.275,0.4314,0.05,0.1096,0.06076,0.20738,0.4031,4.1588,0.1036,0,0,0,0.01816,0.0,3,2,0.1587,1,0.6004,0.4623,0.519,0.1227,2->3,32.82,49.79,0,0.8176,0.8167,-0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_I,optimizer,original,15,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_04_20260902_023516/best_shadow.png,0.6393,0.2711,0.4266,0.0552,0.1145,0.06014,0.20485,0.374,4.2345,0.1025,0,0,0,0.02204,0.0,3,3,0.1871,0,0.6091,0.4623,0.4684,0.0132,3->4,0.0,0.0,0,1.0,0.8134,-0.1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_I,optimizer,original,15,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_05_20260902_023516/best_shadow.png,0.6103,0.2147,0.3535,0.0181,0.0268,0.06616,0.20782,0.2668,4.2264,0.1089,0,0,0,0.02204,0.0,3,3,0.1887,0,0.6088,0.4717,0.4684,0.0071,4->5,9.61,17.43,0,0.9842,0.9614,-0.0228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_I,optimizer,original,15,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_06_20260902_023516/best_shadow.png,0.6092,0.205,0.3403,0.0312,0.0235,0.06618,0.20795,0.2461,4.2637,0.1095,0,0,0,0.02123,0.0,3,3,0.1887,0,0.6175,0.4623,0.4684,0.0132,5->6,1.55,2.29,0,0.9989,0.9965,-0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_I,optimizer,original,15,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_07_20260902_023516/best_shadow.png,0.6081,0.2048,0.34,0.0318,0.0235,0.06617,0.20782,0.2461,4.2649,0.1133,0,0,0,0.0221,0.0,3,3,0.1887,0,0.6167,0.4623,0.4684,0.0132,6->7,14.01,22.57,0,0.9099,0.9531,0.0432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_I,optimizer,original,15,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_08_20260902_023516/best_shadow.png,0.5973,0.2158,0.355,0.0422,0.0671,0.06477,0.21299,0.3021,5.9028,0.1454,0,0,0,0.01542,0.0,3,2,0.1495,1,0.6149,0.4623,0.4675,0.0114,7->8,12.53,17.32,0,0.9444,0.9789,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_I,optimizer,original,15,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_09_20260902_023516/best_shadow.png,0.616,0.2023,0.3365,0.0435,0.027,0.06451,0.20862,0.302,5.7258,0.1142,0,0,0,0.01564,0.0,3,2,0.1531,1,0.6153,0.4623,0.443,0.0416,8->9,0.75,1.04,0,1.0,0.962,-0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_03_I,optimizer,original,15,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_03_I/frame_10_20260902_023516/best_shadow.png,0.5955,0.2054,0.3408,0.0441,0.027,0.06375,0.20712,0.3376,6.0343,0.1085,0,0,0,0.01723,0.0,3,2,0.1495,1,0.5983,0.4623,0.443,0.0416,9->10,4.73,5.24,0,0.9789,0.9918,0.0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
