sequence_id,source,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_04_M,optimizer,14,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_01_20260902_011756/best_shadow.png,0.5558,0.554,0.713,0.1819,0.3346,0.03427,0.15554,0.7285,4.232,1.8239,0,2,2,0.14634,0.17313,4,6,0.1083,2,0.516,0.8636,0.8115,0.0604,0->1,0.0,0.0,0,1.0,0.9963,-0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_04_M,optimizer,14,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_02_20260902_011756/best_shadow.png,0.5551,0.5538,0.7129,0.1814,0.334,0.03423,0.15554,0.7326,4.2516,1.7751,0,2,2,0.14711,0.17313,4,6,0.1061,2,0.5157,0.8636,0.8115,0.0604,1->2,0.0,0.0,0,1.0,0.9359,-0.0641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_04_M,optimizer,14,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_03_20260902_011756/best_shadow.png,0.5497,0.5503,0.7099,0.1709,0.2996,0.03468,0.15121,0.752,3.3351,1.5764,0,2,2,0.14295,0.17473,4,6,0.1034,2,0.5039,0.8889,0.8115,0.0871,2->3,16.32,19.58,0,0.826,0.9185,0.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_04_M,optimizer,14,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_04_20260902_011756/best_shadow.png,0.5513,0.5504,0.71,0.1724,0.307,0.03435,0.14331,0.7223,2.8792,0.99,0,3,3,0.16298,0.22492,4,5,0.1176,1,0.5242,0.9065,0.8632,0.0478,3->4,0.0,0.0,0,1.0,0.9467,-0.0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_04_M,optimizer,14,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_05_20260902_011756/best_shadow.png,0.5461,0.5457,0.7061,0.1651,0.2969,0.03437,0.1445,0.7204,2.6087,0.997,0,3,3,0.15681,0.22024,4,5,0.1192,1,0.5249,0.934,0.8632,0.0757,4->5,9.86,11.38,0,0.858,0.9461,0.0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_04_M,optimizer,14,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_06_20260902_011756/best_shadow.png,0.5484,0.5471,0.7072,0.1734,0.3009,0.0319,0.13361,0.7401,2.3511,0.7801,0,3,3,0.14785,0.26521,4,5,0.1076,1,0.529,0.934,0.8772,0.0608,5->6,7.27,14.64,0,0.864,0.888,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_04_M,optimizer,14,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_07_20260902_011756/best_shadow.png,0.5496,0.548,0.708,0.1691,0.2946,0.03068,0.12868,0.7094,1.8613,0.7322,0,2,2,0.14153,0.23484,2,5,0.123,3,0.5227,0.9806,0.8919,0.0904,6->7,8.26,11.23,0,0.7923,0.8977,0.1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_04_M,optimizer,14,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_08_20260902_011756/best_shadow.png,0.5529,0.5519,0.7112,0.1918,0.3313,0.03028,0.12266,0.7361,1.5932,0.7173,0,3,3,0.1163,0.24386,3,4,0.1955,1,0.5098,0.9901,0.8704,0.1209,7->8,8.95,11.58,0,0.9362,0.9076,-0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_04_M,optimizer,14,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_09_20260902_011756/best_shadow.png,0.5613,0.5606,0.7185,0.1878,0.3286,0.02983,0.12138,0.7413,1.5384,0.6861,0,3,3,0.09921,0.22032,2,4,0.1662,2,0.5123,1.0,0.8952,0.1048,8->9,28.21,31.69,0,0.8775,0.9028,0.0253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_04_M,optimizer,14,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_04_M/frame_10_20260902_011756/best_shadow.png,0.5793,0.5784,0.7329,0.2018,0.3572,0.0277,0.11186,0.767,1.4888,0.7078,0,2,2,0.08187,0.21071,2,5,0.1531,3,0.5196,0.9792,0.8922,0.0889,9->10,5.7,9.22,0,0.8776,0.9071,0.0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
