sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,n_arms_solved,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_05_M,optimizer,original,13,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_01_20260902_022124/best_shadow.png,0.6609,0.0823,0.1522,0.064,0.1604,0.08521,0.31329,0.1853,2.2076,0.9316,0,0,0,0.0516,0.08101,2,5,0.162,3,0.5445,1.0476,1.25,0.1932,0->1,21.84,24.15,0,0.9285,0.9546,0.0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer,original,13,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_02_20260902_022124/best_shadow.png,0.6581,0.0846,0.1561,0.0695,0.1366,0.08698,0.31483,0.1544,2.2894,0.859,0,0,0,0.0711,0.09203,2,5,0.1581,3,0.585,1.0577,1.254,0.1856,1->2,14.41,18.36,0,0.9255,0.9371,0.0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer,original,13,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_03_20260902_022124/best_shadow.png,0.6867,0.0943,0.1723,0.0645,0.1126,0.08473,0.31139,0.1257,1.7051,1.2095,0,0,0,0.0479,0.08662,2,5,0.1338,3,0.609,1.0476,1.1875,0.1335,2->3,8.63,12.57,0,0.9645,0.9366,-0.0279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer,original,13,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_04_20260902_022124/best_shadow.png,0.6666,0.0807,0.1494,0.0595,0.1147,0.08868,0.31247,0.1459,2.1609,1.0882,0,0,0,0.06674,0.08352,2,5,0.1687,3,0.6251,1.0577,1.1875,0.1227,3->4,4.78,5.68,0,0.9584,0.9649,0.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer,original,13,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_05_20260902_022124/best_shadow.png,0.6765,0.0821,0.1518,0.0601,0.1295,0.0886,0.31348,0.1778,2.4858,1.0519,0,0,0,0.05989,0.06846,2,6,0.1565,4,0.6244,1.0476,1.1875,0.1335,4->5,10.19,14.45,0,0.9542,0.9584,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer,original,13,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_06_20260902_022124/best_shadow.png,0.6761,0.079,0.1464,0.0597,0.1156,0.08966,0.31657,0.1748,2.5239,1.0025,0,0,0,0.07007,0.08181,2,6,0.1517,4,0.6368,1.0577,1.1746,0.1105,5->6,2.02,2.13,0,0.9928,0.9367,-0.0561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer,original,13,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_07_20260902_022124/best_shadow.png,0.7016,0.0919,0.1683,0.0638,0.1378,0.08474,0.31346,0.1734,1.8342,1.0871,0,0,0,0.06388,0.07567,3,5,0.2105,2,0.6483,1.0476,1.1746,0.1212,6->7,0.47,0.62,0,0.9993,0.9349,-0.0644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer,original,13,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_08_20260902_022124/best_shadow.png,0.6803,0.0806,0.1491,0.0611,0.1256,0.08914,0.31631,0.1708,2.5023,1.0609,0,0,0,0.06135,0.07798,3,6,0.2036,3,0.6397,1.0577,1.1746,0.1105,7->8,0.0,0.0,0,1.0,0.9372,-0.0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer,original,13,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_09_20260902_022124/best_shadow.png,0.7015,0.0921,0.1687,0.0631,0.137,0.0847,0.31338,0.1716,1.8111,1.0957,0,0,0,0.06283,0.07326,3,6,0.1883,3,0.6495,1.0476,1.1746,0.1212,8->9,0.0,0.0,0,1.0,0.9378,-0.0622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_05_M,optimizer,original,13,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_05_M/frame_10_20260902_022124/best_shadow.png,0.6789,0.0812,0.1501,0.0615,0.1237,0.0892,0.31631,0.1747,2.4945,1.0488,0,0,0,0.06238,0.07794,2,6,0.1534,4,0.639,1.0577,1.1746,0.1105,9->10,0.0,0.0,0,1.0,0.9661,-0.0339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
