sequence_id,source,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_06_A,optimizer,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_01_20260902_015948/best_shadow.png,0.8235,0.1809,0.3064,0.025,0.0831,0.07995,0.24101,0.3652,1.5475,5.594,0,0,0,0.02691,0.02573,3,4,0.184,1,0.7506,0.8349,0.8148,0.024,0->1,2.99,4.4,0,0.9825,0.9841,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_A,optimizer,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_02_20260902_015948/best_shadow.png,0.8241,0.1805,0.3059,0.0248,0.0661,0.07939,0.23825,0.3596,1.6445,5.3252,0,0,0,0.03393,0.03511,3,4,0.1892,1,0.772,0.8519,0.8148,0.0435,1->2,36.34,61.74,0,0.8386,0.8452,0.0066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_A,optimizer,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_03_20260902_015948/best_shadow.png,0.8493,0.2193,0.3597,0.0395,0.0902,0.07905,0.24463,0.4491,1.5441,3.4597,0,0,0,0.06265,0.08983,3,4,0.1864,1,0.8359,0.8818,0.8889,0.008,2->3,12.94,24.5,0,0.8602,0.8586,-0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_A,optimizer,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_04_20260902_015948/best_shadow.png,0.8068,0.188,0.3165,0.0331,0.0886,0.07881,0.24245,0.4085,1.4672,6.7234,0,0,0,0.0362,0.02892,3,4,0.1589,1,0.7902,0.8611,0.8272,0.0394,3->4,7.26,13.61,0,0.9513,0.9453,-0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_A,optimizer,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_05_20260902_015948/best_shadow.png,0.829,0.1813,0.307,0.0298,0.0943,0.07836,0.24471,0.354,1.4112,8.5162,0,0,0,0.03235,0.00933,3,4,0.1644,1,0.8011,0.8624,0.8395,0.0265,4->5,5.81,12.48,0,0.9608,0.9694,0.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_A,optimizer,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_06_20260902_015948/best_shadow.png,0.8302,0.1877,0.3161,0.0334,0.0856,0.07866,0.24428,0.3687,1.2563,6.3646,0,0,0,0.03725,0.0554,3,4,0.1626,1,0.8125,0.8716,0.8395,0.0368,5->6,4.85,8.26,0,0.9687,0.995,0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_A,optimizer,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_07_20260902_015948/best_shadow.png,0.8295,0.1871,0.3153,0.0359,0.0851,0.07919,0.24687,0.3825,1.3097,4.7944,0,0,0,0.04185,0.06792,3,4,0.1703,1,0.816,0.8716,0.8519,0.0226,6->7,2.97,4.7,0,0.9672,0.9863,0.0191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_A,optimizer,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_08_20260902_015948/best_shadow.png,0.8305,0.1845,0.3115,0.034,0.0836,0.07874,0.24452,0.4048,1.3945,6.5759,0,0,0,0.03177,0.0726,3,3,0.2449,0,0.8195,0.8624,0.8625,0.0001,7->8,1.4,2.05,0,0.9793,0.9953,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_A,optimizer,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_09_20260902_015948/best_shadow.png,0.8311,0.1834,0.31,0.033,0.0864,0.07883,0.24471,0.3731,1.3944,8.762,0,0,0,0.03614,0.0546,3,4,0.1691,1,0.8195,0.8624,0.8625,0.0001,8->9,5.72,10.85,0,0.9331,0.9419,0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_A,optimizer,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_A/frame_10_20260902_015948/best_shadow.png,0.821,0.1774,0.3013,0.023,0.0525,0.07967,0.24231,0.3714,1.4528,6.5907,0,0,0,0.05018,0.06165,3,4,0.1718,1,0.8037,0.8519,0.8375,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
