sequence_id,source,ref,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_06_M,optimizer,original,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_01_20260902_021215/best_shadow.png,0.7796,0.1146,0.2056,0.0344,0.0807,0.09498,0.32011,0.2153,3.6355,6.2533,0,0,0,0.05007,0.06399,3,4,0.2071,1,0.7398,0.9528,0.9846,0.0334,0->1,7.42,18.42,0,0.8403,0.7752,-0.0651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_M,optimizer,original,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_02_20260902_021215/best_shadow.png,0.8068,0.1259,0.2236,0.0466,0.0777,0.09459,0.31394,0.2661,2.1632,1.9088,0,0,0,0.05001,0.03749,4,3,0.2529,1,0.75,0.9519,1.0476,0.1005,1->2,3.9,4.86,0,0.9789,0.9927,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_M,optimizer,original,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_03_20260902_021215/best_shadow.png,0.8117,0.1269,0.2252,0.0497,0.0735,0.09433,0.31394,0.2536,2.5458,2.5301,0,0,0,0.04762,0.02727,4,3,0.2466,1,0.7514,0.9519,1.0476,0.1005,2->3,9.83,18.83,0,0.8418,0.7122,-0.1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_M,optimizer,original,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_04_20260902_021215/best_shadow.png,0.6894,0.0885,0.1627,0.0526,0.1344,0.08966,0.29306,0.21,3.3194,0.9539,0,0,0,0.05858,0.05302,2,2,0.1577,0,0.645,1.0745,1.1724,0.0912,3->4,8.62,16.8,0,0.853,0.704,-0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_M,optimizer,original,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_05_20260902_021215/best_shadow.png,0.8197,0.1274,0.226,0.0437,0.0738,0.09636,0.31813,0.2646,2.159,1.5327,0,0,0,0.0529,0.02974,4,3,0.2496,1,0.7509,0.9519,1.0645,0.1183,4->5,11.64,23.48,0,0.8227,0.7892,-0.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_M,optimizer,original,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_06_20260902_021215/best_shadow.png,0.7803,0.1062,0.192,0.0464,0.0873,0.0911,0.305,0.2689,2.6802,0.8469,0,0,0,0.0817,0.0546,2,3,0.1545,1,0.7286,1.1489,1.2281,0.0689,5->6,12.14,25.18,0,0.8292,0.7889,-0.0403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_M,optimizer,original,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_07_20260902_021215/best_shadow.png,0.8155,0.1272,0.2257,0.0428,0.0721,0.09729,0.3165,0.219,2.3611,1.6962,0,0,0,0.04456,0.02725,4,3,0.2521,1,0.7426,0.9519,1.0645,0.1183,6->7,9.19,19.69,0,0.8407,0.7883,-0.0524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_M,optimizer,original,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_08_20260902_021215/best_shadow.png,0.7823,0.1086,0.196,0.0436,0.0981,0.09104,0.30377,0.2436,2.9765,0.9113,0,0,0,0.04702,0.0507,2,4,0.1504,2,0.7399,1.1383,1.2069,0.0603,7->8,9.41,18.16,0,0.834,0.7882,-0.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_M,optimizer,original,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_09_20260902_021215/best_shadow.png,0.8109,0.125,0.2222,0.0522,0.0735,0.09415,0.3189,0.2367,2.7356,1.631,0,0,0,0.05503,0.07728,4,3,0.2496,1,0.7332,0.9519,1.0484,0.1013,8->9,7.85,16.16,0,0.8528,0.7865,-0.0663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_06_M,optimizer,original,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_06_M/frame_10_20260902_021215/best_shadow.png,0.7824,0.1128,0.2028,0.0484,0.0883,0.09069,0.30377,0.2789,2.9513,0.8204,0,0,0,0.04986,0.03666,2,3,0.1542,1,0.743,1.1383,1.2069,0.0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
